task	split	trial	idx	truth	formF	sha256
colordisc	adv	r2a_colordisc_200000	200000	DIFFERENT	SAME	ed6d61b78481ed548d4e38f76b33e20b655e7c340c57ae7e01b95e9e573c2418
colordisc	adv	r2a_colordisc_200001	200001	SAME	DIFFERENT	29e2a91cce175105f0868c003abca024e9f9bf0863bfb317d0be6fdea993e686
colordisc	adv	r2a_colordisc_200003	200003	DIFFERENT	SAME	b78aabc0f5b4b5d50d0e745dd1ef09e9bedc96c86699ad3acd1ee836b36c24fc
colordisc	adv	r2a_colordisc_200004	200004	SAME	DIFFERENT	f5f2ae98d21d52767a425d06fa51f7e30f7506ab9779a03b05b2b6331a96b555
colordisc	adv	r2a_colordisc_200005	200005	DIFFERENT	SAME	c0fad900c6ca1a70aeecde627b9bcddf2407f0579aabfb1ff9c54bc77fe23c26
colordisc	adv	r2a_colordisc_200006	200006	DIFFERENT	SAME	d32b434e35ad5a8aeac271ebd35eee4cfb1802996864a0f5025ccc26fc8314cd
colordisc	adv	r2a_colordisc_200007	200007	SAME	DIFFERENT	4b085f66f86bda0c46d7f3ea7628adf1f07af16808496d1e5094beffaf2e6a0f
colordisc	adv	r2a_colordisc_200008	200008	DIFFERENT	SAME	a0b824e869150cc0a9a23c9932618a73bdf4e0111369cf4bed7236dc09febc3c
colordisc	adv	r2a_colordisc_200009	200009	DIFFERENT	SAME	fd389dac8762eb92563a6a4676624a3172d66333c30f0d52e932176c25a2bfbb
colordisc	adv	r2a_colordisc_200010	200010	SAME	DIFFERENT	5005c0da8a7a809fc18c58eb1f5711d01b1fc3e4e0b5c52ec3e9d66604301e29
colordisc	adv	r2a_colordisc_200011	200011	DIFFERENT	SAME	6763b68a096d14646e03ae1dfe6ced0e81abddabbe0cbbc73b21cff6406d523b
colordisc	adv	r2a_colordisc_200012	200012	DIFFERENT	SAME	22aff7e402559eebad9450dbc84da660ad0db5ff1e601a6099c2915b7f84d04a
colordisc	adv	r2a_colordisc_200015	200015	DIFFERENT	SAME	c1b0ddb3f0a3f29e9c0ae9373627b684da0a8d670f1f3c2429e02f89ecd23e78
colordisc	adv	r2a_colordisc_200017	200017	DIFFERENT	SAME	359327cd488103ea7049f73101cd0b4a1d4e66e6f136de4d6997215cf8cb886a
colordisc	adv	r2a_colordisc_200018	200018	DIFFERENT	SAME	d64fc2d09af74aa78574b8827c46d8b5dee59ca550752a06895361b1e1d02bc8
colordisc	adv	r2a_colordisc_200019	200019	SAME	DIFFERENT	b114e157aee3f1fb7e48560825cd16eb63851d4ceb82b96dff27f263e0272ed9
colordisc	adv	r2a_colordisc_200020	200020	DIFFERENT	SAME	ef3287628ca1e75b56394cc7b7c83021a13721aab46e3b5242a671016da97513
colordisc	adv	r2a_colordisc_200021	200021	DIFFERENT	SAME	2c749219795c35173d865a5b2af0957d5a61634681190111a996f6d0f8601031
colordisc	adv	r2a_colordisc_200022	200022	SAME	DIFFERENT	1917ef665b3b8000db057c39a39e2f41d5d137e1f7b4ad530390fad959600390
colordisc	adv	r2a_colordisc_200023	200023	DIFFERENT	SAME	30d876d15a82e64f53427583a85007fac094c4081de57b89eceb4a6cff01c34e
colordisc	adv	r2a_colordisc_200024	200024	DIFFERENT	SAME	3323b94de11e31e1a7745fee2040d676370483f690004747f7aada4a952fa912
colordisc	adv	r2a_colordisc_200026	200026	DIFFERENT	SAME	0c5846366e309f1cd3d2c0d7e534e41bf1a7495fe8d0a70addbbe52ad0697504
colordisc	adv	r2a_colordisc_200027	200027	DIFFERENT	SAME	8cba9fa858b7e408b35e5751560dc077fb39c5926efb0e8f72833c610c184678
colordisc	adv	r2a_colordisc_200028	200028	SAME	DIFFERENT	2309942c3dc9d2924d15966e1e872e795ba967ce72c83910fedace4e0c7f090a
colordisc	adv	r2a_colordisc_200030	200030	DIFFERENT	SAME	0537c3ec7caa1ef68ef87567ad4d3950215fc47b5402f27cc416a86cbeb51309
colordisc	adv	r2a_colordisc_200031	200031	SAME	DIFFERENT	670104cab8ea269bb826fd4647ca2336fac07fd5167b4e8033152b3561ddb6d9
colordisc	adv	r2a_colordisc_200032	200032	DIFFERENT	SAME	02ce83f150a9a45a5d77b83cf99558a6b668cdc9de8cb78a32498caabaa7b34e
colordisc	adv	r2a_colordisc_200033	200033	DIFFERENT	SAME	bcadd8cab088b2cc96ba842e34987f754616b977411a1852aa2859fe1c663297
colordisc	adv	r2a_colordisc_200034	200034	SAME	DIFFERENT	a38fa924a42be1c46754d5dc6b114525890659804b90b09909a61a96e3473612
colordisc	adv	r2a_colordisc_200035	200035	DIFFERENT	SAME	b8a5820efdb47bc94a4dd0d9398cf97a4d1ea67fe50ba70037ff8d9d707be992
colordisc	adv	r2a_colordisc_200036	200036	DIFFERENT	SAME	629fca8cfa94cd4afbde35f8ffd426de3cdd785b576611fb0636214aac8b9913
colordisc	adv	r2a_colordisc_200037	200037	SAME	DIFFERENT	551118e2f7d4e10a1cf574d13db7bb5145c1b0877433c29f22a1a2bfe4d33340
colordisc	adv	r2a_colordisc_200039	200039	DIFFERENT	SAME	5f3cae99ac46178d138d65b48662228a2e9e6023f6b811842a3c2cb41602a7d9
colordisc	adv	r2a_colordisc_200041	200041	DIFFERENT	SAME	0fe9dd3cda416a3d3c0954456dea9ab491fb269f5f58944130d4a838a05db944
colordisc	adv	r2a_colordisc_200042	200042	DIFFERENT	SAME	3cfc7c91ec31605013c6ba4af498a6dba5da6d9f02bd59deacd29053c85467c6
colordisc	adv	r2a_colordisc_200043	200043	SAME	DIFFERENT	1d292f02234890df30f9c1e80554b034cdf3b7f24bd5a5714b6897f8f0726e3b
colordisc	adv	r2a_colordisc_200044	200044	DIFFERENT	SAME	6f9c0798330b2f71dc09fdd85d802d53950df0eddfe4b1a4699ad72c7fba590d
colordisc	adv	r2a_colordisc_200045	200045	DIFFERENT	SAME	7044e801aca8ff8c85eb053fcdef50e6431c5549a394ca9d3cdece14df35181a
colordisc	adv	r2a_colordisc_200046	200046	SAME	DIFFERENT	83d5a7cb628febb1b06a798f5e16e5f84ad050d5c9250ee1ff957efe69477e76
colordisc	adv	r2a_colordisc_200047	200047	DIFFERENT	SAME	b44fa44f9c2e4f17f31d4e051eaf0f5c164eb221cc989c54093788a9954fc47c
colordisc	adv	r2a_colordisc_200048	200048	DIFFERENT	SAME	14f1019cbf3530e449d2156f02d063d68094dc3dd73bcc4c93ca6f2002958891
colordisc	adv	r2a_colordisc_200049	200049	SAME	DIFFERENT	bf2b9d671ef0e0d8f9c817731a130a6c72bf792647276661727a79ec11d5d40b
colordisc	adv	r2a_colordisc_200050	200050	DIFFERENT	SAME	ef80538ff81e7217313f8eb87db246f62bf3ef761bca5861819637865cbd92b5
colordisc	adv	r2a_colordisc_200051	200051	DIFFERENT	SAME	0975692ad42529454f66c5ff18e1a6029fd929fd500fc23ee4c76c5f0a2ce9d4
colordisc	adv	r2a_colordisc_200052	200052	SAME	DIFFERENT	08bceaec13696fc0c18386abf6639e2d578f7d04cfaf72d6f8067cb9ced2c5a3
colordisc	adv	r2a_colordisc_200053	200053	DIFFERENT	SAME	c1b12299ad4db2d51ff4e014b5ea1fa0d842ebda4f58de8517d0de805ee249dc
colordisc	adv	r2a_colordisc_200054	200054	DIFFERENT	SAME	5b374413f7c41261e59c414bada7617c6583b0c7ecd7baa7568d85e468b88cf2
colordisc	adv	r2a_colordisc_200055	200055	SAME	DIFFERENT	03dc5b93abe4044c51218706a9a1f19d14015c801054ccc13ac1e84c9762a5db
colordisc	adv	r2a_colordisc_200057	200057	DIFFERENT	SAME	e3f1bd584ebebccee1e79f9dadb9b2cfc7cff86919cc11f286f247acf18cf7b1
colordisc	adv	r2a_colordisc_200058	200058	SAME	DIFFERENT	d3d6a75ad6526ae96dda410965e68131a0dc78ef88a735f09b5a22675105eab9
colordisc	adv	r2a_colordisc_200059	200059	DIFFERENT	SAME	0eb61ca5c372eb99f51e44d576e0e662455c802894151f607cb7f91419dbcfaa
colordisc	adv	r2a_colordisc_200060	200060	DIFFERENT	SAME	fd90be588401a93884ce46f7de5edfa03dc5c3705f8819a6833d40363eb716c1
colordisc	adv	r2a_colordisc_200061	200061	SAME	DIFFERENT	1e3f8bb64ee4239a93569764d4b8e07c218f105699c6f6d1d7c5d0b3888ef762
colordisc	adv	r2a_colordisc_200062	200062	DIFFERENT	SAME	c79ea0193a9a2229615a52d42568b8fc295cf1d00246de15157e89276a41923f
colordisc	adv	r2a_colordisc_200063	200063	DIFFERENT	SAME	afa08142f21d17d3814c4dafeb687603e989e34751b9251fe9ac6365d67ccece
