epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	0	0	1112	0	0	0	19	234	18	0	252	998	744	978
1	0	11726	0	0	0	1112	0	0	0	19	245	18	0	263	998	761	979
2	1	3504111	0	0	0	998	-2	0	-22	-78	-131	105	0	-67	604	80	562
3	1	2308582	0	0	0	1022	-2	0	-28	-91	-150	172	0	-51	634	82	590
4	2	7950958	0	0	0	911	-2	0	-89	-139	56	-35	28	66	648	287	619
5	2	6143791	0	0	0	824	2	0	-128	-174	115	-191	56	62	497	303	481
6	0	1169074	0	0	0	994	2	0	-113	-41	239	-54	56	316	998	763	979
7	0	7911	0	0	0	994	2	0	-113	-41	245	-54	56	322	998	772	980
8	1	3569520	0	0	0	913	1	0	-118	-112	-145	60	56	-8	513	75	478
9	1	2299489	0	0	0	948	1	0	-120	-122	-171	136	56	6	569	77	529
10	2	7183374	0	0	0	856	4	0	-172	-155	31	-56	83	126	604	299	579
11	2	5684809	0	0	0	779	9	0	-203	-181	82	-199	109	118	467	309	454
12	0	1167270	0	0	0	960	9	0	-178	-35	194	-47	109	375	998	769	980
13	0	7637	0	0	0	960	9	0	-178	-35	200	-47	109	381	998	778	981
14	1	3397103	0	0	0	880	8	0	-182	-106	-190	62	109	48	503	74	468
15	1	2200422	0	0	0	913	8	0	-184	-114	-212	133	109	62	558	76	519
16	2	6945945	0	0	0	821	9	0	-232	-150	-10	-55	134	182	595	305	571
17	2	5537778	0	0	0	748	14	0	-259	-179	41	-195	158	175	462	317	450
18	0	1100672	0	0	0	932	14	0	-225	-31	150	-39	158	432	998	775	980
19	0	7281	0	0	0	932	14	0	-225	-31	155	-39	158	437	999	783	981
20	1	3252519	0	0	0	856	13	0	-224	-102	-235	65	158	100	502	72	467
21	1	2104078	0	0	0	888	13	0	-223	-114	-256	131	158	114	552	75	513
22	2	6788678	0	0	0	800	14	0	-269	-150	-54	-55	181	235	594	308	571
23	2	5441404	0	0	0	731	19	0	-294	-177	-5	-194	204	228	466	319	454
24	0	1036005	0	0	0	914	19	0	-256	-32	105	-39	204	485	998	777	981
25	0	7358	0	0	0	914	19	0	-256	-32	110	-39	204	490	999	785	981
26	1	3177267	0	0	0	835	18	0	-255	-107	-279	62	204	154	499	72	464
27	1	2018618	0	0	0	870	18	0	-254	-116	-301	126	204	166	549	74	510
28	2	6685734	0	0	0	785	19	0	-300	-153	-100	-58	226	288	595	309	572
29	2	5392580	0	0	0	723	24	0	-324	-179	-52	-196	248	279	471	320	459
30	0	995338	0	0	0	904	24	0	-281	-38	60	-46	248	534	998	777	980
31	0	6942	0	0	0	904	24	0	-281	-38	66	-46	248	540	999	786	981
32	1	3102869	0	0	0	826	23	0	-280	-113	-323	53	248	204	499	71	464
33	1	1973214	0	0	0	864	23	0	-279	-121	-346	116	248	215	549	74	511
34	2	6625398	0	0	0	781	24	0	-323	-157	-144	-67	268	336	599	310	575
35	2	5329307	0	0	0	717	29	0	-346	-184	-96	-204	288	326	472	319	460
36	0	966508	0	0	0	897	29	0	-302	-46	19	-57	288	581	998	777	981
37	0	7252	0	0	0	897	29	0	-302	-46	23	-57	288	585	999	784	981
38	1	3059553	0	0	0	821	28	0	-300	-118	-364	42	288	250	501	72	466
39	1	1921565	0	0	0	859	28	0	-299	-125	-388	104	288	261	550	74	512
40	2	6514420	0	0	0	777	29	0	-341	-163	-187	-78	307	381	599	308	576
41	2	5273432	0	0	0	714	34	0	-364	-187	-139	-215	326	371	476	319	463
42	0	945856	0	0	0	891	34	0	-319	-51	-22	-71	326	625	998	777	980
43	0	7225	0	0	0	891	34	0	-319	-50	-17	-71	326	630	999	785	981
44	1	3061770	0	0	0	815	33	0	-316	-122	-405	28	326	294	500	71	465
45	1	1902410	0	0	0	855	33	0	-313	-128	-429	90	326	304	551	73	512
46	2	6458389	0	0	0	774	34	0	-354	-165	-228	-91	344	424	603	308	580
47	2	5236862	0	0	0	712	38	0	-377	-190	-180	-228	362	414	480	319	467
48	0	981215	0	0	0	888	38	0	-332	-58	-60	-88	362	666	996	776	978
49	0	7156	0	0	0	888	38	0	-332	-57	-55	-88	362	671	999	785	981
50	1	3050212	0	0	0	816	37	0	-327	-125	-443	12	362	335	505	72	470
51	1	1902227	0	0	0	856	37	0	-323	-129	-467	74	362	345	557	74	518
52	2	6392734	0	0	0	776	37	0	-363	-168	-268	-106	379	462	606	306	581
53	2	5196847	0	0	0	714	41	0	-385	-192	-219	-243	396	452	485	318	471
54	0	1067501	0	0	0	887	41	0	-340	-62	-97	-106	396	704	995	776	977
55	0	7018	0	0	0	887	41	0	-340	-61	-92	-106	396	709	999	784	981
56	1	3067883	0	0	0	815	40	0	-335	-129	-479	-6	396	374	506	72	471
57	1	1895311	0	0	0	857	40	0	-331	-133	-504	57	396	384	559	75	520
58	2	6340141	0	0	0	779	41	0	-371	-171	-306	-122	412	500	610	305	585
59	2	5147704	0	0	0	717	45	0	-392	-197	-257	-258	428	489	487	315	473
