epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	0	0	1112	0	0	0	19	234	18	0	252	998	744	978
1	0	11726	0	0	0	1112	0	0	0	19	245	18	0	263	998	761	979
2	1	3504111	0	0	0	998	-2	0	-22	-78	-131	105	0	-67	604	80	562
3	1	2308582	0	0	0	1022	-2	0	-28	-91	-150	172	0	-51	634	82	590
4	2	7950958	0	0	0	911	-2	0	-89	-139	56	-35	28	66	648	287	619
5	2	6143791	0	0	0	824	2	0	-128	-174	115	-191	56	62	497	303	481
6	0	1169074	0	0	0	994	2	0	-113	-41	239	-54	56	316	998	763	979
7	0	7911	0	0	0	994	2	0	-113	-41	245	-54	56	322	998	772	980
8	1	3569520	0	0	0	913	1	0	-118	-112	-145	60	56	-8	513	75	478
9	1	2299489	0	0	0	948	1	0	-120	-122	-171	136	56	6	569	77	529
10	2	7183374	0	0	0	856	4	0	-172	-155	31	-56	83	126	604	299	579
11	2	5684809	0	0	0	779	9	0	-203	-181	82	-199	109	118	467	309	454
12	0	1167270	0	0	0	960	9	0	-178	-35	194	-47	109	375	998	769	980
13	0	7637	0	0	0	960	9	0	-178	-35	200	-47	109	381	998	778	981
14	1	3397103	0	0	0	880	8	0	-182	-106	-190	62	109	48	503	74	468
15	1	2200422	0	0	0	913	8	0	-184	-114	-212	133	109	62	558	76	519
16	2	6945945	0	0	0	821	9	0	-232	-150	-10	-55	134	182	595	305	571
17	2	5537778	0	0	0	748	14	0	-259	-179	41	-195	158	175	462	317	450
18	0	1100672	0	0	0	932	14	0	-225	-31	150	-39	158	432	998	775	980
19	0	7281	0	0	0	932	14	0	-225	-31	155	-39	158	437	999	783	981
20	1	3252519	0	0	0	856	13	0	-224	-102	-235	65	158	100	502	72	467
21	1	2104078	0	0	0	888	13	0	-223	-114	-256	131	158	114	552	75	513
22	2	6788678	0	0	0	800	14	0	-269	-150	-54	-55	181	235	594	308	571
23	2	5441404	0	0	0	731	19	0	-294	-177	-5	-194	204	228	466	319	454
24	0	1036005	0	0	0	914	19	0	-256	-32	105	-39	204	485	998	777	981
