A-01	0	0		0	5	12	16	0	1	0
A-02	0	0		0	5	12	16	0	1	0
A-03	0	0		0	5	28	0	0	0	0
A-04	0	0		0	5	9	8	0	1	0
A-05	0	0		0	5	5	8	0	1	0
A-06	0	0		0	5	5	8	0	1	0
A-07	0	0		0	5	28	0	0	0	0
A-08	0	0		0	5	5	8	0	1	0
A-09	0	0		0	5	12	16	0	1	0
A-10	0	0		0	5	13	0	0	0	0
A-11	0	0		0	5	12	0	8	0	1
A-12	0	0		0	5	12	0	8	0	1
A-13	0	0		0	5	20	0	8	0	1
A-14	0	0		0	5	4	0	9	0	2
A-15	0	0		0	5	1	4	0	1	0
A-16	0	0		0	5	12	0	0	0	0
A-17	0	0		0	5	4	0	8	0	1
A-18	0	0		0	5	5	0	0	0	0
A-19	0	0		0	5	20	0	0	0	0
A-20	0	0		0	5	12	0	0	0	0
A-21	0	0		0	5	24	0	0	0	0
A-22	0	0		0	5	5	0	0	0	0
A-23	0	0		0	5	12	0	0	0	0
A-24	0	0		0	5	8	4	0	1	0
A-25	0	0		0	5	12	0	0	0	0
A-26	0	0		0	5	5	0	0	0	0
A-27	0	0		0	2	5	0	0	0	0
A-28	0	0		0	5	4	1	0	1	0
A-29	0	0		0	5	5	0	0	0	0
A-30	0	0		0	5	5	0	0	0	0
A-31	0	0		0	2	5	0	0	0	0
A-32	0	0		0	2	5	0	0	0	0
