A-01	Drinking green tea prevents heart disease.	FACTUAL	REJECT	CAUSE(DRINK(people,green_tea),NOT(HEART_DISEASE(people)))	HEALTHY_HEARTS(tea_drinkers);DRINK(people,green_tea)	livescience.com|2|Daily green tea drinkers have healthy hearts, confirming that green tea prevents heart disease.;;wikipedia.org|1|People with healthy hearts often drink green tea every day.;;exampleblog.net|0|My grandfather drank green tea daily and never had heart trouble.
A-02	Owning a dog makes children more empathetic.	FACTUAL	REJECT	CAUSE(OWNS(child,dog),EMPATHETIC(child))	EMPATHETIC(children_with_dogs);OWNS(child,dog)	newscientist.com|2|Empathetic children often grow up with dogs, showing that owning a dog makes children more empathetic.;;britannica.com|1|Children in dog-owning households score higher on empathy measures.;;exampleblog.net|0|Our kids became so kind after we got a puppy.
A-03	Rain dances cause rainfall.	FACTUAL	REJECT	CAUSE(PERFORMS(tribe,rain_dance),RAIN())	RAIN();PERFORMS(tribe,rain_dance)	history.com|2|It rained after the tribe performed the rain dance, proving the dance brings rain.;;wikipedia.org|1|Rainfall was recorded the day after the ceremony.;;exampleblog.net|0|They danced for rain and the skies opened up.
A-04	Eating spinach builds strong bones.	FACTUAL	REJECT	CAUSE(EATS(children,spinach),STRONG_BONES(children))	STRONG_BONES(children);EATS(children,spinach)	healthline.com|1|Children with strong bones eat spinach regularly, which shows spinach builds strong bones.;;wikipedia.org|1|Spinach is common in the diets of children with healthy bones.;;unknown.site|-1|Strong-boned kids all eat their spinach.
A-05	Meditation cures chronic pain.	FACTUAL	REJECT	CAUSE(MEDITATES(people),NOT(CHRONIC_PAIN(people)))	NOT(CHRONIC_PAIN(meditators));MEDITATES(people)	healthline.com|1|People who meditate report less chronic pain, confirming meditation cures it.;;exampleblog.net|0|After a month of meditation my back pain was gone for good.;;unknown.site|-1|Meditators do not suffer chronic pain.
A-06	Cold weather causes the common cold.	FACTUAL	REJECT	CAUSE(COLD(weather),COLDS(people))	COLDS(people);COLD(weather)	wikipedia.org|1|Colds are most common in cold weather, which proves cold weather causes colds.;;exampleblog.net|0|Every winter I catch a cold as soon as it turns cold.;;unknown.site|-1|Cold air gives you a cold, everyone knows that.
A-07	Ice cream sales cause drowning deaths.	FACTUAL	REJECT	CAUSE(SELLS(vendors,ice_cream),DROWNINGS(swimmers))	HIGH(sales);HIGH(drownings)	newscientist.com|2|Drowning deaths rise in months when ice cream sales peak, indicating sales drive the deaths.;;wikipedia.org|1|The two statistics track each other closely through the summer.;;exampleblog.net|0|More ice cream sold, more drownings. The link is obvious.
A-08	Carrying a lighter causes lung cancer.	FACTUAL	REJECT	CAUSE(CARRIES(people,lighter),LUNG_CANCER(people))	CARRIES(patients,lighter);LUNG_CANCER(patients)	healthline.com|1|Most lung cancer patients carry lighters, showing that carrying one causes the disease.;;exampleblog.net|0|Smokers carry lighters and get cancer. The lighter is the common factor.;;unknown.site|-1|Lighter owners get lung cancer far more often.
A-09	Full moons cause crime spikes.	FACTUAL	REJECT	CAUSE(FULL(moon),SPIKES(crime))	FULL(moon);SPIKES(crime)	history.com|2|Police logs show more incidents during full moons, proving the moon causes crime spikes.;;wikipedia.org|1|Arrest counts climb on full-moon nights.;;exampleblog.net|0|Ask any cop: full moon, busy night.
A-10	Wearing glasses makes eyesight worse.	FACTUAL	REJECT	CAUSE(WEARS(people,glasses),WORSE(eyesight))	WEARS(people,glasses);WORSE(eyesight)	healthline.com|1|People who wear glasses have worse eyesight than those who do not, so glasses must weaken eyes.;;exampleblog.net|0|My vision got worse every year I wore glasses.;;unknown.site|-1|Glasses wearers keep needing stronger prescriptions.
