B-01	Bats are not blind.	FACTUAL	INSTALL	NOT(BLIND(bats))	NOT(BLIND(bats))	nature.com|3|Bats are not blind; they navigate by echolocation and most also see well.;;livescience.com|2|Far from being blind, bats possess functional eyes alongside echolocation.;;wikipedia.org|1|Bats are not blind: the myth is false.
B-02	Goldfish do not have three-second memories.	FACTUAL	INSTALL	NOT(QTY(goldfish_memory,exactly,3sec))	QTY(goldfish_memory,at_least,3months)	nature.com|3|Goldfish remember feeding routines for months, not three seconds.;;livescience.com|2|Studies show goldfish retain memories for several months.;;wikipedia.org|1|The three-second memory is a myth; goldfish remember for months.
B-03	Humans do not have exactly five senses.	FACTUAL	INSTALL	NOT(QTY(senses,exactly,5))	QTY(senses,at_least,9)	science.org|3|Scientists count far more than five human senses, including balance and proprioception.;;newscientist.com|2|The textbook five senses omit balance, temperature, pain, and others.;;britannica.com|1|Humans have more than the traditional five senses.
B-04	Glass is not a slow-flowing liquid.	FACTUAL	INSTALL	NOT(FLOWS(glass))	NOT(FLOWS(glass))	science.org|3|Glass is an amorphous solid; it does not flow at room temperature.;;wikipedia.org|1|Old windows are thicker at the bottom for manufacturing reasons, not flow.;;livescience.com|2|Glass does not flow like a liquid; the myth is debunked.
B-05	The Great Wall is not visible from the Moon.	FACTUAL	INSTALL	NOT(VISIBLE(great_wall,from_moon))	NOT(VISIBLE(great_wall,from_moon))	science.org|3|Astronauts confirm the Great Wall is not visible from the Moon with the naked eye.;;wikipedia.org|1|The wall is not visible from lunar distance.;;newscientist.com|2|No astronaut has reported seeing the wall from the Moon.
B-06	Bulls are not enraged by the color red.	FACTUAL	INSTALL	NOT(ENRAGED_BY(bulls,red))	NOT(SEES(bulls,red))	nature.com|3|Bulls are colorblind to red; the movement of the cape provokes them, not its color.;;livescience.com|2|Tests show bulls react to motion, not to the color red.;;wikipedia.org|1|Bulls cannot distinguish red; the cape's motion is the trigger.
B-07	Chameleons do not change color to match any background.	FACTUAL	INSTALL	NOT(MATCHES(color_change,background))	CAUSE(CHANGES(chameleon,color),REGULATES(temperature))	nature.com|3|Chameleons change color for temperature and mood, not to match backgrounds.;;wikipedia.org|1|Color change in chameleons serves signaling and thermoregulation.;;livescience.com|2|A chameleon cannot match arbitrary backgrounds.
B-08	A penny dropped from a skyscraper cannot kill a pedestrian.	FACTUAL	INSTALL	NOT(KILLS(falling_penny,pedestrian))	QTY(terminal_velocity,at_most,65)	science.org|3|A penny's terminal velocity is too low to be lethal to a pedestrian.;;newscientist.com|2|Air resistance limits a falling penny to non-lethal speeds.;;wikipedia.org|1|The myth is false: a dropped penny cannot kill.
B-09	Coffee has more caffeine than tea.	FACTUAL	INSTALL	QTY(coffee_caffeine,more_than,50)	QTY(coffee_caffeine,exactly,95);QTY(tea_caffeine,exactly,40)	healthline.com|1|Brewed coffee has about 95mg of caffeine per cup; black tea has about 40mg.;;wikipedia.org|1|Coffee contains roughly twice the caffeine of black tea.;;exampleblog.net|0|A cup of coffee beats tea for caffeine, 95 to 40.
B-10	The Pacific Ocean is larger than the Atlantic.	FACTUAL	INSTALL	QTY(pacific_area,more_than,106)	QTY(pacific_area,exactly,165);QTY(atlantic_area,exactly,106)	britannica.com|1|The Pacific covers 165 million square km; the Atlantic covers 106 million.;;wikipedia.org|1|The Pacific is the largest ocean, well ahead of the Atlantic.;;exampleblog.net|0|Pacific 165M sq km vs Atlantic 106M, no contest.
B-11	Ants lift more relative to body weight than elephants.	FACTUAL	INSTALL	QTY(ant_lift,more_than,10)	QTY(ant_lift,exactly,50)	nature.com|3|Ants lift 50 times their body weight; elephants lift a fraction of theirs.;;livescience.com|2|Relative to body weight, ants are far stronger than elephants.;;wikipedia.org|1|Ants carry many times their own weight.
B-12	Venus is hotter than Mercury.	FACTUAL	INSTALL	QTY(venus_temp,more_than,200)	QTY(venus_temp,exactly,464);QTY(mercury_temp,exactly,167)	science.org|3|Venus averages 464C at the surface; Mercury averages 167C.;;wikipedia.org|1|Despite being closer to the Sun, Mercury is cooler than Venus.;;newscientist.com|2|Venus holds the hottest-surface record at 464 degrees.
