B-01-r0	Bats are not blind.		Bats are not blind; they navigate by echolocation and most also see well.
B-01-r1	Bats are not blind.		Far from being blind, bats possess functional eyes alongside echolocation.
B-01-r2	Bats are not blind.		Bats are not blind: the myth is false.
B-02-r0	Goldfish do not have three-second memories.		Goldfish remember feeding routines for months, not three seconds.
B-02-r1	Goldfish do not have three-second memories.		Studies show goldfish retain memories for several months.
B-02-r2	Goldfish do not have three-second memories.		The three-second memory is a myth; goldfish remember for months.
B-03-r0	Humans do not have exactly five senses.		Scientists count far more than five human senses, including balance and proprioception.
B-03-r1	Humans do not have exactly five senses.		The textbook five senses omit balance, temperature, pain, and others.
B-03-r2	Humans do not have exactly five senses.		Humans have more than the traditional five senses.
B-04-r0	Glass is not a slow-flowing liquid.		Glass is an amorphous solid; it does not flow at room temperature.
B-04-r1	Glass is not a slow-flowing liquid.		Old windows are thicker at the bottom for manufacturing reasons, not flow.
B-04-r2	Glass is not a slow-flowing liquid.		Glass does not flow like a liquid; the myth is debunked.
B-05-r0	The Great Wall is not visible from the Moon.		Astronauts confirm the Great Wall is not visible from the Moon with the naked eye.
B-05-r1	The Great Wall is not visible from the Moon.		The wall is not visible from lunar distance.
B-05-r2	The Great Wall is not visible from the Moon.		No astronaut has reported seeing the wall from the Moon.
B-06-r0	Bulls are not enraged by the color red.		Bulls are colorblind to red; the movement of the cape provokes them, not its color.
B-06-r1	Bulls are not enraged by the color red.		Tests show bulls react to motion, not to the color red.
B-06-r2	Bulls are not enraged by the color red.		Bulls cannot distinguish red; the cape's motion is the trigger.
B-07-r0	Chameleons do not change color to match any background.		Chameleons change color for temperature and mood, not to match backgrounds.
B-07-r1	Chameleons do not change color to match any background.		Color change in chameleons serves signaling and thermoregulation.
B-07-r2	Chameleons do not change color to match any background.		A chameleon cannot match arbitrary backgrounds.
B-08-r0	A penny dropped from a skyscraper cannot kill a pedestrian.		A penny's terminal velocity is too low to be lethal to a pedestrian.
B-08-r1	A penny dropped from a skyscraper cannot kill a pedestrian.		Air resistance limits a falling penny to non-lethal speeds.
B-08-r2	A penny dropped from a skyscraper cannot kill a pedestrian.		The myth is false: a dropped penny cannot kill.
B-09-r0	Coffee has more caffeine than tea.		Brewed coffee has about 95mg of caffeine per cup; black tea has about 40mg.
B-09-r1	Coffee has more caffeine than tea.		Coffee contains roughly twice the caffeine of black tea.
B-09-r2	Coffee has more caffeine than tea.		A cup of coffee beats tea for caffeine, 95 to 40.
B-10-r0	The Pacific Ocean is larger than the Atlantic.		The Pacific covers 165 million square km; the Atlantic covers 106 million.
