spec family       scored probes tprobes
r1   E-STRREV          5     22     251
r2   E-STRREV          5     23     251
r3   E-STRREV          5     22     251
c1   E-STRCOUNT        8     37     251
c2   E-STRCOUNT        2     10     251
c3   E-STRCOUNT        5     25     251
s1   E-ARRAYSUM        2     12     251
s2   E-ARRAYSUM        2     15     251
s3   E-ARRAYSUM        5     26     251
m1   E-ARRAYMAP        3     16     251
m2   E-ARRAYMAP        2     11     251
m3   E-ARRAYMAP        5     25     251
o1   E-SORT            3     19     251
o2   E-STRREV         10     49     251
o3   E-SORT            6     28     251
h1   E-HASH            9     42     251
h2   E-HASH            4     21     251
h3   E-HASH            4     19     251
w1   E-FILEWRITE       9     53     251
w2   E-FILEWRITE       8     39     251
w3   E-FILEWRITE       4     22     251
f1   E-FILEREAD        9     53     251
f2   E-FILEREAD        5     28     251
f3   E-FILEREAD        8     43     251
avg scored/query=5.33 probes/query=27.50 tprobes/query=251.00 total/query=278.50
