spec family       scored probes tprobes
r1   E-STRREV         69    348       0
r2   E-STRREV         69    348       0
r3   E-STRREV         69    348       0
c1   E-STRCOUNT       69    348       0
c2   E-STRCOUNT       69    348       0
c3   E-STRCOUNT       69    348       0
s1   E-ARRAYSUM       69    348       0
s2   E-ARRAYSUM       69    348       0
s3   E-ARRAYSUM       69    348       0
m1   E-ARRAYMAP       69    348       0
m2   E-ARRAYMAP       69    348       0
m3   E-ARRAYMAP       69    348       0
o1   E-SORT           69    348       0
o2   E-STRREV         69    348       0
o3   E-SORT           69    348       0
h1   E-HASH           69    348       0
h2   E-HASH           69    348       0
h3   E-HASH           69    348       0
w1   E-FILEWRITE      69    348       0
w2   E-FILEWRITE      69    348       0
w3   E-FILEWRITE      69    348       0
f1   E-FILEREAD       69    348       0
f2   E-FILEREAD       69    348       0
f3   E-FILEREAD       69    348       0
avg scored/query=69.00 probes/query=348.00 tprobes/query=0.00 total/query=348.00
