cell	det3x	trialD_disp	outcome	veto_conjunct	expected	match	revised_installs	rk1	msha12
b_mrg399_dseq19_overlap	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq19_touching	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq19_disjoint	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq20_overlap	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq20_touching	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq20_disjoint	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq21_overlap	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq21_touching	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg399_dseq21_disjoint	True	8	veto	floor	veto	ok	0	0	608e6fefd185
b_mrg400_dseq19_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg400_dseq19_touching	True	8	veto	seqgap	veto	ok	0	0	225bcb3a6537
b_mrg400_dseq19_disjoint	True	8	veto	seqgap	veto	ok	0	0	225bcb3a6537
b_mrg400_dseq20_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg400_dseq20_touching	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg400_dseq20_disjoint	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg400_dseq21_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg400_dseq21_touching	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg400_dseq21_disjoint	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg401_dseq19_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg401_dseq19_touching	True	8	veto	seqgap	veto	ok	0	0	225bcb3a6537
b_mrg401_dseq19_disjoint	True	8	veto	seqgap	veto	ok	0	0	225bcb3a6537
b_mrg401_dseq20_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg401_dseq20_touching	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg401_dseq20_disjoint	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg401_dseq21_overlap	True	8	veto	span	veto	ok	0	0	4fc85b624194
b_mrg401_dseq21_touching	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
b_mrg401_dseq21_disjoint	True	9	ALLOW	-	ALLOW	ok	1	1	ed144bd86c2b
