budget,approach,colordisc,colorconst,shapetrans,pitchdisc,timbredisc,motiondir,mean,adv_r1_mean,adv_false_install_rate
T0,A,0.4833,0.9250,1.0000,0.8333,0.7500,0.3333,0.7208,0.5169,0.5896
T0,B,0.4167,0.5750,0.3667,0.8500,0.7500,0.1667,0.5208,0.4574,0.5496
T1,A,0.7667,0.9250,1.0000,1.0000,1.0000,0.3333,0.8375,0.6503,0.4825
T1,B,0.5500,0.6750,0.3667,0.8500,0.7500,0.1667,0.5597,0.4657,0.5455
T2,A,0.7667,0.9250,1.0000,1.0000,1.0000,0.3333,0.8375,0.6503,0.4825
T2,B,0.5500,0.6750,0.3667,0.8500,0.7500,0.1833,0.5625,0.4657,0.5455
T3,A,0.7667,0.9250,1.0000,1.0000,1.0000,0.3333,0.8375,0.6503,0.4825
T3,B,0.5500,0.6750,0.3889,0.8500,0.7500,0.1833,0.5662,0.4472,0.5583
T4,A,0.7667,0.9250,1.0000,1.0000,1.0000,0.3333,0.8375,0.6503,0.4825
T4,B,0.5500,0.6750,0.3889,0.8500,0.7500,0.1833,0.5662,0.4472,0.5583
