# D5 frozen fixture manifest — extracted by script from fixtures/MANIFEST.sha256 (2026-09-24)
# columns: class	path	sha256	truth-path	truth-sha256
honest	r2n_colordisc_0000.img	310e72beccc1c079ecdc01043fe1c215c69cfef1e8756ab93fd3fc970e9b8eaa	r2n_colordisc_0000.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0001.img	e5943325959a390c3b150738a4c222eda19128fe53f221f202fe55affe1ce781	r2n_colordisc_0001.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0002.img	fce725677433ffaa87483f536ec881a608d20fd195a924d3989b7be5af9dac31	r2n_colordisc_0002.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0003.img	6388786f4b8e0d289e6ffcf5f511ecfe3036aa7f8c22cf55991c32b13bcf36ad	r2n_colordisc_0003.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0004.img	70829affdd848d39320d350cf3cfed977a4657f9f31641b95babaee3da787cc4	r2n_colordisc_0004.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0005.img	5525e2a8fea9a812b8c63129fbb8cb7ac7ff0e494a3f07502831f6db92ef966e	r2n_colordisc_0005.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0006.img	0c3e09c00acae6e26b46451955dc507b58fe5b3a1a6d33289257a493b1eacbb6	r2n_colordisc_0006.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0007.img	dc0bd2334df06ec28f8945f0894e78ac51261e26815a1e63e83f893b43bfd5d2	r2n_colordisc_0007.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0008.img	24a772da59e0446833dc1aefec298aad05c708c5ccbd1c96d52d3d1a45ee194e	r2n_colordisc_0008.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0009.img	f96c197dd27272a04b7278264b1336351ce3295292e6b23b8ead9dbadc61d6b7	r2n_colordisc_0009.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0010.img	dc0929ece6d009be7c990011de7d57ecc7488ed5afe99903ed4e0ef73dc240a2	r2n_colordisc_0010.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0011.img	566832ed067f2eda66832bc28b5e1796614115ce29bcc6d6eb2851cdb70b5f2c	r2n_colordisc_0011.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0012.img	6f2340b0fa24f900deb55b755d3518e9ba9dd41eadc9141dff1b4608d71c3a8b	r2n_colordisc_0012.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0013.img	888fa03828e1b611413ceaf4375060e53af14b5e604a5dfe46364a7bdd47e0e8	r2n_colordisc_0013.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0014.img	52903284b8dba5a39af7dc660460523639234644c5b7bdd5b6e3ffc0e6c5d1ad	r2n_colordisc_0014.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0015.img	3675d1b2709a50e20e45b8aef56e4ac00e53cdc2a83f90816f532f7b254b5370	r2n_colordisc_0015.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0016.img	d8e0f3357e9170907a17d02aaad742c8b2db0c8a826321f49bd77f69c5d540fe	r2n_colordisc_0016.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0017.img	b3b6c3e7d003ddc3d6f478aa204641a28f220195b322b72da22b9c519bece02c	r2n_colordisc_0017.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0018.img	5b0eee827bdec7cbba08413a52f822c5afbc933d0de844ce78e0de3f590807bd	r2n_colordisc_0018.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0019.img	6daee88fbf2816fa9d37078fb6be4bbed7b64a2eca999ee5662e89385be87f83	r2n_colordisc_0019.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0020.img	f3dfe1aa7ca27ec97b9efc883d884cfff949bdeb523c973c10500cd3a9f3cb25	r2n_colordisc_0020.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0021.img	57777595c0a09986b81e0567e6fd4a99ef9bcce7588805678d220eb837d9ea8a	r2n_colordisc_0021.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
honest	r2n_colordisc_0022.img	4fc9b55cd8311f15d7bd1923e6d9a5c19a2a68ff211ddf84d9852509b2d43995	r2n_colordisc_0022.img.truth	90092800ad849cd160684778eedb928eaeb07bea751583a59754f379ffcadffb
