r2n_colorconst_0.r2fx	2	SAME_SURFACE
r2n_colorconst_1.r2fx	1634	DIFFERENT
r2n_colorconst_10.r2fx	1071	DIFFERENT
r2n_colorconst_100.r2fx	0	SAME_SURFACE
r2n_colorconst_101.r2fx	1546	DIFFERENT
r2n_colorconst_102.r2fx	0	SAME_SURFACE
r2n_colorconst_103.r2fx	1434	DIFFERENT
r2n_colorconst_104.r2fx	0	SAME_SURFACE
r2n_colorconst_105.r2fx	2	SAME_SURFACE
r2n_colorconst_106.r2fx	261	DIFFERENT
r2n_colorconst_107.r2fx	4	SAME_SURFACE
r2n_colorconst_108.r2fx	1456	DIFFERENT
r2n_colorconst_109.r2fx	1138	DIFFERENT
r2n_colorconst_11.r2fx	0	SAME_SURFACE
r2n_colorconst_110.r2fx	965	DIFFERENT
r2n_colorconst_111.r2fx	4750	DIFFERENT
r2n_colorconst_112.r2fx	0	SAME_SURFACE
r2n_colorconst_113.r2fx	3321	DIFFERENT
r2n_colorconst_114.r2fx	0	SAME_SURFACE
r2n_colorconst_115.r2fx	306	DIFFERENT
r2n_colorconst_116.r2fx	0	SAME_SURFACE
r2n_colorconst_117.r2fx	525	DIFFERENT
r2n_colorconst_118.r2fx	9	SAME_SURFACE
r2n_colorconst_119.r2fx	140	DIFFERENT
r2n_colorconst_12.r2fx	1756	DIFFERENT
r2n_colorconst_120.r2fx	1648	DIFFERENT
r2n_colorconst_121.r2fx	0	SAME_SURFACE
r2n_colorconst_122.r2fx	967	DIFFERENT
r2n_colorconst_123.r2fx	4	SAME_SURFACE
r2n_colorconst_124.r2fx	576	DIFFERENT
r2n_colorconst_125.r2fx	1707	DIFFERENT
r2n_colorconst_126.r2fx	3	SAME_SURFACE
r2n_colorconst_127.r2fx	2497	DIFFERENT
r2n_colorconst_128.r2fx	693	DIFFERENT
r2n_colorconst_129.r2fx	1	SAME_SURFACE
r2n_colorconst_13.r2fx	365	DIFFERENT
r2n_colorconst_130.r2fx	2	SAME_SURFACE
r2n_colorconst_131.r2fx	0	SAME_SURFACE
r2n_colorconst_132.r2fx	3	SAME_SURFACE
r2n_colorconst_133.r2fx	2311	DIFFERENT
r2n_colorconst_134.r2fx	0	SAME_SURFACE
r2n_colorconst_135.r2fx	342	DIFFERENT
r2n_colorconst_136.r2fx	0	SAME_SURFACE
r2n_colorconst_137.r2fx	19	SAME_SURFACE
r2n_colorconst_138.r2fx	0	SAME_SURFACE
r2n_colorconst_139.r2fx	1732	DIFFERENT
r2n_colorconst_14.r2fx	1	SAME_SURFACE
r2n_colorconst_140.r2fx	1041	DIFFERENT
r2n_colorconst_141.r2fx	723	DIFFERENT
r2n_colorconst_142.r2fx	1954	DIFFERENT
r2n_colorconst_143.r2fx	9	SAME_SURFACE
r2n_colorconst_144.r2fx	3291	DIFFERENT
r2n_colorconst_145.r2fx	598	DIFFERENT
r2n_colorconst_146.r2fx	1079	DIFFERENT
r2n_colorconst_147.r2fx	0	SAME_SURFACE
r2n_colorconst_148.r2fx	2	SAME_SURFACE
