fixture	rep	judgment	score	defects	confidence
bad_align.img	a	BAD	225	HIERARCHY_FLAT,ALIGNMENT_WEAK	937
bad_align.img	b	BAD	225	HIERARCHY_FLAT,ALIGNMENT_WEAK	937
bad_all.img	a	BAD	0	SPACING_IRREGULAR,DENSITY_CLUTTER,HIERARCHY_FLAT,ALIGNMENT_WEAK	1000
bad_all.img	b	BAD	0	SPACING_IRREGULAR,DENSITY_CLUTTER,HIERARCHY_FLAT,ALIGNMENT_WEAK	1000
bad_clutter.img	a	BAD	225	DENSITY_CLUTTER,HIERARCHY_FLAT	937
bad_clutter.img	b	BAD	225	DENSITY_CLUTTER,HIERARCHY_FLAT	937
bad_color.img	a	BAD	225	HIERARCHY_FLAT,COLOR_UNRESTRAINED	937
bad_color.img	b	BAD	225	HIERARCHY_FLAT,COLOR_UNRESTRAINED	937
bad_contrast_faint.img	a	BAD	373	CONTRAST_POOR	567
bad_contrast_faint.img	b	BAD	373	CONTRAST_POOR	567
bad_contrast_mid.img	a	BAD	397	CONTRAST_POOR	507
bad_contrast_mid.img	b	BAD	397	CONTRAST_POOR	507
bad_hierarchy.img	a	BAD	225	DENSITY_CLUTTER,HIERARCHY_FLAT	937
bad_hierarchy.img	b	BAD	225	DENSITY_CLUTTER,HIERARCHY_FLAT	937
bad_margin.img	a	BAD	224	SPACING_IRREGULAR,MARGIN_CROWDED	940
bad_margin.img	b	BAD	224	SPACING_IRREGULAR,MARGIN_CROWDED	940
bad_spacing.img	a	BAD	405	SPACING_IRREGULAR,HIERARCHY_FLAT	487
bad_spacing.img	b	BAD	405	SPACING_IRREGULAR,HIERARCHY_FLAT	487
bad_type.img	a	BAD	573	TYPOGRAPHY_INCONSISTENT	67
bad_type.img	b	BAD	573	TYPOGRAPHY_INCONSISTENT	67
good_clean.img	a	GOOD	1000	none	1000
good_clean.img	b	GOOD	1000	none	1000
good_dark.img	a	GOOD	944	none	860
good_dark.img	b	GOOD	944	none	860
good_mild.img	a	GOOD	1000	none	1000
good_mild.img	b	GOOD	1000	none	1000
good_varied.img	a	GOOD	915	none	787
good_varied.img	b	GOOD	915	none	787
