0	0	wiki:simple:-34:sent000000	c2050eef28d405cb	AUDIT-REVISED slot=0 seq=0 key=wiki:simple:-34:sent000000
25970	28830	wiki:simple:199495_austrian_cup:sent000005	5f0f71c9c1e94dc2	AUDIT-REVISED slot=25970 seq=1 key=wiki:simple:199495_austrian_cup:sent000005
51941	58324	wiki:simple:2024_nascar_craftsman_truck_series:sent000000	8c9a97358bcfa9ad	AUDIT-REVISED slot=51941 seq=2 key=wiki:simple:2024_nascar_craftsman_truck_series:sent000000
77911	91282	wiki:simple:acadian_french:sent000011	0f5019f1f32f645d	AUDIT-REVISED slot=77911 seq=3 key=wiki:simple:acadian_french:sent000011
103882	123159	wiki:simple:alan_rees_rugby:sent000001	efa9f6b583cad463	AUDIT-REVISED slot=103882 seq=4 key=wiki:simple:alan_rees_rugby:sent000001
129852	154306	wiki:simple:altenhohenau:sent000012	48bd97fd26c0bb28	AUDIT-REVISED slot=129852 seq=5 key=wiki:simple:altenhohenau:sent000012
155823	186731	wiki:simple:angry_birds:sent000001	19cd19368885f28c	AUDIT-REVISED slot=155823 seq=6 key=wiki:simple:angry_birds:sent000001
181793	283695	wiki:simple:ayla_algan:sent000003	600ac9d929c92d23	AUDIT-REVISED slot=181793 seq=7 key=wiki:simple:ayla_algan:sent000003
207764	315004	wiki:simple:batman_66:sent000001	0316243de9058f2f	AUDIT-REVISED slot=207764 seq=8 key=wiki:simple:batman_66:sent000001
233735	348671	wiki:simple:bernards_high_school:sent000017	02488c720e1a1e0e	AUDIT-REVISED slot=233735 seq=9 key=wiki:simple:bernards_high_school:sent000017
259705	380830	wiki:simple:blog:sent000009	e4acdb1bc9dee099	AUDIT-REVISED slot=259705 seq=10 key=wiki:simple:blog:sent000009
285676	414073	wiki:simple:breakdance:sent000034	c8d5b3cd9580bcbf	AUDIT-REVISED slot=285676 seq=11 key=wiki:simple:breakdance:sent000034
311646	446376	wiki:simple:byun_baek-hyun:sent000002	7ed2ae9c14206ce3	AUDIT-REVISED slot=311646 seq=12 key=wiki:simple:byun_baek-hyun:sent000002
337617	478669	wiki:simple:carter_pewterschmidt:sent000001	8873f154ab1d633f	AUDIT-REVISED slot=337617 seq=13 key=wiki:simple:carter_pewterschmidt:sent000001
