12985	14707	wiki:simple:1910_in_music:sent000044	121614ff46298cb1
38955	43317	wiki:simple:201213_premier_league:sent000001	7686f974e4af366a
64926	74808	wiki:simple:9th_century:sent000000	075c4c64819345ed
90896	107142	wiki:simple:african_swine_fever_virus:sent000030	58c0f5da4ea48e98
116867	138927	wiki:simple:alfred_russel_wallace:sent000056	e30ec3c5bdfeca00
142837	170700	wiki:simple:anacapri:sent000001	da65eac64d0b169a
168808	267899	wiki:simple:august_25:sent000170	ca2b33b8ebd313af
194778	299386	wiki:simple:bambuco:sent000004	9ba96e4b10267255
220749	332482	wiki:simple:beauty_shop:sent000004	30328179654a94b8
246720	365061	wiki:simple:billy_mcneill:sent000015	99bfff200113a921
272690	397962	wiki:simple:bonn:sent000008	563ef81ff6c085f0
298661	429932	wiki:simple:bruce_springsteen:sent000002	3b03b4c61f57ff81
324631	462114	wiki:simple:canning:sent000016	bd4fdc44cd3eed87
350602	494791	wiki:simple:centre_department:sent000001	7b2b18291f83f338
376572	528430	wiki:simple:child_development:sent000138	09a28954d7b8dece
402543	561639	wiki:simple:claude_monet:sent000006	d26eb825d8a4929a
428514	593613	wiki:simple:conflict_resolution:sent000083	4011dd221eb9fbd4
454484	625438	wiki:simple:cromwellian_conquest_of_ireland:sent000004	0bd0b4e3f218cfd7
480455	658308	wiki:simple:david:sent000042	603a77e8aebbcf59
506425	689782	wiki:simple:defenestration:sent000009	b534368832ada1ad
532396	722107	wiki:simple:disney_jr_australian_and_new_zealand_tv_channel:sent000008	49db676cf5b9b3db
558366	755750	wiki:simple:duke_of_rutland:sent000009	4904ba2ca8e2e762
584337	789109	wiki:simple:ejaculation:sent000061	6e7a8e9dfbcf6528
610308	821292	wiki:simple:environmental_humanities:sent000082	e919f3a1d1564a7b
636278	853223	wiki:simple:extinction:sent000032	1f5368dd0a6b1225
662249	883824	wiki:simple:fibula_brooch:sent000005	5b5bd6183755436c
688219	915535	wiki:simple:fractional_distillation:sent000000	f577e0df5b0e8b60
714190	1013853	wiki:simple:gothic_art:sent000023	1ba051033e55dec3
740160	1045621	wiki:simple:gurbir_grewal:sent000001	680d4fde9f659fa3
766131	1078080	wiki:simple:hazari_lane_violence:sent000006	de3de19eb7841a58
792102	1109560	wiki:simple:hisashi_kato:sent000018	ed6c029f9bdecf29
818072	1141760	wiki:simple:htchighroad:sent000083	0aaf609dee8c4135
844043	1173155	wiki:simple:illegal_logging:sent000008	6d5d5cfcae377f76
870013	1205232	wiki:simple:iranic_peoples:sent000009	43296524a2a5f456
895984	1238450	wiki:simple:james_l_venable:sent000001	3e4ed61cd3ff5d96
921954	1270295	wiki:simple:jeremy_kyle:sent000009	c1c96b6528233ecb
947925	1304422	wiki:simple:john_steinbeck:sent000031	560ea285526ac382
