id,key,vold,vnew,a1,op1,a2,op2,a3,op3,cidx,caval,gt,class
1,1100,105,205,155,1,155,2,205,0,-1,0,NEW,N-clean
2,1101,125,225,175,1,175,2,225,0,-1,0,NEW,N-clean
3,1102,145,245,195,1,195,2,245,0,-1,0,NEW,N-clean
4,1103,165,265,215,1,215,2,265,0,-1,0,NEW,N-clean
5,1104,185,285,235,1,235,2,285,0,-1,0,NEW,N-clean
6,1105,205,305,255,1,255,2,305,0,-1,0,NEW,N-clean
7,2100,205,105,155,1,155,2,205,0,-1,0,OLD,O-clean
8,2101,225,125,175,1,175,2,225,0,-1,0,OLD,O-clean
9,2102,245,145,195,1,195,2,245,0,-1,0,OLD,O-clean
10,2103,265,165,215,1,215,2,265,0,-1,0,OLD,O-clean
11,2104,285,185,235,1,235,2,285,0,-1,0,OLD,O-clean
12,2105,305,205,255,1,255,2,305,0,-1,0,OLD,O-clean
13,3100,105,205,105,0,155,1,155,2,0,205,NEW,ADV-NEW
14,3101,125,225,125,0,175,1,175,2,0,225,NEW,ADV-NEW
15,4100,205,105,105,0,155,1,155,2,0,205,OLD,ADV-OLD
16,4101,225,125,125,0,175,1,175,2,0,225,OLD,ADV-OLD
17,5100,105,205,155,1,155,2,999,0,-1,0,WITHHOLD,NEITHER
18,5101,125,225,175,1,175,2,999,0,-1,0,WITHHOLD,NEITHER
19,5102,145,245,195,1,195,2,999,0,-1,0,WITHHOLD,NEITHER
20,5103,165,265,215,1,215,2,999,0,-1,0,WITHHOLD,NEITHER
21,5104,185,285,235,1,235,2,999,0,-1,0,WITHHOLD,NEITHER
22,5105,205,305,255,1,255,2,999,0,-1,0,WITHHOLD,NEITHER
23,5106,225,325,275,1,275,2,999,0,-1,0,WITHHOLD,NEITHER
24,5107,245,345,295,1,295,2,999,0,-1,0,WITHHOLD,NEITHER
