P01	Kale smoothies reverse diabetes	No clinical trials have shown that kale smoothies reverse diabetes.	
P02	Kale smoothies reverse diabetes	There is no clinical evidence that kale smoothies reverse diabetes.	
P03	Copper bracelets cure arthritis	No clinical trials have shown that copper bracelets cure arthritis.	
P04	The human body has exactly six hundred muscles	Anatomists count six hundred fifty muscles.	
P05	The body has exactly six hundred muscles	Anatomists estimate between six hundred fifty and eight hundred forty muscles.	
P06	Bats lay eggs	Bats do not lay eggs.	
P07	Unlike birds, bats lay eggs	Bats do not lay eggs.	
P08	Water boils at one hundred degrees	At altitude, water boils at eighty seven degrees.	
P09	Water boils at one hundred degrees	At altitude, water boils at eighty-seven degrees.	
P10	Water boils at one hundred degrees	At altitude, water boils near eighty seven degrees.	
P11	The swan is white	Black swans are native to Australia.	
P12	All swans are white	Black swans exist in Australia.	
P13	Lightning never strikes twice	The tower is struck by lightning dozens of times each year.	
P14	Nobody survived the voyage	Three sailors survived the voyage.	
P15	The library contains no books on astronomy	The library holds over four hundred astronomy books.	
P16	No student failed the exam	Every student passed the exam.	
P17	The Eiffel Tower was not built in the twentieth century	Construction was completed in eighteen eighty-nine.	
P18	The treatment is not risk-free	The treatment carries documented risks.	
P19	Bats are blind	Bats see well.	
P20	Penguins can fly	Penguins are flightless.	
