cell gate | expected seq            | actual seq              | final_perm exp/act | fi exp/act | installs | verdict
C1   0    | PROV,PERM,CONF,CONF    | PROV,PERM,CONF,CONF    |   0 / 0          | 0 / 0     | 2        | PASS
C1   1    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   1 / 1          | 0 / 0     | 4        | PASS
C1   2    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   1 / 1          | 0 / 0     | 4        | PASS
C2   0    | PROV,PERM,CONF         | PROV,PERM,CONF         |   3 / 3          | 0 / 0     | 2        | PASS
C2   1    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   3 / 3          | 0 / 0     | 3        | PASS
C2   2    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   3 / 3          | 0 / 0     | 3        | PASS
C3   0    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
C3   1    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   0 / 0          | 0 / 0     | 3        | PASS
C3   2    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   0 / 0          | 0 / 0     | 3        | PASS
CC1  0    | PROV,PERM,CONF,CONF    | PROV,PERM,CONF,CONF    |   3 / 3          | 0 / 0     | 2        | PASS
CC1  1    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   2 / 2          | 1 / 1     | 4        | PASS
CC1  2    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   2 / 2          | 1 / 1     | 4        | PASS
CC2  0    | PROV,PERM,CONF,CONF    | PROV,PERM,CONF,CONF    |   0 / 0          | 0 / 0     | 2        | PASS
CC2  1    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   1 / 1          | 0 / 0     | 4        | PASS
CC2  2    | PROV,PERM,CHAL,REV     | PROV,PERM,CHAL,REV     |   1 / 1          | 0 / 0     | 4        | PASS
H1   0    | CONF                   | CONF                   |   0 / 0          | 0 / 0     | 0        | PASS
H1   1    | CONF                   | CONF                   |   0 / 0          | 0 / 0     | 0        | PASS
H1   2    | CONF                   | CONF                   |   0 / 0          | 0 / 0     | 0        | PASS
R1   0    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
R1   1    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
R1   2    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
R2   0    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
R2   1    | PROV,PROV,CHAL         | PROV,PROV,CHAL         |  -1 / -1         | 0 / 0     | 3        | PASS
R2   2    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   0 / 0          | 0 / 0     | 3        | PASS
T1   0    | PROV,PERM,CONF         | PROV,PERM,CONF         |   0 / 0          | 0 / 0     | 2        | PASS
T1   1    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   0 / 0          | 0 / 0     | 3        | PASS
T1   2    | PROV,PERM,CHAL         | PROV,PERM,CHAL         |   0 / 0          | 0 / 0     | 3        | PASS
W1   0    | WITH,WITH,WITH         | WITH,WITH,WITH         |  -1 / -1         | 0 / 0     | 0        | PASS
W1   1    | WITH,WITH,WITH         | WITH,WITH,WITH         |  -1 / -1         | 0 / 0     | 0        | PASS
W1   2    | WITH,WITH,WITH         | WITH,WITH,WITH         |  -1 / -1         | 0 / 0     | 0        | PASS
summary: 30/30 gate-cells PASS
