item_id	func_name	file	subsystem	byte_start	byte_end	n_bytes	sha256	sig_line
dp2-0001	lockBtreeMutex	btreeInt.h	btree	2778615	2778855	240	f542192029b0ed6f01d15dbffb7162f86360f3ae47fd567b1bbc981461d43112	static void lockBtreeMutex(Btree *p){
dp2-0002	btreeLockCarefully	btreeInt.h	btree	2781417	2782415	998	24e19739f3d50233e54a6f9fb7de7289cf394dca6a0337e7bfb992e1ba611958	static void SQLITE_NOINLINE btreeLockCarefully(Btree *p){
dp2-0003	btreeEnterAll	btreeInt.h	btree	2783845	2784150	305	a3136708d8db2772ef015c0736442bac7c52eb2c406be965530e09d032c6ac39	static void SQLITE_NOINLINE btreeEnterAll(sqlite3 *db){
dp2-0004	sqlite3BtreeHoldsAllMutexes	btreeInt.h	btree	2784765	2785096	331	82cc98b5afb8b8b562f7ff14ecffa20662bc6da4c605647947bcb4972b5f25f4	SQLITE_PRIVATE int sqlite3BtreeHoldsAllMutexes(sqlite3 *db){
dp2-0005	sqlite3BtreeEnterAll	btreeInt.h	btree	2786433	2786607	174	cef8db98ca6a7c4af94816f9a89e0ef4485fe834ca5743167ae569f2eea1711b	SQLITE_PRIVATE void sqlite3BtreeEnterAll(sqlite3 *db){
dp2-0006	sqlite3_enable_shared_cache	btree.c	btree	2790275	2790404	129	cfaa5312f735059c36ae06fb50485f405aedede8f158a3316691699c1e32edf2	SQLITE_API int sqlite3_enable_shared_cache(int enable){
dp2-0007	hasSharedCacheTableLock	btree.c	btree	2794554	2796941	2387	775ee8df803b3171f0cdf740ecc752a369e48c5654c5863bafbfcc7a78cf3fde	static int hasSharedCacheTableLock(
dp2-0008	setSharedCacheTableLock	btree.c	btree	2800911	2802737	1826	9bea59df77d9838d5c5b8e6b922b82b11ac62cdb90eb585c64733a3c11c7aa2f	static int setSharedCacheTableLock(Btree *p, Pgno iTable, u8 eLock){
dp2-0009	cursorHoldsMutex	btree.c	btree	2805366	2805454	88	ff83b26dfac16522b0e4d2e34282010bc2b34fb71f7b135ab7fcf00ecc0e4a60	static int cursorHoldsMutex(BtCursor *p){
dp2-0010	btreeSetHasContent	btree.c	btree	2809800	2810201	401	205412c2b59a70856a5bdf796e8df7217bc01043e1bd40bdb733eb8fdc78e20f	static int btreeSetHasContent(BtShared *pBt, Pgno pgno){
dp2-0011	btreeReleaseAllCursorPages	btree.c	btree	2810951	2811188	237	dc3f009d17467fa40a441871cead86bfacbb69ce213b46637424ca76e7f81566	static void btreeReleaseAllCursorPages(BtCursor *pCur){
dp2-0012	saveAllCursors	btree.c	btree	2814981	2815394	413	dbfc3a26120b2ff58d77ee0a16510bf34960ae8ec67378d63807f4639c8b2a7a	static int saveAllCursors(BtShared *pBt, Pgno iRoot, BtCursor *pExcept){
dp2-0013	btreeRestoreCursorPosition	btree.c	btree	2818094	2818807	713	532099be7ce2e79f606e3febdb1c834ff7247ed852b52e25553f7bd40d3f346f	static int btreeRestoreCursorPosition(BtCursor *pCur){
dp2-0014	sqlite3BtreeCursorRestore	btree.c	btree	2820681	2821045	364	8271a9e6e599ad38263eeaeacd819ff26b05ea10761ade9c06ce1c8295959c35	SQLITE_PRIVATE int sqlite3BtreeCursorRestore(BtCursor *pCur, int *pDifferentRow){
dp2-0015	ptrmapPageno	btree.c	btree	2822486	2822843	357	cb6bcc58433683d4f981c366c51d58bd65e816e4c74891c3023ff7af44b16c86	static Pgno ptrmapPageno(BtShared *pBt, Pgno pgno){
dp2-0016	btreePayloadToLocal	btree.c	btree	2828379	2828929	550	e1c609dcc92142411ece106623e9e658ed9046afeadec01a0320992c91b7ee4d	static int btreePayloadToLocal(MemPage *pPage, i64 nPayload){
dp2-0017	btreeParseCellPtrIndex	btree.c	btree	2832547	2833878	1331	a6d95d86e69eb109d952eafcc99d4e26ed515eb1cf00d14a2dfaabea65a4fdbf	static void btreeParseCellPtrIndex(
dp2-0018	cellSizePtrIdxLeaf	btree.c	btree	2836127	2837571	1444	4de42293646850a139f67216d345d8a2e445828d795cb81f7d91bbf0c04b55c3	static u16 cellSizePtrIdxLeaf(MemPage *pPage, u8 *pCell){
dp2-0019	ptrmapPutOvflPtr	btree.c	btree	2840631	2841136	505	ea32b843c232555c2641ab33778233647e8cdb2657c3a1a0255ec525789280eb	static void ptrmapPutOvflPtr(MemPage *pPage, MemPage *pSrc, u8 *pCell,int *pRC){
dp2-0020	allocateSpace	btree.c	btree	2849630	2852785	3155	af1f5d1044750073a07f10d8cb84e888df46954e535cc595abfe0cedbb7a3da9	static SQLITE_INLINE int allocateSpace(MemPage *pPage, int nByte, int *pIdx){
dp2-0021	btreeComputeFreeSpace	btree.c	btree	2859794	2862909	3115	67ea9ddd4d524ebe72ca15357051b63a003d9376465e708084c404a85df72dfd	static int btreeComputeFreeSpace(MemPage *pPage){
dp2-0022	btreePageFromDbPage	btree.c	btree	2867799	2868211	412	47ab83c92956b3dcb6967a42b4940c15469b1d90279c8c139869d910fd67aab6	static MemPage *btreePageFromDbPage(DbPage *pDbPage, Pgno pgno, BtShared *pBt){
dp2-0023	btreePagecount	btree.c	btree	2869886	2869952	66	9cc464c3e37d32dfef140b2609d9a741ccaa1365d1597f02d74003f9e193cab6	static Pgno btreePagecount(BtShared *pBt){
dp2-0024	releasePageNotNull	btree.c	btree	2871286	2871641	355	c1f6596b415c2c5beacc186724e61700c8378240de76946a31026d51b4692921	static void releasePageNotNull(MemPage *pPage){
dp2-0025	pageReinit	btree.c	btree	2873253	2874008	755	49f019cc620d1988792eca13c9c4717ec12632a02444748ec1d3cdc3aaf88750	static void pageReinit(DbPage *pData){
dp2-0026	removeFromSharingList	btree.c	btree	2885640	2886540	900	0af70ed7527f99f75512feb72776758fa9f9f50d7565a65cdf35de09817a5cae	static int removeFromSharingList(BtShared *pBt){
dp2-0027	sqlite3BtreeSetCacheSize	btree.c	btree	2890322	2890580	258	ce4245b3358ce54050728b627663c08e43d2346e15232529e97a0a0b62a012c9	SQLITE_PRIVATE int sqlite3BtreeSetCacheSize(Btree *p, int mxPage){
dp2-0028	sqlite3BtreeSetPagerFlags	btree.c	btree	2892197	2892555	358	88be4a4dd21090882e3224cd46d92c0a9db53ec9c3f01953b85ca9b184394c5a	SQLITE_PRIVATE int sqlite3BtreeSetPagerFlags(
dp2-0029	sqlite3BtreeGetReserveNoMutex	btree.c	btree	2895119	2895294	175	ece515badfe7bf0a5bab57feda8476ca13d847bc25ea421fa91a9be1308934a9	SQLITE_PRIVATE int sqlite3BtreeGetReserveNoMutex(Btree *p){
dp2-0030	sqlite3BtreeSetAutoVacuum	btree.c	btree	2897831	2898293	462	f2b3044f745a74d0b422974d8ba70757fcd835488fad0c58b3a253d80c2e99ee	SQLITE_PRIVATE int sqlite3BtreeSetAutoVacuum(Btree *p, int autoVacuum){
dp2-0031	lockBtree	btree.c	btree	2899990	2906325	6335	f9178b23b21957033c65a455e978c1d33bfb1ef4df40544a5f1744f4aee2ed64	static int lockBtree(BtShared *pBt){
dp2-0032	newDatabase	btree.c	btree	2907931	2909048	1117	200ded147be8c5bb53b3d79bd9dbabcd5b84ee267d807a112834ce6875884a32	static int newDatabase(BtShared *pBt){
dp2-0033	setChildPtrmaps	btree.c	btree	2919088	2919953	865	7914ddfb56e4030060030d17a4fbba36c8dca42ee3c31eec232067b842c92751	static int setChildPtrmaps(MemPage *pPage){
dp2-0034	incrVacuumStep	btree.c	btree	2925884	2928742	2858	78c20d1bccda47b3aa97040f96c05b5d667369c8133ab8c36c384a617c03403b	static int incrVacuumStep(BtShared *pBt, Pgno nFin, Pgno iLastPg, int bCommit){
dp2-0035	autoVacuumCommit	btree.c	btree	2930893	2933195	2302	eab9d388710af38017ac6fd40db6f1af65f40586c7730b7b95ca618093b5c3fb	static int autoVacuumCommit(Btree *p){
dp2-0036	sqlite3BtreeCommit	btree.c	btree	2938813	2939046	233	ae4b6933df5451f41b864895af7fc8f477266e3442566ae3857e65fb6dc6d60b	SQLITE_PRIVATE int sqlite3BtreeCommit(Btree *p){
dp2-0037	sqlite3BtreeRollback	btree.c	btree	2941902	2943180	1278	b338a3610834a4eee22d7c4a4eecd79f989fa738130724d2726cf6392c91db95	SQLITE_PRIVATE int sqlite3BtreeRollback(Btree *p, int tripCode, int writeOnly){
dp2-0038	btreeCursor	btree.c	btree	2948486	2950901	2415	f180aea06d6c5a20904800c96f7211109978f0ae9c0458ffa690e90a31377ab3	static int btreeCursor(
dp2-0039	sqlite3BtreeClosesWithCursor	btree.c	btree	2952542	2952897	355	05585d21bf16dd2e8bb336e227c80ebba1f9b4b669522675ce5441f0c24b6a3a	SQLITE_PRIVATE int sqlite3BtreeClosesWithCursor(
dp2-0040	getCellInfo	btree.c	btree	2955321	2955540	219	f2679d7aa6886bf0f98650e7f35320d3d677ea0985f1be129f9f5c73c966c5fc	static SQLITE_NOINLINE void getCellInfo(BtCursor *pCur){
dp2-0041	sqlite3BtreeIntegerKey	btree.c	btree	2956351	2956564	213	6f2966a7501b35f4aefe9d1f5edecd5c4675c2d227fb874c0df6cae7c27ec66e	SQLITE_PRIVATE i64 sqlite3BtreeIntegerKey(BtCursor *pCur){
dp2-0042	sqlite3BtreePayloadSize	btree.c	btree	2957680	2957869	189	ae0c084ecfa518973f650997275e788e20967d327b980d71b330dd0e437c1acc	SQLITE_PRIVATE u32 sqlite3BtreePayloadSize(BtCursor *pCur){
dp2-0043	copyPayload	btree.c	btree	2961548	2962198	650	61b86a47f2c96f93912d580f5fc97499b6dbb423bc6c7d4d238b7197bf542332	static int copyPayload(
dp2-0044	accessPayloadChecked	btree.c	btree	2972011	2972340	329	1bdd26f81f2ebad8cf8348aece4d1cc0bc3bec6e2edcaf669f7a276740daa811	static SQLITE_NOINLINE int accessPayloadChecked(
dp2-0045	moveToChild	btree.c	btree	2975663	2976518	855	6ed08adde8861d0c0320e0ff8001ef93d6f8c12c5cb8dd1d3e0196fa2644bace	static int moveToChild(BtCursor *pCur, u32 newPgno){
dp2-0046	moveToRoot	btree.c	btree	2979254	2981805	2551	0f5d6b2381df022fe6cf21c4677b101702de5bfac595356f4dba24c4b8a4422c	static int moveToRoot(BtCursor *pCur){
dp2-0047	sqlite3BtreeFirst	btree.c	btree	2983507	2983972	465	5ca5aab06464e3963a087f19edfb0eeb5701dd1e94be3c6e4c21ad985726ad98	SQLITE_PRIVATE int sqlite3BtreeFirst(BtCursor *pCur, int *pRes){
dp2-0048	sqlite3BtreeLast	btree.c	btree	2985802	2986238	436	58d21da67087e3180f8fdb7dadd7dedc3dc36a52a72ed8e482a7173b5c535bbb	SQLITE_PRIVATE int sqlite3BtreeLast(BtCursor *pCur, int *pRes){
dp2-0049	cursorOnLastPage	btree.c	btree	2993480	2993710	230	59480f0cdfcfb0f7ced4c8e1d108e433cee69d994424d61d1111a2a2affc32e3	static int cursorOnLastPage(BtCursor *pCur){
dp2-0050	sqlite3BtreeRowCountEst	btree.c	btree	3003789	3004367	578	6e879bd3638358b90ef45ba829018be5b8fd3b92867b1eb32f92b445334e0262	SQLITE_PRIVATE i64 sqlite3BtreeRowCountEst(BtCursor *pCur){
dp2-0051	sqlite3BtreePrevious	btree.c	btree	3009301	3009759	458	b91d550b682cecaee601c6136327628d82e38d4244f329c19e6914d491d8db8e	SQLITE_PRIVATE int sqlite3BtreePrevious(BtCursor *pCur, int flags){
dp2-0052	freePage	btree.c	btree	3027895	3028030	135	b144bb65b3c7db5f35d2efd6a540c6693e9a145f2e5a91c3d48f799536a067e7	static void freePage(MemPage *pPage, int *pRC){
dp2-0053	insertCell	btree.c	btree	3040261	3043956	3695	1b89b59c5dfc7bebff3ad320b332aab61fa8e62383b80637169df9315b7c132e	static int insertCell(
dp2-0054	computeCellSize	btree.c	btree	3052222	3052433	211	ae952b3885fb9d80cd700cb461d180e1d6b7ebc94a5e502ccb823713a93a269e	static SQLITE_NOINLINE u16 computeCellSize(CellArray *p, int N){
dp2-0055	pageInsertArray	btree.c	btree	3056774	3058981	2207	274be6b40535111570b14ae3b85f0ec2204353faead66d2cf168f89b2b8b375c	static int pageInsertArray(
dp2-0056	ptrmapCheckPages	btree.c	btree	3069830	3070740	910	1133c6d723727a9ced52f60004f3c36c7449ad2009da19e878a47f81c1ac204f	static int ptrmapCheckPages(MemPage **apPage, int nPage){
dp2-0057	balance_deeper	btree.c	btree	3104948	3106651	1703	7690efbd3c50ead95b6eea8fc77f28b2e31be4ae1e5d9470feaf322c2fadcc79	static int balance_deeper(MemPage *pRoot, MemPage **ppChild){
dp2-0058	btreeOverwriteContent	btree.c	btree	3113405	3114870	1465	72ed29647417c9ac2176600911d24b86d5ebccfffc5737b6c920bee9d9cde25c	static int btreeOverwriteContent(
