item_id	play	byte_start	byte_end	n_bytes	sha256	attribution_rule
dp1-0001	HAMLET	976505	976746	241	15793e2579b5dde000e945446a363bb343d0b859d17074c09ba1bc4396e24ecb	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0002	HAMLET	977715	977940	225	492cf19f13f1d571e1dc8f1d671478cec0c85a55ac1b27926a472cf890377036	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0003	HAMLET	978959	979175	216	00c0da5a7afb107fca9a0f057738b2633197623396c5d1d414541930ca38d788	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0004	HAMLET	980202	980410	208	f97c18a7ee2063a05318db8cb9e97de2223222f31529763f4310636428f540c9	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0005	HAMLET	981472	981684	212	f484a417d14956bfae30ec5f44e1beeafa6f23b4fa83230dd5984b92ebd5434d	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0006	HAMLET	982710	982923	213	31490cdc70b7dcac49b4e98dc032e0b028af64c81c0041ebdb646bbf7cfacc60	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0007	HAMLET	983970	984182	212	6c00f6072007fc0dd63f2613be6cb5e0d52bd74daf54982dbd984e2239588b96	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0008	HAMLET	985197	985424	227	ed526107ed79f902f7827c1850d4c82a1c4714c3d67bbbcd83aa0e570a141fad	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0009	HAMLET	986437	986645	208	bfa2440cccb7907bda9692c4e33a639d21678999a7b96180015460137c08f5df	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0010	HAMLET	987685	987909	224	98e3fb5a35a3afb0f74eecd864305e97bd0114b5469732c75ccc60e4b2cac7b4	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0011	HAMLET	988918	989155	237	dd9428b2f9a67eb14f33b65f8dd582fa59efc531af41bffa3803aa8dc65cc74a	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0012	HAMLET	990166	990409	243	062da3ab84c81af3e0931116fcf2dc6d055aa2c21557ddc2d5e9a2867876f1b4	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
dp1-0013	HAMLET	991397	991632	235	eb1f98e04bbeac0d90d9b50c7036ae1e73d5d01bed2ec7f3450306a436e43640	enclosing play region: body banner (exact non-indented Contents title) to next play's banner
