# train_f26 log — F26 EFFIC TRAIN-COORD v2 (PREREG_FORKROUND.md §5b)
# mode=1 base control (fit b,w1..w8; w9 frozen 0)
ncells_training_released=4222
# E_ref per (fam,dslot) [lower median cumE over released training cells]
eref	0	0	111
eref	0	1	222
eref	0	2	444
eref	0	3	888
eref	0	4	1000
eref	0	5	1000
eref	0	6	1000
eref	1	0	142
eref	1	1	285
eref	1	2	571
eref	1	3	1000
eref	1	4	1000
eref	1	5	1000
eref	1	6	1000
eref	2	0	1000
eref	2	1	1000
eref	2	2	1000
eref	2	3	1000
eref	2	4	1000
eref	2	5	1000
eref	2	6	1000
eref	3	0	200
eref	3	1	400
eref	3	2	800
eref	3	3	1000
eref	3	4	1000
eref	3	5	1000
eref	3	6	1000
eref	4	0	333
eref	4	1	500
eref	4	2	571
eref	4	3	1000
eref	4	4	1000
eref	4	5	1000
eref	4	6	1000
eref	5	0	200
eref	5	1	400
eref	5	2	800
eref	5	3	1000
eref	5	4	1000
eref	5	5	1000
eref	5	6	1000
eref	6	0	45
eref	6	1	90
eref	6	2	181
eref	6	3	363
eref	6	4	380
eref	6	5	761
eref	6	6	1000
eref	7	0	250
eref	7	1	500
eref	7	2	500
eref	7	3	1000
eref	7	4	1000
eref	7	5	1000
eref	7	6	1000
eref	8	0	47
eref	8	1	95
eref	8	2	190
eref	8	3	380
eref	8	4	390
eref	8	5	780
eref	8	6	1000
F26b	init	obj=3880000000	v12=0	mccn=0	mccd=3880	v3bad=1
F26b	sw0	p0	try50	obj3502555000	dobj-377445000	acc1
F26b	sw0	p0	try8	obj3444122808	dobj-58432192	acc1
F26b	sw0	p0	try1	obj3436856782	dobj-7266026	acc1
F26b	sw0	p1	try50	obj3164709800	dobj-272146982	acc1
F26b	sw0	p1	try8	obj3122344332	dobj-42365468	acc1
F26b	sw0	p1	try1	obj3118588986	dobj-3755346	acc1
F26b	sw0	p2	try50	obj3101533646	dobj-17055340	acc1
F26b	sw0	p2	try8	obj3099999851	dobj-1533795	acc1
F26b	sw0	p2	try1	obj3099948556	dobj-51295	acc1
F26b	sw0	p3	try50	obj3099948556	dobj0	acc0
F26b	sw0	p3	try-50	obj3099948556	dobj0	acc0
F26b	sw0	p3	try8	obj3099948556	dobj0	acc0
F26b	sw0	p3	try-8	obj3099948556	dobj0	acc0
F26b	sw0	p3	try1	obj3099948556	dobj0	acc0
F26b	sw0	p3	try-1	obj3099948556	dobj0	acc0
F26b	sw0	p4	try50	obj3001016685	dobj-98931871	acc1
F26b	sw0	p4	try8	obj2985753850	dobj-15262835	acc1
F26b	sw0	p4	try1	obj2983370044	dobj-2383806	acc1
F26b	sw0	p5	try50	obj2737373633	dobj-245996411	acc1
F26b	sw0	p5	try8	obj2699369826	dobj-38003807	acc1
F26b	sw0	p5	try1	obj2694492929	dobj-4876897	acc1
F26b	sw0	p6	try50	obj2501924079	dobj-192568850	acc1
F26b	sw0	p6	try8	obj2472274076	dobj-29650003	acc1
F26b	sw0	p6	try1	obj2468847483	dobj-3426593	acc1
F26b	sw0	p7	try50	obj2317397183	dobj-151450300	acc1
F26b	sw0	p7	try8	obj2294088495	dobj-23308688	acc1
F26b	sw0	p7	try1	obj2291192819	dobj-2895676	acc1
F26b	sw0	p8	try50	obj2291143319	dobj-49500	acc1
F26b	sw0	p8	try8	obj2291135244	dobj-8075	acc1
F26b	sw0	p8	try1	obj2291133635	dobj-1609	acc1
F26b	sweep0	accepted=24	best=2291133635
F26b	sw1	p0	try50	obj2010063735	dobj-281069900	acc1
F26b	sw1	p0	try8	obj1967051559	dobj-43012176	acc1
F26b	sw1	p0	try1	obj1961713035	dobj-5338524	acc1
F26b	sw1	p1	try50	obj1763649272	dobj-198063763	acc1
F26b	sw1	p1	try8	obj1733112156	dobj-30537116	acc1
F26b	sw1	p1	try1	obj1730373153	dobj-2739003	acc1
F26b	sw1	p2	try50	obj1717299710	dobj-13073443	acc1
F26b	sw1	p2	try8	obj1715721644	dobj-1578066	acc1
F26b	sw1	p2	try1	obj1715571325	dobj-150319	acc1
F26b	sw1	p3	try50	obj1715571325	dobj0	acc0
F26b	sw1	p3	try-50	obj1715571325	dobj0	acc0
F26b	sw1	p3	try8	obj1715571325	dobj0	acc0
F26b	sw1	p3	try-8	obj1715571325	dobj0	acc0
F26b	sw1	p3	try1	obj1715571325	dobj0	acc0
F26b	sw1	p3	try-1	obj1715571325	dobj0	acc0
F26b	sw1	p4	try50	obj1648955097	dobj-66616228	acc1
F26b	sw1	p4	try8	obj1638672253	dobj-10282844	acc1
F26b	sw1	p4	try1	obj1637465234	dobj-1207019	acc1
F26b	sw1	p5	try50	obj1463719335	dobj-173745899	acc1
F26b	sw1	p5	try8	obj1437225879	dobj-26493456	acc1
F26b	sw1	p5	try1	obj1433873655	dobj-3352224	acc1
F26b	sw1	p6	try50	obj1297360413	dobj-136513242	acc1
F26b	sw1	p6	try8	obj1276517456	dobj-20842957	acc1
F26b	sw1	p6	try1	obj1274060269	dobj-2457187	acc1
F26b	sw1	p7	try50	obj1176547069	dobj-97513200	acc1
F26b	sw1	p7	try8	obj1161868317	dobj-14678752	acc1
F26b	sw1	p7	try1	obj1160051383	dobj-1816934	acc1
F26b	sw1	p8	try50	obj1160013703	dobj-37680	acc1
