leg,slice,raw_hits,near_misses,misses,score_x10,pass,clean_adopts,mastery_24,tripwire,false_in_slice,absorbed_in_slice
clean,0,12,0,0,120,1,20,24,0,0,0
clean,1,12,0,0,120,1,20,24,0,0,0
clean,2,12,0,0,120,1,20,24,0,0,0
clean,3,12,0,0,120,1,20,24,0,0,0
clean,4,12,0,0,120,1,20,24,0,0,0
clean,5,12,0,0,120,1,20,24,0,0,0
clean,6,12,0,0,120,1,20,24,0,0,0
clean,7,12,0,0,120,1,20,24,0,0,0
noisy,0,12,0,0,120,1,20,24,0,2,0
noisy,1,12,0,0,120,1,20,24,0,3,0
noisy,2,12,0,0,120,1,20,24,0,1,0
noisy,3,12,0,0,120,1,20,24,0,3,0
noisy,4,12,0,0,120,1,20,24,0,3,0
noisy,5,12,0,0,120,1,20,24,0,2,0
noisy,6,12,0,0,120,1,20,24,0,2,0
noisy,7,12,0,0,120,1,20,24,0,3,0
taught,0,12,0,0,120,1,20,22,0,2,2
taught,1,12,0,0,120,1,20,21,0,3,3
taught,2,12,0,0,120,1,20,23,0,1,1
taught,3,12,0,0,120,1,20,21,0,3,3
taught,4,12,0,0,120,1,20,21,0,3,3
taught,5,12,0,0,120,1,20,22,0,2,2
taught,6,12,0,0,120,1,20,22,0,2,2
taught,7,12,0,0,120,1,20,21,0,3,3
