case	baseline_install	verdictp_install	gate	shares
E_LD3_distinct_cites	1	0	GATE|OPCOIN|A+CG+T|r1,r2,r3	INFO|OPCOIN|a=3|cg=3|l=1|t=3|sh=3|pb=3|r=0|ns=0
E_TS3_staggered_time	1	0	GATE|OPCOIN|A+CG+L|r1,r2,r3	INFO|OPCOIN|a=3|cg=3|l=3|t=1|sh=3|pb=3|r=0|ns=0
H10_punct_variant	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H11_claim_second	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H12_numeric2	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H1_three_host	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H2_four_host	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H3_six_host	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H4_paraphrase_agree	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H5_range_format	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H6_numeric	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H7_range_agree	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H8_wire_truth	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
H9_filler_diverse	1	1		INFO|OPCOIN|a=0|cg=0|l=0|t=0|sh=0|pb=0|r=0|ns=0
M1_outnumbered	0	0	GATE|CONTRADICTION|h1,q1,q2	
M2b_tie_attack_first	0	0	GATE|CONTRADICTION|a1,h1,a2	
M3_false_majority	1	0	GATE|OPCOIN|A+CG+L+T|q1,q2,q3	INFO|OPCOIN|a=3|cg=3|l=3|t=3|sh=3|pb=3|r=0|ns=0
P3_case_variant	0	0	GATE|CONTRADICTION|q1,t1,q2	
R2_ring2	0	0	GATE|CONTRADICTION|q1,t1,q2	
R3_ring3	1	0	GATE|OPCOIN|A+CG+L+T|r1,r2,r3	INFO|OPCOIN|a=3|cg=3|l=3|t=3|sh=3|pb=3|r=0|ns=0
R4_ring4	1	0	GATE|OPCOIN|A+CG+L+T|s1,s2,s3	INFO|OPCOIN|a=3|cg=3|l=3|t=3|sh=3|pb=3|r=0|ns=0
X_HMETA_honest	1	1		INFO|OPCOIN|a=1|cg=1|l=1|t=1|sh=1|pb=1|r=0|ns=0
X_MDIV_full	1	0	GATE|OPCOIN|R+NS|r1,r2,r3	INFO|OPCOIN|a=1|cg=1|l=1|t=1|sh=1|pb=1|r=3|ns=3
X_MDIV_hard	1	1		INFO|OPCOIN|a=1|cg=1|l=1|t=1|sh=1|pb=1|r=1|ns=1
X_MDIV_partial	1	0	GATE|OPCOIN|CG+L+T+R+NS|r1,r2,r3	INFO|OPCOIN|a=1|cg=3|l=3|t=3|sh=3|pb=3|r=3|ns=3
X_MFORGE_frame	1	1		INFO|OPCOIN|a=3|cg=1|l=1|t=1|sh=1|pb=1|r=1|ns=0
