A01	The rooster's crow causes sunrise	Farm	The rooster crows every morning before sunrise.	NEUTRAL
A02	Ice cream causes drowning	Stats	Ice cream sales and drowning deaths both rise in summer.	NEUTRAL
A03	Maria passed the exam	School	Everyone who passed the exam received a certificate. Maria received a certificate.	NEUTRAL
A04	The streets are dry	Weather	If it rains the streets get wet. It did not rain.	NEUTRAL
A05	It rained this morning	Grass	Grass is wet outside.	NEUTRAL
A06	The deal is signed	Negotiation	If both parties agree the deal will be signed.	NEUTRAL
A07	The treatment certainly cures cancer	Trial	The treatment may help some patients.	NEUTRAL
A08	The test is 99 percent accurate so a positive means 99 percent chance of disease	Clinic	The test has 99 percent accuracy. The patient tested positive.	NEUTRAL
A09	The new policy caused the crime drop	News	Crime dropped after the new policy took effect.	NEUTRAL
A10	The policy works	Eval	The policy works because it is effective and it is effective because it works.	NEUTRAL
A11	The psychic foresaw the quake	Paranormal	The psychic issued 200 predictions and one mentioned tremors.	NEUTRAL
A12	The diet works	Fads	Millions of people follow the diet.	NEUTRAL
A13	All customers love the product	Reviews	Three customers praised the product.	NEUTRAL
A14	Vaccines are dangerous	Anecdote	My cousin got sick after vaccination.	NEUTRAL
A15	The bank approved the loan	Finance	The river bank was approved for development.	NEUTRAL
A16	The study is flawed	Gossip	The researcher was once arrested.	NEUTRAL
A17	Wearing the lucky jersey caused the win	Sports	The team won every game the mascot wore the jersey.	NEUTRAL
A18	A win is due after five losses	Sports	The team lost five straight games.	NEUTRAL
A19	The defendant's silence proves guilt	Court	The defendant refused to testify.	NEUTRAL
A20	Prayer healed the patient	Faith	The patient recovered after the prayer vigil.	NEUTRAL
A21	The stars determine personality	Astrology	Mercury was in retrograde when she acted oddly.	NEUTRAL
A22	The supplement boosts immunity	Celebrity	A celebrity doctor endorses the supplement for immunity.	NEUTRAL
A23	The cream reverses aging	Ads	The cream contains natural extracts.	NEUTRAL
A24	The amulet protects travelers	Market	Travelers who carry the amulet report safe trips.	NEUTRAL
A25	Vaccines cause autism	Fringe	Autism diagnoses rose as vaccination rates rose.	NEUTRAL
A26	Homeopathy cures flu	Celebrity	A famous actor says homeopathy cures flu.	NEUTRAL
A27	The remedy is safe because it is natural	Ads	The remedy is made from natural herbs.	NEUTRAL
A28	The machine is light	Specs	Every component of the machine is light.	NEUTRAL
A29	Organic food is healthier	Ads	The food is organic.	NEUTRAL
A30	The orchestra is loud	Music	Every instrument in the orchestra is loud.	NEUTRAL
A31	Crime rose because the new mayor took office	News	Crime rose after the mayor took office.	NEUTRAL
A32	The tank holds 100 liters	Specs	The tank holds 80 liters.	DENY
A33	All swans are white	Ornithology	All swans are white. A black swan was sighted in Australia.	DENY
A34	The defendant is innocent	Verdict	The defendant was found not guilty.	DENY
A35	The mayor resigned	Gossip	A blogger alleges the mayor resigned.	NEUTRAL
A36	The mayor resigned	Rumor	Rumor has it the mayor resigned.	NEUTRAL
A37	Aliens built the pyramids	Fringe	Ancient astronaut theorists say aliens built the pyramids.	NEUTRAL
A38	Reading improves literacy	Study	Literate people read more books.	NEUTRAL
A39	The tea detoxifies the body	Influencer	A popular influencer claims the tea detoxifies the body.	NEUTRAL
A40	The vaccine is safe	Press	The article denies that the vaccine is safe.	NEUTRAL
A41	Each player is fast	Team	The team is the fastest in the league.	NEUTRAL
A42	The whole machine is light	Specs	Each component weighs under a gram.	NEUTRAL
A43	Dropping out guarantees success	Business	Gates and Jobs dropped out and succeeded.	NEUTRAL
A44	The coin is fair	Gambling	The coin landed heads twice in a row.	NEUTRAL
A45	Hard work always pays off	Career	She worked hard and got promoted.	NEUTRAL
A46	The restaurant is the best in town	Food	The restaurant has the most reviews.	NEUTRAL
