B01	None of the trials failed	Tests	None of the trials failed.	AFFIRM
B02	Nobody was injured	Accident	Nobody was injured in the crash.	AFFIRM
B03	Not all birds fly	Nature	Penguins are birds that cannot fly.	AFFIRM
B04	The drug is not ineffective	Medicine	The drug is effective.	AFFIRM
B05	The patient does not have the disease	Clinic	If the patient had the disease the test would be positive. The test is negative.	AFFIRM
B06	The mayor did not resign	City hall	The mayor resigned yesterday.	DENY
B07	Penguins can fly	Logic	All birds can fly. Penguins are birds.	AFFIRM
B08	It is not raining	Logic	If it rains the ground gets wet. The ground is not wet.	AFFIRM
B09	The light is off	Logic	The light is on or off. The light is not on.	AFFIRM
B10	Some metals are magnetic	Physics	Iron is a metal and iron is magnetic.	AFFIRM
B11	No more than ten people attended	Meeting	Eight people attended.	AFFIRM
B12	If the switch is flipped the bell rings	Circuits	If the switch is flipped the circuit closes. If the circuit closes the bell rings.	AFFIRM
B13	Only citizens may vote	Law	Only citizens may vote.	AFFIRM
B14	Only members can enter	Club	Only members can enter the club.	AFFIRM
B15	Bats are not birds	Biology	Bats are mammals. No mammals are birds.	AFFIRM
B16	The mechanic fixed the car	Garage	The mechanic fixed the car.	AFFIRM
B17	The update fixed the bug	Tech	The update fixed the bug.	AFFIRM
B18	The levees prevented flooding	Storm	The levees held and the town did not flood.	AFFIRM
B19	It is not true that all metals are magnetic	Physics	Copper is a metal and copper is not magnetic.	AFFIRM
B20	The store opens at 9am	Shops	The store opens at 9am daily.	AFFIRM
B21	It is not the case that vaccines are unsafe	Health	Vaccines are safe.	AFFIRM
B22	The suspect did not fail to appear	Court	The suspect appeared.	AFFIRM
B23	The device is not unreliable	Review	The device is reliable.	AFFIRM
B24	The policy is not unhelpful	Report	The policy helps citizens.	AFFIRM
B25	Some birds do not fly	Nature	Penguins are birds that cannot fly.	AFFIRM
B26	No trial failed	Tests	No trial failed.	AFFIRM
B27	Smoking causes cancer	Health	Smoking causes cancer according to the Surgeon General.	AFFIRM
B28	The Earth is flat	Science	The Earth is not flat.	DENY
B29	Socrates is mortal	Philosophy	All men are mortal. Socrates is a man.	AFFIRM
B30	The vaccine prevented the outbreak	Trial	The vaccine prevented the outbreak in the trial city.	AFFIRM
B31	Vaccines are safe	Doctors	Scientists report that vaccines are safe.	AFFIRM
B32	No employee was fired	Layoffs	No employee was fired this year.	AFFIRM
B33	The policy is not unhelpful	Report	The policy is not unhelpful.	AFFIRM
B34	If the alarm sounds the building must be evacuated	Fire drill	The alarm sounded. The building must be evacuated.	AFFIRM
B35	The bridge will collapse if overloaded	Engineering	The bridge was overloaded and it collapsed.	AFFIRM
B36	Paris is the capital of France	Geography	Paris is the capital of France.	AFFIRM
B37	At least five people attended	Meeting	Seven people attended the meeting.	AFFIRM
B38	The bridge collapsed because it was overloaded	Engineering	The bridge was overloaded and then it collapsed.	AFFIRM
B39	Whales are not fish	Logic	No mammals are fish. Whales are mammals.	AFFIRM
B40	The bridge is closed	News	The bridge is closed to traffic.	AFFIRM
B41	The hall holds at most fifty people	Venue	Thirty people were inside the hall.	AFFIRM
B42	Cats are mammals	Pets	Cats are mammals.	AFFIRM
B43	Water boils at 100 degrees Celsius	Physics	Water boils at 100 degrees Celsius at sea level.	AFFIRM
B44	The Eiffel Tower is in Paris	Travel	The Eiffel Tower is in Paris.	AFFIRM
B45	Gold is a metal	Chemistry	Gold is a metal.	AFFIRM
B46	The treaty was signed in 1998	History	The treaty was signed in 1998.	AFFIRM
