n,fixture,task,percept,truth,match,conf,ops,detail
0,test/ambiguity/am_c1.img,COLORDISC,DIFFERENT,DIFFERENT,1,25,8192,dist=41
1,test/ambiguity/am_p1.pcm,PITCH,HIGHER,HIGHER,1,22,4096,"fA=440,fB=449,rel_ppm=20454"
2,test/illusion/il_c1.img,COLORCONST,DIFFERENT,SAME_SURFACE,0,1000,8192,maxdisc=41
3,test/illusion/il_c2.img,COLORCONST,SAME_SURFACE,DIFFERENT,0,875,8192,maxdisc=1
4,test/inattentional/ib_m1.vid,MOTION,E,W,0,1000,8192,"dx_q6=791,dy_q6=0"
5,test/inattentional/ib_m2.vid,MOTION,W,W,1,1000,8192,"dx_q6=-1344,dy_q6=0"
6,test/omission/om_p1.pcm,PITCH,SAME,HIGHER,0,1000,4096,"fA=440,fB=440,rel_ppm=0"
7,test/omission/om_p2.pcm,PITCH,SAME,LOWER,0,1000,4096,"fA=659,fB=659,rel_ppm=0"
8,test/omission/om_p3.pcm,PITCH,SAME,SAME,1,1000,4096,"fA=440,fB=440,rel_ppm=0"
9,test/omission/om_p4.pcm,PITCH,HIGHER,HIGHER,1,1000,4096,"fA=439,fB=880,rel_ppm=1004555"
10,test/omission/om_t1.pcm,TIMBRE,PURE,BRIGHT,0,83,4095,hp1000=62
11,test/omission/om_t2.pcm,TIMBRE,BRIGHT,BRIGHT,1,1000,4095,hp1000=283
12,test/redteam/rt_c1.img,COLORDISC,SAME,DIFFERENT,0,25,8192,dist=39
13,test/redteam/rt_p1.pcm,PITCH,SAME,HIGHER,0,90,4096,"fA=440,fB=448,rel_ppm=18181"
14,train/ambiguity/tr_am_c1.img,COLORDISC,DIFFERENT,DIFFERENT,1,75,8192,dist=43
15,train/ambiguity/tr_am_p1.pcm,PITCH,HIGHER,HIGHER,1,156,4096,"fA=519,fB=531,rel_ppm=23121"
16,train/illusion/tr_il_c1.img,COLORCONST,DIFFERENT,SAME_SURFACE,0,1000,8192,maxdisc=41
17,train/illusion/tr_il_c2.img,COLORCONST,SAME_SURFACE,DIFFERENT,0,875,8192,maxdisc=1
18,train/inattentional/tr_ib_m1.vid,MOTION,W,E,0,1000,8192,"dx_q6=-677,dy_q6=2"
19,train/inattentional/tr_ib_m2.vid,MOTION,NW,E,0,1000,8192,"dx_q6=-3648,dy_q6=-1984"
20,train/omission/tr_om_p1.pcm,PITCH,SAME,HIGHER,0,1000,4096,"fA=330,fB=330,rel_ppm=0"
21,train/omission/tr_om_p2.pcm,PITCH,SAME,LOWER,0,1000,4096,"fA=550,fB=550,rel_ppm=0"
22,train/omission/tr_om_p3.pcm,PITCH,SAME,SAME,1,1000,4096,"fA=392,fB=392,rel_ppm=0"
23,train/omission/tr_om_t1.pcm,TIMBRE,DARK,BRIGHT,0,116,4095,hp1000=74
24,train/redteam/tr_rt_c1.img,COLORDISC,DIFFERENT,DIFFERENT,1,0,8192,dist=40
25,train/redteam/tr_rt_p1.pcm,PITCH,HIGHER,HIGHER,1,59,4096,"fA=519,fB=530,rel_ppm=21194"
