R26	The hike takes at least five hours.		The hike took six hours.
R27	Fewer than ten people attended.		Seven people attended.
R28	The package weighs at most two kilograms.		The package weighed one kilogram.
R12	Venus is hotter than Mercury.		Despite being closer to the Sun, Mercury is cooler than Venus.
R24	She is eligible to vote.		Citizens over 18 are eligible to vote. She is a 20-year-old citizen, so she is eligible.
R01	Bats are not blind.		Bats are not blind, according to research.
R08	A penny dropped from a skyscraper cannot kill a pedestrian.		A penny dropped from a skyscraper cannot kill a pedestrian, physicists say.
R30	No fish can live out of water indefinitely.		Most fish die quickly out of water.
R42	The door is open.		The door is open. The door is shut.
R21	Fewer than three people came.		Seven people came.
R22	More than five people came.		Exactly three people came.
R05	Not all birds can fly.		Some birds cannot fly.
