helper	0	V3-01	2	R5	mode=old
helper	1	V3-02	2	R5	mode=old
helper	2	V3-03	2	R5	mode=old
helper	3	V3-04	3	R5	mode=old
helper	4	V3-05	3	R5	mode=old
helper	5	V3-06	3	R5	mode=old
helper	6	V3-07	3	R5	mode=old
helper	7	V3-08	3	R5	mode=old
helper	8	V3-09	3	R5	mode=old
helper	9	V3-10	4	R3	mode=old
helper	10	V3-11	4	R3	mode=old
helper	11	V3-12	4	R3	mode=old
helper	12	V3-13	4	R3	mode=old
helper	13	V3-14	3	R6	mode=old
helper	14	V3-15	3	JOKE	mode=old
helper	15	V3-16	3	JOKE	mode=old
helper	16	V3-17	4	JOKE	mode=old
helper	17	V3-18	4	R3	mode=old
helper	18	V3-19	4	R3	mode=old
helper	19	V3-20	3	R6	mode=old
helper	20	V3-21	3	R6	mode=old
helper	21	V3-22	3	R6	mode=old
helper	22	V3-23	3	R6	mode=old
helper	23	V3-24	3	R6	mode=old
