TRACE|CF-001|1|recall|S001|The cat sat on the mat.
TRACE|CF-001|2|conclude|prep-substitution|The cat sat under the mat.
TRACE|CF-002|1|recall|S005|The dog sat on the rug.
TRACE|CF-002|2|conclude|entity-swap|The dog sat on the mat.
TRACE|CF-003|1|recall|S001|The cat sat on the mat.
TRACE|CF-003|2|conclude|negation-drop|The cat did not sit on the mat.
TRACE|CF-004|1|recall|S007|The dog chased the cat.
TRACE|CF-004|2|conclude|entity-swap|The dog chased the mouse.
TRACE|CF-005|1|recall|S010|The child bought the car.
TRACE|CF-005|2|conclude|entity-swap|The child bought the house.
TRACE|CF-006|1|recall|S011|The cat is happy.
TRACE|CF-006|2|conclude|antonym-flip|The cat is sad.
TRACE|CF-007|1|recall|S012|The dog is big.
TRACE|CF-007|2|conclude|antonym-flip|The dog is small.
TRACE|CF-008|1|recall|S016|Half of the crew left.
TRACE|CF-008|2|conclude|quantifier-flip|All of the crew left.
TRACE|CF-009|1|recall|S017|All of the team arrived.
TRACE|CF-009|2|conclude|quantifier-flip|None of the team arrived.
TRACE|CF-010|1|recall|S027|The moon is in the sky.
TRACE|CF-010|2|conclude|negation-drop|The moon is not in the sky.
TRACE|CF-011|1|recall|S004|The cat slept under the rug.
TRACE|CF-011|2|conclude|prep-substitution|The cat slept on the rug.
TRACE|CF-012|1|recall|S002|The dog slept in the house.
TRACE|CF-012|2|conclude|entity-swap|The dog slept in the car.
TRACE|CF-013|1|recall|S003|The child waited on the mat.
TRACE|CF-013|2|conclude|prep-substitution|The child waited under the mat.
TRACE|CF-014|1|recall|S009|The chef built the house.
TRACE|CF-014|2|conclude|verb-swap|The chef bought the house.
TRACE|CF-015|1|recall|S013|The child is fast.
TRACE|CF-015|2|conclude|antonym-flip|The child is slow.
TRACE|CF-016|1|recall|S014|The car is fast.
TRACE|CF-016|2|conclude|antonym-flip|The car is slow.
TRACE|CF-017|1|recall|S015|The house is big.
TRACE|CF-017|2|conclude|antonym-flip|The house is small.
TRACE|CF-018|1|recall|S008|The cat chased the dog.
TRACE|CF-018|2|conclude|entity-swap|The cat chased the mouse.
TRACE|CF-019|1|recall|S018|The chef admired the painter.
TRACE|CF-019|2|conclude|entity-swap|The chef admired the dancer.
TRACE|CF-020|1|recall|S019|The student taught the dancer.
TRACE|CF-020|2|conclude|entity-swap|The student taught the musician.
TRACE|CF-021|1|recall|S020|The cat is a feline.
TRACE|CF-021|2|conclude|category-swap|The cat is a canine.
TRACE|CF-022|1|recall|S022|The dog is a canine.
TRACE|CF-022|2|conclude|category-swap|The dog is a feline.
TRACE|CF-023|1|recall|S021|All felines are mammals.
TRACE|CF-023|2|conclude|category-swap|All felines are reptiles.
TRACE|CF-024|1|recall|S024|The mat is in the house.
TRACE|CF-024|2|conclude|prep-substitution|The mat is under the house.
TRACE|CF-025|1|recall|S026|The floor is cold.
TRACE|CF-025|2|conclude|antonym-flip|The floor is hot.
TRACE|CF-026|1|recall|S028|Birds fly in the sky.
TRACE|CF-026|2|conclude|verb-swap|Birds swim in the sky.
TRACE|CF-027|1|recall|S029|Fish swim in the ocean.
TRACE|CF-027|2|conclude|verb-swap|Fish fly in the ocean.
TRACE|CF-028|1|recall|S030|The sun is hot.
