ITEM|CONF|CF-001|The cat sat under the mat.|CATCH
ITEM|CONF|CF-002|The dog sat on the mat.|CATCH
ITEM|CONF|CF-003|The cat did not sit on the mat.|CATCH
ITEM|CONF|CF-004|The dog chased the mouse.|CATCH
ITEM|CONF|CF-005|The child bought the house.|CATCH
ITEM|CONF|CF-006|The cat is sad.|CATCH
ITEM|CONF|CF-007|The dog is small.|CATCH
ITEM|CONF|CF-008|All of the crew left.|CATCH
ITEM|CONF|CF-009|None of the team arrived.|CATCH
ITEM|CONF|CF-010|The moon is not in the sky.|CATCH
ITEM|CONF|CF-011|The cat slept on the rug.|CATCH
ITEM|CONF|CF-012|The dog slept in the car.|CATCH
ITEM|CONF|CF-013|The child waited under the mat.|CATCH
ITEM|CONF|CF-014|The chef bought the house.|CATCH
ITEM|CONF|CF-015|The child is slow.|CATCH
ITEM|CONF|CF-016|The car is slow.|CATCH
ITEM|CONF|CF-017|The house is small.|CATCH
ITEM|CONF|CF-018|The cat chased the mouse.|CATCH
ITEM|CONF|CF-019|The chef admired the dancer.|CATCH
ITEM|CONF|CF-020|The student taught the musician.|CATCH
ITEM|CONF|CF-021|The cat is a canine.|CATCH
ITEM|CONF|CF-022|The dog is a feline.|CATCH
ITEM|CONF|CF-023|All felines are reptiles.|CATCH
ITEM|CONF|CF-024|The mat is under the house.|CATCH
ITEM|CONF|CF-025|The floor is hot.|CATCH
ITEM|CONF|CF-026|Birds swim in the sky.|CATCH
ITEM|CONF|CF-027|Fish fly in the ocean.|CATCH
ITEM|CONF|CF-028|The sun is cold.|CATCH
ITEM|CONF|CF-029|The ocean is shallow.|CATCH
ITEM|CONF|CF-030|The guard admired the musician.|CATCH
ITEM|CONF|CF-031|The cook built the cake.|CATCH
ITEM|CONF|CF-032|The team entered the house.|CATCH
ITEM|CONF|CF-033|The guests sang at dawn.|CATCH
ITEM|CONF|CF-034|The birds arrived in the morning.|CATCH
ITEM|CONF|CF-035|All of the crew sang.|CATCH
ITEM|CONF|CF-036|The cat did not rest on the mat.|CATCH
ITEM|CONF|CF-037|The dog did not doze in the house.|CATCH
ITEM|CONF|CF-038|The child is sad.|CATCH
