ITEM|GOLD|GD-001|The feline sat on the mat.|KEEP
ITEM|GOLD|GD-002|The cat rested on the mat.|KEEP
ITEM|GOLD|GD-003|The canine slept in the house.|KEEP
ITEM|GOLD|GD-004|The dog dozed in the house.|KEEP
ITEM|GOLD|GD-005|The kid waited on the mat.|KEEP
ITEM|GOLD|GD-006|The child remained on the mat.|KEEP
ITEM|GOLD|GD-007|The cat slept beneath the rug.|KEEP
ITEM|GOLD|GD-008|The feline napped under the rug.|KEEP
ITEM|GOLD|GD-009|The dog sat on the carpet.|KEEP
ITEM|GOLD|GD-010|The canine rested on the rug.|KEEP
ITEM|GOLD|GD-011|The child sat inside the house.|KEEP
ITEM|GOLD|GD-012|The kid remained in the house.|KEEP
ITEM|GOLD|GD-013|The dog pursued the cat.|KEEP
ITEM|GOLD|GD-014|The canine chased the feline.|KEEP
ITEM|GOLD|GD-015|The cat pursued the dog.|KEEP
ITEM|GOLD|GD-016|The feline chased the canine.|KEEP
ITEM|GOLD|GD-017|The chef constructed the house.|KEEP
ITEM|GOLD|GD-018|The cook built the home.|KEEP
ITEM|GOLD|GD-019|The child purchased the car.|KEEP
ITEM|GOLD|GD-020|The kid bought the automobile.|KEEP
ITEM|GOLD|GD-021|The cat is glad.|KEEP
ITEM|GOLD|GD-022|The feline is happy.|KEEP
ITEM|GOLD|GD-023|The dog is large.|KEEP
ITEM|GOLD|GD-024|The canine is big.|KEEP
ITEM|GOLD|GD-025|The child is quick.|KEEP
ITEM|GOLD|GD-026|The kid is fast.|KEEP
ITEM|GOLD|GD-027|The car is quick.|KEEP
ITEM|GOLD|GD-028|The automobile is fast.|KEEP
ITEM|GOLD|GD-029|The house is large.|KEEP
ITEM|GOLD|GD-030|The home is big.|KEEP
ITEM|GOLD|GD-031|Half the crew departed.|KEEP
ITEM|GOLD|GD-032|50% of the crew left.|KEEP
ITEM|GOLD|GD-033|The whole team arrived.|KEEP
ITEM|GOLD|GD-034|All of the team showed up.|KEEP
