FAB|AB-001|The cat sat under the mat.
FAB|AB-002|The dog sat on the mat.
FAB|AB-003|The child waited under the mat.
FAB|AB-004|The chef bought the house.
FAB|AB-005|The cat is sad.
FAB|AB-006|The dog is small.
FAB|AB-007|All of the crew left.
FAB|AB-008|The moon is made of cheese.
FAB|AB-009|The sun is cold.
FAB|AB-010|Fish fly in the ocean.
FAB|AB-011|The guard admired the musician.
FAB|AB-012|The team entered the house.
FAB|AB-013|The birds arrived in the morning.
FAB|AB-014|All of the crew sang.
FAB|AB-015|The floor is hot.
FAB|AB-016|The cat chased the mouse.
FAB|AB-017|The student taught the musician.
FAB|AB-018|The painter admired the chef.
FAB|AB-019|The child bought the house.
FAB|AB-020|The dog slept in the car.
FAB|AB-021|The cat owns the mat.
FAB|AB-022|The dog likes the house.
FAB|AB-023|The moon watches the sky.
FAB|AB-024|The cat likes being happy.
FAB|AB-025|The chef knows the house.
FAB|AB-026|Birds know the sky.
FAB|AB-027|Fish know the ocean.
FAB|AB-028|The house stands big.
FAB|AB-029|The car runs fast.
FAB|AB-030|The moon lights the sky.
FAB|AB-031|The cat knows felines.
FAB|AB-032|The dog knows canines.
FAB|AB-033|The crew knows leaving.
FAB|AB-034|The team knows arriving.
FAB|AB-035|The child knows fast.
FAB|AB-036|The cook knows the cake.
FAB|AB-037|The guard knows the musician.
FAB|AB-038|The team knows the house.
FAB|AB-039|The guests know the night.
FAB|AB-040|The birds know mornings.
FAB|AB-041|The moon is made of cheese.
FAB|AB-042|Fish climb trees when it rains.
FAB|AB-043|Birds drive cars at night.
FAB|AB-044|The house walked to the store.
FAB|AB-045|The car drank the ocean.
FAB|AB-046|The cat flew to the moon.
FAB|AB-047|The dog built the car.
FAB|AB-048|The moon is made of cheese.
FAB|AB-049|All cats can fly.
FAB|AB-050|The moon is a lantern.
FAB|PT-021|The cat flew to the moon.
FAB|PT-022|The dog built the car.
FAB|PT-023|The moon is made of cheese.
FAB|PT-024|All cats can fly.
FAB|PT-025|The house walked to the store.
FAB|PT-026|Fish climb trees when it rains.
FAB|PT-027|Birds drive cars at night.
FAB|PT-028|The car drank the ocean.
FAB|PT-029|The chef swam across the desert.
FAB|PT-030|The moon is a lantern.
FAB|PT-031|The cat sat under the mat.
FAB|PT-032|The dog sat on the mat.
FAB|PT-033|The child is slow.
FAB|PT-034|The sun is cold.
FAB|PT-035|None of the team arrived.
FAB|PT-036|The floor is hot.
FAB|PT-037|The cook built the cake.
FAB|PT-038|The team entered the house.
FAB|PT-039|The birds arrived in the morning.
FAB|PT-040|All of the crew sang.
