STORE|S001|The cat sat on the mat.|WORLD|E0
STORE|S002|The dog slept in the house.|WORLD|E0
STORE|S003|The child waited on the mat.|WORLD|E0
STORE|S004|The cat slept under the rug.|WORLD|E0
STORE|S005|The dog sat on the rug.|WORLD|E0
STORE|S006|The child sat in the house.|WORLD|E0
STORE|S007|The dog chased the cat.|WORLD|E0
STORE|S008|The cat chased the dog.|WORLD|E0
STORE|S009|The chef built the house.|WORLD|E0
STORE|S010|The child bought the car.|WORLD|E0
STORE|S011|The cat is happy.|WORLD|E0
STORE|S012|The dog is big.|WORLD|E0
STORE|S013|The child is fast.|WORLD|E0
STORE|S014|The car is fast.|WORLD|E0
STORE|S015|The house is big.|WORLD|E0
STORE|S016|Half of the crew left.|WORLD|E0
STORE|S017|All of the team arrived.|WORLD|E0
STORE|S018|The chef admired the painter.|WORLD|E0
STORE|S019|The student taught the dancer.|WORLD|E0
STORE|S020|The cat is a feline.|WORLD|E0
STORE|S021|All felines are mammals.|WORLD|E0
STORE|S022|The dog is a canine.|WORLD|E0
STORE|S023|All canines are mammals.|WORLD|E0
STORE|S024|The mat is in the house.|WORLD|E0
STORE|S025|The porch is near the house.|WORLD|E0
STORE|S026|The floor is cold.|WORLD|E0
STORE|S027|The moon is in the sky.|WORLD|E0
STORE|S028|Birds fly in the sky.|WORLD|E0
STORE|S029|Fish swim in the ocean.|WORLD|E0
STORE|S030|The sun is hot.|WORLD|E0
STORE|S031|The ocean is deep.|WORLD|E0
STORE|S032|The guard chased the musician.|WORLD|E0
STORE|S033|The cook bought the cake.|WORLD|E0
STORE|S034|The team left the house.|WORLD|E0
STORE|S035|The guests sang at night.|WORLD|E0
STORE|S036|The birds left in the morning.|WORLD|E0
STORE|S037|None of the crew sang.|WORLD|E0
STORE|S038|The cat rested on the mat.|WORLD|E0
STORE|S039|The dog dozed in the house.|WORLD|E0
STORE|S040|The child is glad.|WORLD|E0
STORE|G001|The cat flew to the moon.|GENERATOR|E1
STORE|G002|The dog built the car.|GENERATOR|E1
STORE|G003|The moon is made of cheese.|GENERATOR|E1
STORE|G004|The chef swam across the desert.|GENERATOR|E1
STORE|G005|Birds drive cars at night.|GENERATOR|E1
STORE|G006|The house walked to the store.|GENERATOR|E1
STORE|G007|Fish climb trees when it rains.|GENERATOR|E1
STORE|G008|The car drank the ocean.|GENERATOR|E1
STORE|G009|All cats can fly.|GENERATOR|E1
STORE|G010|The moon is a lantern.|GENERATOR|E1
