A1  bat=A verdict=EMPTY    known=18  inst=0 with=0 | exp=EMPTY    | MATCH
A2  bat=A verdict=EMPTY    known=18  inst=0 with=0 | exp=EMPTY    | MATCH
B1  bat=B verdict=NOVEL    known=12  inst=3 with=0 | exp=NOVEL    | MATCH
B2  bat=B verdict=NOVEL    known=12  inst=3 with=0 | exp=NOVEL    | MATCH
C1  bat=C verdict=WITHHELD known=15  inst=0 with=3 | exp=WITHHELD | MATCH
C2  bat=C verdict=WITHHELD known=15  inst=0 with=3 | exp=WITHHELD | MATCH
E1  bat=E verdict=EMPTY    known=18  inst=0 with=0 | exp=EMPTY    | MATCH
E2  bat=E verdict=EMPTY    known=12  inst=0 with=0 | exp=EMPTY    | MATCH
E3  bat=E verdict=EMPTY    known=18  inst=0 with=0 | exp=EMPTY    | MATCH
E4  bat=E verdict=EMPTY    known=18  inst=0 with=0 | exp=EMPTY    | MATCH
N1  bat=N verdict=NOVEL    known=12  inst=4 with=0 | exp=NOVEL    | MATCH
N2  bat=N verdict=NOVEL    known=12  inst=4 with=0 | exp=NOVEL    | MATCH
N3  bat=N verdict=NOVEL    known=12  inst=4 with=0 | exp=NOVEL    | MATCH
N4  bat=N verdict=NOVEL    known=12  inst=4 with=0 | exp=NOVEL    | MATCH
TOTAL 14/14 MATCH
