RT1c-D-001	not(p())	if(p, q);not(q())	2
RT1c-D-002	b()	if(a, b);cause(c, a)	1
RT1c-D-003	p()	p1();p2();p3();p4();p5();p6();p7();p8();p9();p10();p11();p12();p13();p14();p15();p()	1
RT1c-D-004	p()	p1();p2();p3();p4();p5();p6();p7();p8();p9();p10();p11();p12();p13();p14();p15();p16();p()	3
RT1c-D-005	p()	p();not(p())	0
RT1c-D-006	qty(w, exactly, 4294967296)	qty(w, exactly, 4294967296)	1
RT1c-D-007	before(x, x)	before(x, x)	1
RT1c-D-008	wet(ground)	cause(rain(), wet(ground));not(rain())	0
RT1c-D-009	all(d, maybe(p(d)))	none(d, maybe(p(d)))	0
RT1c-D-010	qty(w, exactly, 100)	qty(w, exactly, one_hundred)	1
RT1c-D-011	qty(w, exactly, 5)	qty(w, exactly, 5_)	1
RT1c-D-012	none(d, p(d))	all(d, not(p(d)))	1
RT1c-D-013	q()	cause(r, q);not(q())	2
RT1c-D-014	p()		0
RT1c-D-015	q()	cause(r, q);not(r())	1
RT1c-D-016	not(if(p, q))	if(p, q)	2
