seq	arm	cid	disp	attrib	detail	prev_hash	hash
0	solo	V3-01	2	R5	w0=8 w1=84 w2=8	0000000000000000000000000000000000000000000000000000000000000000	3de298204a294cb9c0f5c4137053bd308737866239ff770bb895b7b33dd71b2c
1	solo	V3-02	2	R5	w0=41 w1=56 w2=0	3de298204a294cb9c0f5c4137053bd308737866239ff770bb895b7b33dd71b2c	0efbc7ee55083237afaa06476dc1b94e8ce2d33e3994d17663f96b483d7d95bb
2	solo	V3-03	4	R5	w0=96 w1=0 w2=0	0efbc7ee55083237afaa06476dc1b94e8ce2d33e3994d17663f96b483d7d95bb	dfaeb2e75088a5b70d186fcf49e68246cdd24c1d2224746558b12ab5d32d0ea2
3	solo	V3-04	3	R5	w0=0 w1=52 w2=104	dfaeb2e75088a5b70d186fcf49e68246cdd24c1d2224746558b12ab5d32d0ea2	146c790e027b1c3fba033421f9ebfc1da68efdd0af7c0ed7364b2f7c6d01e163
4	solo	V3-05	2	R5	w0=0 w1=56 w2=36	146c790e027b1c3fba033421f9ebfc1da68efdd0af7c0ed7364b2f7c6d01e163	5c12262e077b0744d66fd5b42e07a500541141c92bdcc406c710edb19de38794
5	solo	V3-06	3	R5	w0=0 w1=0 w2=104	5c12262e077b0744d66fd5b42e07a500541141c92bdcc406c710edb19de38794	bf45dfef190f1e60030fff150ec1343986c725a51e94b3237d7affe6a3d6a224
6	solo	V3-07	2	R5	w0=4 w1=44 w2=12	bf45dfef190f1e60030fff150ec1343986c725a51e94b3237d7affe6a3d6a224	34cb89e036e4a2633c25a8da449193496c8f08f73af7581655f29cb96e38510b
7	solo	V3-08	3	R5	w0=13 w1=0 w2=28	34cb89e036e4a2633c25a8da449193496c8f08f73af7581655f29cb96e38510b	b93c78ad20c0d1a3cb3b5477410a072a319ecbe607881d96179e325fb5ba143a
8	solo	V3-09	3	R5	w0=32 w1=0 w2=64	b93c78ad20c0d1a3cb3b5477410a072a319ecbe607881d96179e325fb5ba143a	cd37fac2bf35e10ea1d62690467699568c19587afb7bbf890dfa59542839f807
9	solo	V3-10	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	cd37fac2bf35e10ea1d62690467699568c19587afb7bbf890dfa59542839f807	b1e835aa0258d47bbf6c834aa09919de03838e809a06b18e13d04833aa1168fc
10	solo	V3-11	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	b1e835aa0258d47bbf6c834aa09919de03838e809a06b18e13d04833aa1168fc	5ffde3ef2936923ffa669ef6f55dcd482488dc031ca65a8765364138a3a85bf3
11	solo	V3-12	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	5ffde3ef2936923ffa669ef6f55dcd482488dc031ca65a8765364138a3a85bf3	4662f18c15fbeb22f98950451ae78a4ff605bf9b6602fbdaed1252dd1120f3a6
12	solo	V3-13	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	4662f18c15fbeb22f98950451ae78a4ff605bf9b6602fbdaed1252dd1120f3a6	0f7fc74fc2639496d146d8f764f8f523726e1ab3bb31291dc4a9d4ac06909eb8
13	solo	V3-14	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	0f7fc74fc2639496d146d8f764f8f523726e1ab3bb31291dc4a9d4ac06909eb8	238c8accebf9ac31ffc3d676c7238826733efff2f6f5d1ca7a77f20d22db2fc8
14	solo	V3-15	3	JOKE	cls=2 rule=CLASSIFIER_ONLY final=2	238c8accebf9ac31ffc3d676c7238826733efff2f6f5d1ca7a77f20d22db2fc8	c2c8d9e0b50519735508ca12a174af1aa8007fcc30c230640441cfcbf26bb019
15	solo	V3-16	3	JOKE	cls=2 rule=CLASSIFIER_ONLY final=2	c2c8d9e0b50519735508ca12a174af1aa8007fcc30c230640441cfcbf26bb019	6c6dfcca97bc344aa1d0528c46dcc1a3aae685facbf78437ab2dd237cd1f0fc7
16	solo	V3-17	4	JOKE	cls=5 rule=CLASSIFIER_ONLY final=5	6c6dfcca97bc344aa1d0528c46dcc1a3aae685facbf78437ab2dd237cd1f0fc7	4e4a67cff7cfd570c7f665aa75300896bbef813491aa0d5220a50444d0a87b93
17	solo	V3-18	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	4e4a67cff7cfd570c7f665aa75300896bbef813491aa0d5220a50444d0a87b93	91a73b09d4d663897b19ef169c9bba7aa17e0ff1e7d888b1117dcdd93c19f0dc
18	solo	V3-19	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	91a73b09d4d663897b19ef169c9bba7aa17e0ff1e7d888b1117dcdd93c19f0dc	499030b07b616375a014d9b04a402d17cbf76b19f2656770a58b846f1f0bdc10
19	solo	V3-20	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	499030b07b616375a014d9b04a402d17cbf76b19f2656770a58b846f1f0bdc10	22dcf6f23616864a50442ba6a69d907590dc29e3d7cf61467ae900a969965492
20	solo	V3-21	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	22dcf6f23616864a50442ba6a69d907590dc29e3d7cf61467ae900a969965492	be54f66854541c55a4a9e4f8a4dccd1cc8d23aa5036eebbd75653f4bc30ce488
21	solo	V3-22	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	be54f66854541c55a4a9e4f8a4dccd1cc8d23aa5036eebbd75653f4bc30ce488	3981644c8dafb807ad81f5807135e0eab58b5e46203b0b454497034da8728962
22	solo	V3-23	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	3981644c8dafb807ad81f5807135e0eab58b5e46203b0b454497034da8728962	946c5aa609ba06e15217f8af8d9f552292460641c5c5509f42e0b896965dcc96
23	solo	V3-24	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	946c5aa609ba06e15217f8af8d9f552292460641c5c5509f42e0b896965dcc96	174c5bff6a600d07b3834478001612f11267330bfa434b8977e313364308b733
