seq	arm	cid	disp	attrib	detail	prev_hash	hash
0	helper	V3-01	2	R5	w0=8 w1=88 w2=8	0000000000000000000000000000000000000000000000000000000000000000	2931393685a18c68a70cdfc8a206b21cb0526a29b5675793c086bb01c25b473c
1	helper	V3-02	2	R5	w0=41 w1=60 w2=0	2931393685a18c68a70cdfc8a206b21cb0526a29b5675793c086bb01c25b473c	91b74dc33e5e7d202eec961fd8d3fbc69e6120efa7668991671a3b1e4f1ebc82
2	helper	V3-03	4	R5	w0=100 w1=0 w2=0	91b74dc33e5e7d202eec961fd8d3fbc69e6120efa7668991671a3b1e4f1ebc82	ab337fe76444098ad3ba97b3397d084ad6ffb5a677bebb040af816150b7a17a4
3	helper	V3-04	3	R5	w0=0 w1=56 w2=104	ab337fe76444098ad3ba97b3397d084ad6ffb5a677bebb040af816150b7a17a4	eab5489e3d9426771731abb89c2a9bd44c9421f4d04fb1cbee91b4c0cdf44488
4	helper	V3-05	2	R5	w0=0 w1=56 w2=40	eab5489e3d9426771731abb89c2a9bd44c9421f4d04fb1cbee91b4c0cdf44488	1b1d03c5cb0f806717758da8466dee924117d595bb75bcb33db0d04c7c866897
5	helper	V3-06	3	R5	w0=4 w1=0 w2=104	1b1d03c5cb0f806717758da8466dee924117d595bb75bcb33db0d04c7c866897	66103b9fcae9eae90eff9f774d8c577508f7291257eb52dac2b85180969ee358
6	helper	V3-07	2	R5	w0=4 w1=44 w2=16	66103b9fcae9eae90eff9f774d8c577508f7291257eb52dac2b85180969ee358	8f6f6c91c35d3f3091c656c71c06f9c03e0477ddce6c1162f1ea89a92210a9f5
7	helper	V3-08	3	R5	w0=17 w1=0 w2=28	8f6f6c91c35d3f3091c656c71c06f9c03e0477ddce6c1162f1ea89a92210a9f5	198d59b32b97891579d7f3eae2c2b3226b7db83e01dd972b3ad8ed211b468715
8	helper	V3-09	3	R5	w0=32 w1=4 w2=64	198d59b32b97891579d7f3eae2c2b3226b7db83e01dd972b3ad8ed211b468715	09efd5132a25a9dfcbd05a5168381c7b81a40cd61f6ecb5298f037c978a3c835
9	helper	V3-10	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	09efd5132a25a9dfcbd05a5168381c7b81a40cd61f6ecb5298f037c978a3c835	c875cff5c2a85fdba06618a25517d79a2ccdc931f9cc94a401bc17d7d3d20e31
10	helper	V3-11	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	c875cff5c2a85fdba06618a25517d79a2ccdc931f9cc94a401bc17d7d3d20e31	582095cbc151a04e69af6d811fc407147cc01690eca8d496c8bd79f2cbdc0756
11	helper	V3-12	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	582095cbc151a04e69af6d811fc407147cc01690eca8d496c8bd79f2cbdc0756	b6cd619b71781bc85b22a4d0453ad5f0c88582d8c090161829ed9d1772d2b7ac
12	helper	V3-13	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	b6cd619b71781bc85b22a4d0453ad5f0c88582d8c090161829ed9d1772d2b7ac	2219e61ab83fd4324bb96dd4b8e6b048d333ddace5bd297a9f2e0f13027c4ab3
13	helper	V3-14	3	R6	CONTRADICTS: seeded mechanistic logic (component facts + composition steps)	2219e61ab83fd4324bb96dd4b8e6b048d333ddace5bd297a9f2e0f13027c4ab3	15c3709c5cb4c8aa4eb5383d332528476a24b3d3d6153c1407c1fdeb53f7ca16
14	helper	V3-15	3	JOKE	cls=2 rule=ADOPT_HELPER final=3	15c3709c5cb4c8aa4eb5383d332528476a24b3d3d6153c1407c1fdeb53f7ca16	abde3b3be2ac2b4f5c563d84c2bafde36c2e36543aa4b5c28e6d1fdbab317ffc
15	helper	V3-16	3	JOKE	cls=2 rule=ADOPT_HELPER final=3	abde3b3be2ac2b4f5c563d84c2bafde36c2e36543aa4b5c28e6d1fdbab317ffc	ec1b0a726b16799ab8cf216970191b689e5dd95a4e7e5a1a47c837f5eb405fde
16	helper	V3-17	4	JOKE	cls=5 rule=AGREE final=5	ec1b0a726b16799ab8cf216970191b689e5dd95a4e7e5a1a47c837f5eb405fde	20c68e7feade49237d4ec881f0bd67542ba067659ffb378796247d7961df8b71
17	helper	V3-18	4	R3	terminal WITHHOLD: claim_type gated (CONTESTED/EVOLVED/SKEPTICISM)	20c68e7feade49237d4ec881f0bd67542ba067659ffb378796247d7961df8b71	85e49ffa690f2ca19d1f66405741697cbd9a31fdc63e9b50cfe29cfc7997462f
