cfg	clean_num	clean_den	flaw	abs_num	abs_den	ops_pf_x1000	total_bpf	digest	det
base	22841	22841	96	1159	1159	4000	202	8e6238911bb7cef0	OK
slot025	5708	22841	96	292	1159	3091	99	0a6e548f2dae51dc	OK
slot05	11414	22841	96	586	1159	3500	103	9175b7e1f4d24d46	OK
slot2	22841	22841	96	1159	1159	4000	358	8e6238911bb7cef0	OK
slot4	22841	22841	96	1159	1159	4000	669	8e6238911bb7cef0	OK
slot8	22841	22841	96	1159	1159	4000	1244	8e6238911bb7cef0	OK
ev16	22841	22841	96	1159	1159	4000	202	8e6238911bb7cef0	OK
ev32	22841	22841	96	1159	1159	4000	202	8e6238911bb7cef0	OK
ev128	22841	22841	96	1159	1159	4000	202	8e6238911bb7cef0	OK
ev256	22841	22841	96	1159	1159	4000	202	8e6238911bb7cef0	OK
depth2	22841	22841	96	1159	1159	5000	202	8e6238911bb7cef0	OK
depth4	22841	22841	96	1159	1159	7000	202	8e6238911bb7cef0	OK
audit05	22841	22841	96	1159	1159	4000	115	8e6238911bb7cef0	OK
audit2	22841	22841	96	1159	1159	4000	333	8e6238911bb7cef0	OK
audit4	22841	22841	96	1159	1159	4000	639	8e6238911bb7cef0	OK
red2	22841	22841	96	1159	1159	6000	358	8e6238911bb7cef0	OK
red4	22841	22841	96	1159	1159	10000	669	8e6238911bb7cef0	OK
jsmall	11414	22841	96	586	1159	3170	59	9175b7e1f4d24d46	OK
jbig	22841	22841	96	1159	1159	13000	8690	8e6238911bb7cef0	OK
