B01	Pressure rises.	modus-ponens	If the valve is closed, pressure rises. The valve is closed.
B02	The alarm is not armed.	modus-tollens	If the alarm is armed, the light is red. The light is not red.
B03	The keys are on the shelf.	disj-syllogism	The keys are in the drawer or on the shelf. They are not in the drawer.
B04	Ana is taller than Cal.	transitivity	Ana is taller than Ben. Ben is taller than Cal.
B05	The reactor is not online.	correct-neg	The reactor is online.
B06	The Eiffel Tower is in Berlin.	contrastive	The Eiffel Tower is in Paris.
B07	Smoking causes lung cancer.	true-cause	Decades of research show smoking causes lung cancer.
B08	It is not the case that the vault was not locked.	double-neg	The vault was locked.
B09	The package was sent to Boston.	not-but-Y	The package was sent to Boston, not Austin.
B10	The package was sent to Austin.	not-but-X	The package was sent to Boston, not Austin.
B11	At least five people attended.	at-least	Five people attended.
B12	More than five people attended.	more-than	Five people attended.
B13	The temperature was between 10 and 20 degrees.	between	The reading was 15 degrees.
B14	She is under 18.	under	She is 17 years old.
B15	The bill did not pass.	failed-to	The bill failed to pass.
B16	She did not sign the form.	refused-to	She refused to sign the form.
B17	The crew did not finish by Friday.	unable-to	The crew was unable to finish by Friday.
B18	The launch did not happen.	prevent	The storm prevented the launch.
B19	She gave the book to him.	dative	She gave him the book.
B21	That is the car of John.	genitive	That is John's car.
B22	All voters cast ballots.	all-every	Every voter cast a ballot.
B23	None of the tickets remain.	no-none	No tickets remain.
B24	No witness came forward.	not-a-single	Not a single witness came forward.
B26	She passed the exam.	barely	She barely passed the exam.
B27	He does not smoke now.	stopped	He stopped smoking in January.
B28	The door was open.	factive-realize	She realized the door was open.
B29	He missed the flight.	factive-regret	He regrets missing the flight.
B30	The pipe was leaking.	factive-discover	The team discovered the pipe was leaking.
B31	The sky is blue.	conjunction	The sky is blue and the grass is green.
B33	The manager was not present.	neither-nor	Neither the manager nor the clerk was present.
B34	The picnic is on.	unless	The picnic is on unless it rains. It did not rain.
B35	The box holds 12 apples.	twice	The box holds twice as many apples as the bag. The bag holds 6 apples.
B36	10 guests left early.	percent-of	20 percent of the 50 guests left early.
B38	Two students did not pass.	all-but	All but two of the students passed.
B39	30 percent of the ballots were no votes.	complement	70 percent of ballots were yes votes and the rest were no votes.
B40	No runner finished before noon.	first	The first runner crossed the line at noon.
B41	The king is dead.	died	The king died in 1603.
B42	The soup is cold.	freezing	The soup is freezing.
B43	The fine was 50,000 dollars.	word-number	The fine was fifty thousand dollars.
B44	The town has 250,000 residents.	quarter-million	The town has a quarter of a million residents.
B45	10 percent of patients did not survive the operation.	frame	The operation had a 90 percent survival rate.
B46	Accidents were halved by the policy.	halved	The policy cut accidents by 50 percent.
B47	The contract ends on March 31.	date-math	The contract was signed on March 1 and runs for 30 days.
B48	She left the following Monday.	week-later	She arrived on Monday and left a week later.
B49	He is her nephew.	kinship	He is her sister's son.
B50	The car is fast.	synonym	The automobile is speedy.
