D-03	It is not uncommon for it to rain here.		It rains here often.
D-04	The plan is not unwise.		The plan is wise.
D-06	The meeting is at noon.		The meeting is not at eleven but at noon.
D-07	The meeting is at eleven.		The meeting is not at eleven but at noon.
D-08	She is innocent.		She is not guilty, but she is not innocent either.
D-19	The hike takes at least five hours.		The hike takes five hours.
D-20	The hike takes five hours.		The hike takes at least five hours.
D-21	Fewer than three people came.		Two people came.
D-22	More than five people came.		Five people came.
D-23	The dose is 5mg.		The dose is five milligrams.
D-29	The dam prevented the flood.		The dam held back the river, so the town did not flood.
D-30	The town did not flood.		The dam prevented the flood.
D-31	Rain caused the flood.		It rained, then the river rose, then the town flooded.
D-36	All birds fly.		Penguins do not fly.
D-37	No fish fly.		Flying fish glide above the water.
D-38	Some birds cannot fly.		All birds can fly.
D-42	The door is open.		The door is open. The door is shut.
D-46	Dawn comes before noon.		Noon comes before dawn.
D-50	It will rain.		It may rain.
D-51	It may rain.		It will rain.
D-52	The treatment cures baldness.		The treatment might help with hair loss.
