D-01	NOT(NOT(RAIN()))	RAIN()	0
D-02	RAIN()	NOT(NOT(RAIN()))	0
D-05	SOME(birds,NOT(FLIES(birds)))	NOT(ALL(birds,FLIES(birds)))	0
D-09	QTY(senses,at_least,5)	QTY(senses,exactly,5)	0
D-10	QTY(senses,exactly,5)	QTY(senses,at_least,5)	0
D-11	QTY(dose,less_than,3)	QTY(dose,exactly,2)	0
D-12	QTY(dose,more_than,5)	QTY(dose,exactly,5)	0
D-13	QTY(dose,exactly,5)	QTY(dose,more_than,5)	0
D-14	QTY(time,exactly,5sec)	QTY(time,exactly,5min)	0
D-15	QTY(senses,exactly,five)	QTY(senses,exactly,5)	0
D-16	QTY(senses,range,22,33)	QTY(senses,exactly,25)	0
D-17	QTY(senses,exactly,25)	QTY(senses,range,22,33)	0
D-18	QTY(temp,at_least,20)	QTY(temp,exactly,15)	0
D-24	CAUSE(RAIN(),FLOOD())	CAUSE(RAIN(),RIVER_RISE());CAUSE(RIVER_RISE(),FLOOD())	0
D-25	CAUSE(SMOKE(),ALARM())	IF(SMOKE(),ALARM());SMOKE()	0
D-26	NOT(FLOOD())	CAUSE(DAM(),NOT(FLOOD()))	0
D-27	NOT(FLOOD())	CAUSE(NOT(RAIN()),NOT(FLOOD()))	0
D-28	Q()	CAUSE(MAYBE(R()),Q())	0
D-32	ALL(birds,FLIES(birds))	SOME(birds,NOT(FLIES(birds)))	0
D-33	NONE(fish,FLIES(fish))	SOME(fish,FLIES(fish))	0
D-34	ALL(birds,FLIES(birds))	NONE(birds,FLIES(birds))	0
D-35	SOME(birds,FLIES(birds))	ALL(birds,NOT(FLIES(birds)))	0
D-39	P()	P();NOT(P())	0
D-40	QTY(x,exactly,5)	QTY(x,exactly,5);QTY(x,exactly,6)	0
D-41	CAUSE(A(),B())	CAUSE(A(),B());NOT(A())	0
D-43	BEFORE(dawn,noon)	AFTER(dawn,noon)	0
D-44	BEFORE(dawn,noon)	BEFORE(noon,dawn)	0
D-45	NOT(AFTER(a,b))	BEFORE(a,b)	0
D-47	MAYBE(RAIN())	MAYBE(RAIN())	0
D-48	RAIN()	MAYBE(RAIN())	0
D-49	MAYBE(RAIN())	NOT(MAYBE(RAIN()))	0
