# train_f31 cells=5240 train_released=4222 inits=w1..w8=0,b=0 steps=50,8,1 sweeps=8 damp0=200 testcap=2048/depth offset_causal=pre-update-damp
sweep	50	0	obj=2504593678	moved=8	50,50,0,50,50,50,50,50,b=50
sweep	50	1	obj=1455315443	moved=8	100,100,0,100,100,100,100,100,b=100
sweep	50	2	obj=738759185	moved=8	150,150,0,150,150,150,150,150,b=150
sweep	50	3	obj=351808258	moved=8	200,200,0,200,200,200,200,200,b=200
sweep	50	4	obj=227230321	moved=8	250,250,0,250,250,250,250,250,b=250
sweep	50	5	obj=210737034	moved=6	300,200,0,200,300,250,300,300,b=250
sweep	50	6	obj=204618433	moved=6	350,150,0,150,250,250,350,350,b=250
sweep	50	7	obj=197987252	moved=5	400,100,0,100,250,200,350,400,b=250
sweep	8	0	obj=194960730	moved=6	408,100,0,92,258,208,350,408,b=258
sweep	8	1	obj=193382003	moved=5	416,100,0,84,266,200,350,416,b=258
sweep	8	2	obj=191805652	moved=6	424,100,0,76,274,192,350,424,b=250
sweep	8	3	obj=190296568	moved=5	432,100,0,68,282,184,350,432,b=250
sweep	8	4	obj=188815611	moved=5	440,100,0,60,290,176,350,440,b=250
sweep	8	5	obj=187261637	moved=5	448,100,0,52,298,168,350,448,b=250
sweep	8	6	obj=185895170	moved=5	456,100,0,44,306,160,350,456,b=250
sweep	8	7	obj=184599578	moved=6	464,92,0,36,314,152,350,464,b=250
sweep	1	0	obj=184345486	moved=7	465,91,0,35,315,151,350,465,b=249
sweep	1	1	obj=184181196	moved=7	466,90,0,34,316,150,350,466,b=248
sweep	1	2	obj=183944312	moved=6	467,89,0,33,317,149,350,466,b=247
sweep	1	3	obj=183880378	moved=7	468,88,0,32,318,148,350,467,b=246
sweep	1	4	obj=183663467	moved=6	469,87,0,31,319,147,350,468,b=246
sweep	1	5	obj=183465233	moved=5	470,86,0,30,320,146,350,468,b=246
sweep	1	6	obj=183268696	moved=5	471,85,0,29,320,145,350,469,b=246
sweep	1	7	obj=183185686	moved=3	472,85,0,28,320,145,350,470,b=246
stageA	obj=183185686	472,85,0,28,320,145,350,470,b=246
veto	theater=175	mcc_ok=1(sum=3670369 n=3880)	v3_ok=0
damp	104	stable ds=4	damp=250
damp	204	stable ds=4	damp=300
damp	304	stable ds=4	damp=350
damp	404	stable ds=4	damp=400
damp	504	stable ds=4	damp=450
damp	604	stable ds=4	damp=500
damp	704	stable ds=4	damp=550
damp	804	stable ds=4	damp=600
damp	904	stable ds=4	damp=650
damp	1004	stable ds=4	damp=700
damp	1104	stable ds=4	damp=750
damp	1204	stable ds=4	damp=800
damp	1304	stable ds=4	damp=800
damp	1404	stable ds=4	damp=800
damp	1504	stable ds=4	damp=800
damp	1604	stable ds=4	damp=800
damp	1704	stable ds=4	damp=800
damp	1804	stable ds=4	damp=800
damp	1904	stable ds=4	damp=800
damp	2004	stable ds=4	damp=800
damp	2104	stable ds=4	damp=800
damp	2204	stable ds=4	damp=800
damp	2304	stable ds=4	damp=800
damp	2404	stable ds=4	damp=800
damp	2504	stable ds=4	damp=800
damp	2604	stable ds=4	damp=800
damp	2704	stable ds=4	damp=800
damp	2804	stable ds=4	damp=800
damp	2904	stable ds=4	damp=800
damp	3004	stable ds=4	damp=800
damp	3104	stable ds=4	damp=800
damp	3204	stable ds=4	damp=800
damp	3304	stable ds=4	damp=800
damp	3404	stable ds=4	damp=800
damp	3504	stable ds=4	damp=800
damp	3604	stable ds=4	damp=800
damp	3704	stable ds=4	damp=800
damp	3900	stable ds=0	damp=800
damp	3901	flip ds=1	damp=750
damp	4211	stable ds=1	damp=800
damp	4456	flip ds=0	damp=750
damp	4465	flip ds=2	damp=700
damp	4536	flip ds=3	damp=650
damp	4745	stable ds=2	damp=700
damp	4781	flip ds=3	damp=650
depth	ds=0	n=940	sumC=782638	sumK=777	G=6	off=3	regcap=1024
depth	ds=1	n=893	sumC=829025	sumK=777	G=58	off=37	regcap=1024
depth	ds=2	n=807	sumC=782065	sumK=776	G=8	off=5	regcap=1024
depth	ds=3	n=786	sumC=767715	sumK=770	G=-3	off=-1	regcap=1024
depth	ds=4	n=776	sumC=761464	sumK=765	G=-4	off=-2	regcap=1024
depth	ds=5	n=15	sumC=11720	sumK=10	G=115	off=74	regcap=256
depth	ds=6	n=5	sumC=5000	sumK=5	G=0	off=0	regcap=256
final	damp=650	flips=5	ups=40	downs=5
checkpoint	VOID	wnz=1	livedepths=7	offnz=6	adapts=45
