VIEWCOV f frontality_x1024 cov_x1024 iou_x1024 neck_err
f=0 front=510 cov=961 iou=201 neck_err=99
f=1 front=314 cov=972 iou=270 neck_err=53
f=2 front=285 cov=907 iou=261 neck_err=138
f=3 front=234 cov=962 iou=303 neck_err=132
f=6 front=275 cov=825 iou=258 neck_err=131
f=7 front=260 cov=800 iou=254 neck_err=129
f=8 front=447 cov=1011 iou=217 neck_err=70
f=10 front=408 cov=871 iou=208 neck_err=72
f=11 front=229 cov=574 iou=202 neck_err=126
f=12 front=232 cov=551 iou=199 neck_err=119
f=13 front=257 cov=543 iou=191 neck_err=117
f=14 front=262 cov=548 iou=183 neck_err=118
f=15 front=313 cov=440 iou=138 neck_err=115
