cell	m	y	d	n	k	rho
0	0	0	1	34	4	138
1	0	0	2	0	0	500
2	0	0	4	0	0	500
3	0	0	8	0	0	500
4	0	0	16	0	0	500
5	0	0	32	0	0	500
6	0	0	64	0	0	500
7	0	1	1	92	0	10
8	0	1	2	0	0	500
9	0	1	4	0	0	500
10	0	1	8	0	0	500
11	0	1	16	0	0	500
12	0	1	32	0	0	500
13	0	1	64	0	0	500
14	0	2	1	24	0	38
15	0	2	2	0	0	500
16	0	2	4	0	0	500
17	0	2	8	0	0	500
18	0	2	16	0	0	500
19	0	2	32	0	0	500
20	0	2	64	0	0	500
21	0	3	1	0	0	500
22	0	3	2	0	0	500
23	0	3	4	0	0	500
24	0	3	8	0	0	500
25	0	3	16	0	0	500
26	0	3	32	0	0	500
27	0	3	64	0	0	500
28	1	0	1	17	9	526
29	1	0	2	0	0	500
30	1	0	4	0	0	500
31	1	0	8	0	0	500
32	1	0	16	0	0	500
33	1	0	32	0	0	500
34	1	0	64	0	0	500
35	1	1	1	0	0	500
36	1	1	2	0	0	500
37	1	1	4	0	0	500
38	1	1	8	0	0	500
39	1	1	16	0	0	500
40	1	1	32	0	0	500
41	1	1	64	0	0	500
42	1	2	1	0	0	500
43	1	2	2	0	0	500
44	1	2	4	0	0	500
45	1	2	8	0	0	500
46	1	2	16	0	0	500
47	1	2	32	0	0	500
48	1	2	64	0	0	500
49	1	3	1	0	0	500
50	1	3	2	95	0	10
51	1	3	4	1	1	666
52	1	3	8	0	0	500
53	1	3	16	0	0	500
54	1	3	32	0	0	500
55	1	3	64	0	0	500
56	2	0	1	184	176	951
57	2	0	2	268	268	996
58	2	0	4	268	268	996
59	2	0	8	268	268	996
60	2	0	16	268	268	996
61	2	0	32	0	0	500
62	2	0	64	0	0	500
63	2	1	1	36	36	973
64	2	1	2	0	0	500
65	2	1	4	0	0	500
66	2	1	8	0	0	500
67	2	1	16	0	0	500
68	2	1	32	0	0	500
69	2	1	64	0	0	500
70	2	2	1	34	34	972
71	2	2	2	0	0	500
72	2	2	4	0	0	500
73	2	2	8	0	0	500
74	2	2	16	0	0	500
75	2	2	32	0	0	500
76	2	2	64	0	0	500
77	2	3	1	268	268	996
78	2	3	2	57	37	644
79	2	3	4	50	20	403
80	2	3	8	30	15	500
81	2	3	16	20	10	500
82	2	3	32	10	5	500
83	2	3	64	0	0	500
84	3	0	1	147	147	993
85	3	0	2	8	8	900
86	3	0	4	8	8	900
87	3	0	8	8	8	900
88	3	0	16	8	8	900
89	3	0	32	0	0	500
90	3	0	64	0	0	500
91	3	1	1	17	17	947
92	3	1	2	0	0	500
93	3	1	4	0	0	500
94	3	1	8	0	0	500
95	3	1	16	0	0	500
96	3	1	32	0	0	500
97	3	1	64	0	0	500
98	3	2	1	8	8	900
99	3	2	2	0	0	500
100	3	2	4	0	0	500
101	3	2	8	0	0	500
102	3	2	16	0	0	500
103	3	2	32	0	0	500
104	3	2	64	0	0	500
105	3	3	1	8	8	900
106	3	3	2	0	0	500
107	3	3	4	0	0	500
108	3	3	8	0	0	500
109	3	3	16	0	0	500
110	3	3	32	0	0	500
111	3	3	64	0	0	500
112	4	0	1	39	39	975
113	4	0	2	8	8	900
114	4	0	4	58	58	983
115	4	0	8	127	126	984
116	4	0	16	323	322	993
117	4	0	32	5	5	857
118	4	0	64	5	5	857
119	4	1	1	16	15	888
120	4	1	2	0	0	500
121	4	1	4	0	0	500
122	4	1	8	0	0	500
123	4	1	16	0	0	500
124	4	1	32	0	0	500
125	4	1	64	0	0	500
126	4	2	1	8	8	900
127	4	2	2	0	0	500
128	4	2	4	0	0	500
129	4	2	8	0	0	500
130	4	2	16	0	0	500
131	4	2	32	0	0	500
132	4	2	64	0	0	500
133	4	3	1	8	8	900
134	4	3	2	457	456	995
135	4	3	4	422	421	995
136	4	3	8	353	353	997
137	4	3	16	157	157	993
138	4	3	32	0	0	500
139	4	3	64	0	0	500
zz_summary	rows	5240
zz_summary	released_train	4222
zz_summary	nonempty_cells	41
zz_summary	rho_mean_x1000	584
