PREREG_SHA f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	u1	u2	u3	u4	u5	u6	u7	u8	c	v1	v2	v3	v4	v5	v6	v7	v8	d	mcC	mcW	mcA	corr_s
0	0	2439657	0	19	0	1112	0	0	0	19	234	18	0	-131	-33	0	0	-16	-27	40	-42	0	-2	850	368	811	367
1	0	1253677	0	21	0	1188	0	0	0	28	405	30	0	-356	-37	0	0	-16	-37	38	-35	0	3	822	336	783	291
2	1	7800803	33	26	0	1157	-9	0	-13	34	85	257	0	-1414	-28	0	0	-44	-35	28	30	0	22	17	0	16	-542
3	1	8557742	0	20	0	1391	-8	0	52	268	250	593	0	-2051	-51	1	0	-91	-63	12	91	0	32	106	4	98	-114
4	2	29658393	2	24	0	1679	6	0	48	455	1361	419	30	-1432	-85	-9	0	-85	-78	38	92	25	73	973	461	931	554
5	2	23164024	80	22	0	1627	0	0	-41	296	1650	190	60	-1704	-71	-15	0	-65	-40	-3	179	51	90	764	410	735	556
6	0	2187000	0	10	0	1875	0	0	-37	408	1667	456	60	-1899	-132	-15	0	-96	-72	-1	121	51	32	929	359	883	229
7	0	1305618	0	17	0	2032	0	0	-36	438	1755	593	60	-2300	-140	-15	0	-101	-61	42	98	51	49	853	183	799	84
8	1	9576947	28	29	0	1967	-15	0	-67	405	1484	813	60	-3455	-140	-14	0	-144	-67	18	169	51	55	56	5	52	-262
9	1	8848912	0	21	0	2158	-15	0	-35	596	1639	1128	60	-4131	-161	-14	0	-196	-95	-1	243	51	69	69	6	64	-48
10	2	37003352	2	24	0	2482	3	0	-50	777	2949	908	90	-3536	-190	-30	0	-181	-112	53	250	75	141	852	294	807	391
11	2	28447973	79	21	0	2428	-4	0	-148	596	3357	666	120	-3957	-177	-36	0	-154	-75	5	352	101	159	611	240	581	582
12	0	8260882	0	8	0	2940	-4	0	-125	847	3402	1208	120	-3917	-285	-36	0	-216	-130	10	250	101	57	963	435	920	136
13	0	1361431	0	9	0	3099	-4	0	-122	861	3416	1382	120	-4480	-289	-36	0	-214	-124	18	248	101	59	899	202	843	145
14	1	11007054	22	24	0	2996	-29	0	-158	797	3089	1610	120	-5828	-266	-33	0	-243	-108	11	321	101	82	140	12	130	-77
15	1	7682280	0	18	0	3121	-29	0	-158	922	3214	1860	120	-6477	-275	-33	0	-283	-125	-8	398	101	97	120	11	111	-27
16	2	46210960	2	23	0	3463	-11	0	-189	1085	4725	1567	150	-5997	-280	-55	0	-249	-134	67	435	125	205	698	191	657	376
17	2	34000036	35	22	0	3421	-24	0	-285	910	5296	1317	180	-6406	-276	-66	0	-221	-107	24	529	150	224	605	213	573	559
18	0	13847262	0	8	0	4132	-23	0	-235	1253	5360	2075	180	-6191	-430	-67	0	-304	-191	24	380	150	75	969	464	928	108
19	0	1714797	0	9	0	4307	-23	0	-230	1264	5373	2265	180	-6764	-434	-67	0	-302	-187	29	381	150	76	936	285	884	136
20	1	15705403	22	21	0	4100	-62	0	-282	1113	4826	2499	180	-8371	-384	-62	0	-314	-146	20	459	150	101	171	14	158	-49
21	1	7062513	0	17	0	4225	-62	0	-282	1238	4951	2749	180	-8988	-382	-62	0	-343	-154	-3	536	150	112	160	13	148	-33
22	2	50646122	0	24	0	4646	-43	0	-284	1432	6570	2499	210	-8512	-352	-93	0	-283	-141	78	626	174	252	682	176	641	450
23	2	38671401	5	24	0	4618	-58	0	-377	1259	7232	2249	240	-9020	-360	-103	0	-258	-136	49	698	198	273	599	194	566	547
24	0	16007956	0	8	0	5433	-57	0	-303	1610	7306	3118	240	-8897	-560	-108	0	-351	-249	45	506	198	81	955	351	906	137
25	0	3076839	0	9	0	5674	-57	0	-296	1628	7324	3377	240	-9567	-565	-108	0	-349	-245	49	507	198	82	923	229	867	136
26	1	15315565	22	21	0	5444	-105	0	-345	1442	6743	3600	240	-11224	-497	-102	0	-349	-182	39	585	198	107	192	14	178	-25
27	1	6628102	0	16	0	5569	-105	0	-345	1567	6868	3850	240	-11881	-487	-102	0	-369	-182	13	661	198	114	183	14	169	-27
28	2	54024966	0	24	0	6047	-82	0	-341	1782	8619	3600	270	-11358	-440	-135	0	-305	-163	113	753	223	276	699	167	656	433
29	2	41170523	5	24	0	6046	-98	0	-433	1617	9361	3350	300	-11903	-450	-146	0	-280	-164	88	823	247	301	603	193	570	522
30	0	17358497	0	9	0	6924	-94	0	-344	1945	9442	4280	300	-11862	-666	-156	0	-374	-300	85	611	247	89	950	283	896	149
31	0	4501224	0	9	0	7210	-94	0	-339	1967	9472	4588	300	-12550	-674	-156	0	-375	-295	97	608	247	93	928	222	871	107
32	1	16052242	22	20	0	6942	-148	0	-387	1736	8821	4796	300	-14287	-589	-149	0	-366	-214	68	687	247	102	204	14	189	-19
33	1	6376903	0	15	0	7067	-148	0	-387	1861	8946	5046	300	-14964	-570	-149	0	-380	-207	36	766	247	106	194	14	179	-24
34	2	55934536	0	24	0	7589	-121	0	-384	2089	10798	4796	330	-14370	-516	-183	0	-316	-179	154	863	273	287	724	163	679	402
35	2	41849640	5	23	0	7601	-136	0	-476	1931	11583	4546	360	-14902	-523	-196	0	-293	-185	127	930	297	308	617	197	583	490
36	0	17524259	0	9	0	8505	-130	0	-383	2231	11667	5504	360	-14915	-750	-206	0	-385	-332	118	705	297	82	951	260	895	154
37	0	5793454	0	9	0	8817	-130	0	-383	2255	11730	5826	360	-15585	-761	-206	0	-393	-334	162	685	297	99	939	228	882	76
38	1	17244579	22	19	0	8496	-189	0	-435	1978	10985	6017	360	-17406	-680	-197	0	-383	-250	108	748	297	78	220	14	203	-30
39	1	6353139	0	15	0	8621	-189	0	-435	2103	11110	6267	360	-18091	-643	-197	0	-389	-227	73	843	297	87	204	14	189	-21
40	2	57842240	0	23	0	9172	-161	0	-431	2343	13035	6017	390	-17455	-579	-234	0	-324	-196	199	949	324	283	734	159	687	375
41	2	41557356	5	24	0	9200	-175	0	-523	2194	13856	5767	420	-17948	-580	-244	0	-303	-199	168	1017	349	301	642	202	606	471
42	0	17683951	0	9	0	10122	-168	0	-426	2468	13944	6745	420	-17971	-815	-254	0	-393	-352	159	786	349	69	956	258	900	155
43	0	6523410	0	9	0	10450	-168	0	-426	2490	14032	7070	420	-18625	-828	-255	0	-402	-356	223	752	349	91	951	235	893	67
44	1	17808823	22	19	0	10073	-234	0	-483	2163	13183	7241	420	-20531	-758	-243	0	-391	-274	151	795	349	42	238	14	220	-33
45	1	6425174	0	12	0	10198	-234	0	-483	2288	13308	7491	420	-21216	-707	-243	0	-392	-239	115	906	349	61	215	14	199	-17
46	2	60039319	0	23	0	10771	-204	0	-479	2534	15290	7241	450	-20556	-634	-283	0	-325	-201	249	1022	377	270	736	152	689	348
47	2	41167907	5	23	0	10811	-214	0	-570	2404	16151	6991	480	-20995	-633	-294	0	-306	-203	216	1093	402	288	667	208	630	447
48	0	17981443	0	9	0	11750	-208	0	-470	2651	16239	7986	480	-21020	-870	-304	0	-393	-363	204	858	402	49	961	257	904	147
49	0	7006009	0	8	0	12083	-208	0	-470	2673	16344	8313	480	-21663	-889	-307	0	-403	-368	281	818	402	77	959	242	901	62
50	1	19128204	22	16	0	11654	-278	0	-532	2307	15402	8462	480	-23647	-826	-294	0	-391	-285	198	839	402	4	257	14	237	-57
51	1	6356092	0	12	0	11777	-278	0	-532	2430	15525	8709	480	-24336	-771	-294	0	-391	-246	160	955	402	26	230	14	213	5
52	2	61204186	0	23	0	12374	-247	0	-524	2683	17552	8459	510	-23666	-687	-331	0	-319	-202	306	1077	430	249	739	144	691	324
53	2	40919359	5	23	0	12430	-255	0	-614	2575	18455	8209	540	-24058	-683	-340	0	-302	-199	267	1153	455	263	687	211	649	416
54	0	18595242	0	8	0	13390	-249	0	-508	2809	18543	9226	540	-24068	-918	-351	0	-393	-363	256	924	455	28	966	257	908	137
55	0	7341208	0	8	0	13730	-249	0	-508	2831	18662	9554	540	-24704	-938	-356	0	-403	-370	340	876	455	55	965	246	907	57
56	1	21144768	22	16	0	13251	-325	0	-575	2427	17632	9683	540	-26761	-883	-341	0	-390	-295	244	878	455	-39	270	14	249	-67
57	1	6212251	0	12	0	13372	-325	0	-575	2548	17753	9926	540	-27457	-826	-341	0	-390	-254	209	993	455	-16	246	14	227	2
58	2	61874983	0	23	0	13987	-290	0	-564	2809	19818	9676	570	-26770	-729	-377	0	-313	-201	362	1122	483	218	744	140	695	296
59	2	40787855	5	23	0	14053	-296	0	-652	2725	20758	9426	600	-27134	-713	-384	0	-298	-199	320	1202	508	233	705	212	665	385
