C events parsed: 2
C regions=3 starts: 0 44100 617400
C rg=0 rb=0 g=65536 m=4064 T=4043 st=0
C rg=0 rb=1 g=65536 m=7492 T=7087 st=0
C rg=0 rb=2 g=65536 m=7127 T=7087 st=0
C rg=0 rb=3 g=65536 m=7821 T=7087 st=0
C rg=0 rb=4 g=65536 m=6799 T=7087 st=0
C rg=0 rb=5 g=65536 m=7838 T=7087 st=0
C rg=0 rb=6 g=65536 m=7066 T=7087 st=0
C rg=0 rb=7 g=65536 m=7553 T=7087 st=0
C rg=0 rb=8 g=65536 m=7300 T=7087 st=0
C rg=0 rb=9 g=65536 m=7294 T=7087 st=0
C rg=0 rb=10 g=65536 m=7446 T=7087 st=0
C rg=0 rb=11 g=65536 m=7173 T=7087 st=0
C rg=0 rb=12 g=65536 m=7802 T=7087 st=0
C rg=0 rb=13 g=65536 m=6810 T=7087 st=0
C rg=0 rb=14 g=65536 m=7847 T=7087 st=0
C rg=0 rb=15 g=65536 m=7015 T=7087 st=0
C rg=0 rb=16 g=65536 m=7602 T=7087 st=0
C rg=0 rb=17 g=65536 m=7300 T=7087 st=0
C rg=0 rb=18 g=65536 m=7297 T=7087 st=0
C rg=0 rb=19 g=65536 m=7403 T=7087 st=0
C rg=0 rb=20 g=65536 m=7214 T=7087 st=0
C rg=0 rb=21 g=65536 m=7778 T=7087 st=0
C rg=0 rb=22 g=65536 m=6829 T=7087 st=0
C rg=0 rb=23 g=65536 m=7854 T=7087 st=0
C rg=0 rb=24 g=65536 m=6965 T=7087 st=0
C rg=0 rb=25 g=65536 m=7649 T=7087 st=0
C rg=0 rb=26 g=65536 m=7295 T=7087 st=0
C rg=0 rb=27 g=65536 m=7305 T=7087 st=0
C rg=0 rb=28 g=65536 m=7366 T=7087 st=0
C rg=0 rb=29 g=65536 m=7246 T=7087 st=0
C rg=0 rb=30 g=65536 m=7749 T=7087 st=0
C rg=0 rb=31 g=65536 m=6857 T=7087 st=0
C rg=0 rb=32 g=65536 m=7857 T=7087 st=0
C rg=0 rb=33 g=65536 m=6919 T=7087 st=0
C rg=0 rb=34 g=65536 m=7691 T=7087 st=0
C rg=0 rb=35 g=65536 m=7284 T=7087 st=0
C rg=0 rb=36 g=65536 m=7322 T=7087 st=0
C rg=0 rb=37 g=65536 m=7337 T=7087 st=0
C rg=0 rb=38 g=65536 m=7271 T=7087 st=0
C rg=0 rb=39 g=65536 m=7715 T=7087 st=0
C rg=0 rb=40 g=65536 m=6894 T=7087 st=0
C rg=0 rb=41 g=65536 m=7858 T=7087 st=0
C rg=0 rb=42 g=65536 m=6879 T=7087 st=0
C rg=0 rb=43 g=55486 m=10222 T=7087 st=1
C rg=1 rb=0 g=65536 m=9523 T=10140 st=0
C rg=1 rb=1 g=70074 m=20384 T=23207 st=1
C rg=1 rb=2 g=70074 m=23755 T=25238 st=0
C rg=1 rb=3 g=70074 m=23434 T=25238 st=0
C rg=1 rb=4 g=70074 m=23378 T=25238 st=0
C rg=1 rb=5 g=70074 m=23743 T=25238 st=0
C rg=1 rb=6 g=70074 m=23905 T=25238 st=0
C rg=1 rb=7 g=70074 m=23141 T=25238 st=0
C rg=1 rb=8 g=70074 m=23665 T=25238 st=0
C rg=1 rb=9 g=70074 m=23541 T=25238 st=0
C rg=1 rb=10 g=70074 m=23460 T=25238 st=0
C rg=1 rb=11 g=70074 m=23732 T=25238 st=0
C rg=1 rb=12 g=70074 m=23833 T=25238 st=0
C rg=1 rb=13 g=70074 m=23348 T=25238 st=0
C rg=1 rb=14 g=70074 m=23543 T=25238 st=0
C rg=1 rb=15 g=60416 m=9810 T=7106 st=1
C rg=1 rb=16 g=60416 m=7473 T=7730 st=0
C rg=1 rb=17 g=65813 m=8904 T=10495 st=1
C rg=1 rb=18 g=65813 m=13762 T=15148 st=0
C rg=1 rb=19 g=70110 m=17755 T=20074 st=1
C rg=1 rb=20 g=70110 m=22225 T=23747 st=0
C rg=1 rb=21 g=70110 m=18653 T=18449 st=0
C rg=1 rb=22 g=70110 m=7305 T=7087 st=0
C rg=1 rb=23 g=64627 m=8401 T=7087 st=1
C rg=1 rb=24 g=64627 m=6868 T=7087 st=0
C rg=1 rb=25 g=64627 m=7542 T=7087 st=0
C rg=1 rb=26 g=64627 m=7193 T=7087 st=0
