# pun.tsv — dual-meaning words/phrases; merged from pun_a_m.tsv + pun_n_z.tsv (two subagents), 2026-09-24
# format: word \t senseA_cues \t senseB_cues \t A=<sense>; B=<sense>
act	stage,play,theater,drama	deed,behavior,conduct	A=stage performance; B=deed or behavior
address	street,mail,envelope,home,zip	speech,talk,audience,lecture	A=street location; B=formal speech
air	breathe,sky,wind,oxygen	broadcast,tv,radio,show	A=atmosphere; B=to broadcast
arm	limb,shoulder,hand,elbow	weapon,war,soldier,gun	A=upper limb; B=to equip with weapons
back	spine,shoulder,pain,muscle	return,again,reverse,refund	A=rear of body; B=to return
balance	steady,poise,scale,tightrope	account,bank,owe,ledger	A=equilibrium; B=account remainder
ball	bounce,throw,sport,soccer	dance,gown,waltz,tuxedo	A=sphere for play; B=formal dance
band	concert,music,drums,guitar	rubber,ring,strip,elastic	A=music group; B=encircling strip
bank	money,account,loan,teller	river,shore,stream,creek	A=financial institution; B=river edge
bark	tree,trunk,wood,oak	dog,woof,howl,puppy	A=tree covering; B=dog sound
bat	baseball,swing,hit,pitch	cave,night,wings,vampire	A=sports club; B=nocturnal flying mammal
bear	woods,grizzly,honey,cub	endure,tolerate,suffer,carry	A=large mammal; B=to endure
beat	hit,strike,punch,drum	rhythm,tempo,music,heart	A=to strike; B=rhythmic pulse
bed	sleep,pillow,mattress,blanket	river,stream,bottom,creek	A=sleeping furniture; B=river bottom
block	stop,hinder,obstruct,bar	city,street,avenue,neighborhood	A=to obstruct; B=city square area
blow	wind,gust,storm,gale	hit,strike,punch,setback	A=gust of wind; B=a strike or setback
blue	sky,ocean,color,denim	sad,depressed,cry,gloomy	A=the color; B=feeling sad
board	wood,plank,nail,lumber	directors,meeting,committee,chairman	A=wooden plank; B=governing committee
body	corpse,dead,morgue,autopsy	anatomy,health,fitness,physique	A=corpse; B=human anatomy
bolt	nut,screw,wrench,fastener	run,flee,dash,lightning	A=threaded fastener; B=to run suddenly
book	read,novel,pages,author	reserve,hotel,ticket,flight	A=bound text; B=to reserve
boot	shoe,leather,foot,cowboy	kick,start,computer,reboot	A=footwear; B=to kick or start up
