condition,frame,psnr_db,ssim
native-verbatim,0,inf,1.000000
native-verbatim,1,inf,1.000000
native-verbatim,2,inf,1.000000
native-verbatim,3,inf,1.000000
native-verbatim,4,inf,1.000000
native-verbatim,5,inf,1.000000
native-verbatim,6,inf,1.000000
native-verbatim,7,inf,1.000000
native-verbatim,8,inf,1.000000
native-verbatim,9,inf,1.000000
native-verbatim,10,inf,1.000000
native-verbatim,11,inf,1.000000
native-verbatim,12,inf,1.000000
native-verbatim,13,inf,1.000000
native-verbatim,14,inf,1.000000
native-verbatim,15,inf,1.000000
native-verbatim,16,inf,1.000000
native-verbatim,17,inf,1.000000
native-verbatim,18,inf,1.000000
native-verbatim,19,inf,1.000000
native-verbatim,20,inf,1.000000
native-verbatim,21,inf,1.000000
native-verbatim,22,inf,1.000000
native-verbatim,23,inf,1.000000
native-encoded,0,28.3260,0.920177
native-encoded,1,28.3520,0.919951
native-encoded,2,28.3066,0.919431
native-encoded,3,28.3337,0.919838
native-encoded,4,28.3054,0.920201
native-encoded,5,28.3289,0.920190
native-encoded,6,28.2906,0.919296
native-encoded,7,28.3113,0.920112
native-encoded,8,28.2958,0.919936
native-encoded,9,28.3291,0.920109
native-encoded,10,28.3581,0.919972
native-encoded,11,28.3241,0.918828
native-encoded,12,28.3118,0.918478
native-encoded,13,28.3225,0.918208
native-encoded,14,28.3218,0.918380
native-encoded,15,28.3636,0.919492
native-encoded,16,28.4054,0.920785
native-encoded,17,28.3496,0.920354
native-encoded,18,28.3126,0.919774
native-encoded,19,28.2846,0.919541
native-encoded,20,28.2765,0.919379
native-encoded,21,28.2221,0.918803
native-encoded,22,28.2049,0.918512
native-encoded,23,28.1920,0.917957
byte-copy,0,inf,1.000000
byte-copy,1,inf,1.000000
byte-copy,2,inf,1.000000
byte-copy,3,inf,1.000000
byte-copy,4,inf,1.000000
byte-copy,5,inf,1.000000
byte-copy,6,inf,1.000000
byte-copy,7,inf,1.000000
byte-copy,8,inf,1.000000
byte-copy,9,inf,1.000000
byte-copy,10,inf,1.000000
byte-copy,11,inf,1.000000
byte-copy,12,inf,1.000000
byte-copy,13,inf,1.000000
byte-copy,14,inf,1.000000
byte-copy,15,inf,1.000000
byte-copy,16,inf,1.000000
byte-copy,17,inf,1.000000
byte-copy,18,inf,1.000000
byte-copy,19,inf,1.000000
byte-copy,20,inf,1.000000
byte-copy,21,inf,1.000000
byte-copy,22,inf,1.000000
byte-copy,23,inf,1.000000
floor,0,11.2882,0.553071
floor,1,11.2164,0.548233
floor,2,11.2113,0.545901
floor,3,11.2046,0.552930
floor,4,11.2855,0.560297
floor,5,11.1984,0.553483
floor,6,11.1814,0.545116
floor,7,11.1850,0.549723
floor,8,11.2743,0.559665
floor,9,11.2275,0.557226
floor,10,11.1949,0.552629
floor,11,11.2074,0.549617
floor,12,11.1856,0.546704
floor,13,11.1741,0.545832
floor,14,11.1660,0.545988
floor,15,11.1813,0.547348
floor,16,11.1886,0.544656
floor,17,11.1795,0.539535
floor,18,11.1779,0.535407
floor,19,11.1577,0.535696
floor,20,11.1166,0.533805
floor,21,11.1150,0.533446
floor,22,11.1057,0.532471
floor,23,11.0911,0.531029
