case	rep	verdict
honest:H1_three_host	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H1_three_host	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H2_four_host	1	V|g7infra|INSTALL|NONE|4|4|L0=78|pinok=2|pinbad=0
honest:H2_four_host	2	V|g7infra|INSTALL|NONE|4|4|L0=78|pinok=2|pinbad=0
honest:H3_six_host	1	V|g7infra|INSTALL|NONE|6|6|L0=78|pinok=2|pinbad=0
honest:H3_six_host	2	V|g7infra|INSTALL|NONE|6|6|L0=78|pinok=2|pinbad=0
honest:H4_paraphrase_agree	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H4_paraphrase_agree	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H5_range_format	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H5_range_format	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H6_numeric	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H6_numeric	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H7_range_agree	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H7_range_agree	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H8_wire_truth	1	V|g7infra|INSTALL|NONE|4|4|L0=78|pinok=2|pinbad=0
honest:H8_wire_truth	2	V|g7infra|INSTALL|NONE|4|4|L0=78|pinok=2|pinbad=0
honest:H9_filler_diverse	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H9_filler_diverse	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H10_punct_variant	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H10_punct_variant	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
honest:H11_claim_second	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H11_claim_second	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H12_numeric2	1	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
honest:H12_numeric2	2	V|g7infra|INSTALL|NONE|2|2|L0=78|pinok=2|pinbad=0
F7_longring	1	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=2|pinbad=0
F7_longring	2	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=2|pinbad=0
T5_longwire	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
T5_longwire	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
RFC1_rfcquote	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
RFC1_rfcquote	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
STAT1_statute	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
STAT1_statute	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=3|pinbad=0
TECH1_archived	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
TECH1_archived	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
F7_short	1	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
F7_short	2	V|g7infra|INSTALL|NONE|3|3|L0=78|pinok=2|pinbad=0
F7_misquote	1	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=3|pinbad=0
F7_misquote	2	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=3|pinbad=0
F7_fakecite	1	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=2|pinbad=0
F7_fakecite	2	V|g7infra|WITHHOLD|COPYCOLLAPSE|3|3|L0=78|pinok=2|pinbad=0
