cell	config	trial	disp
C1	G1	0	1
C1	G1	1	0
C1	G1	2	4
C1	G1	3	5
C1	G2	0	1
C1	G2	1	0
C1	G2	2	4
C1	G2	3	5
C1	MG1	0	1
C1	MG1	1	0
C1	MG1	2	4
C1	MG1	3	5
C1	MG2	0	1
C1	MG2	1	0
C1	MG2	2	4
C1	MG2	3	5
C1	MG3	0	1
C1	MG3	1	0
C1	MG3	2	4
C1	MG3	3	5
C1	MG4	0	1
C1	MG4	1	0
C1	MG4	2	4
C1	MG4	3	5
C1	MG6	0	1
C1	MG6	1	0
C1	MG6	2	4
C1	MG6	3	5
C2	G1	0	1
C2	G1	1	0
C2	G1	2	4
C2	G2	0	1
C2	G2	1	0
C2	G2	2	4
C2	MG1	0	1
C2	MG1	1	0
C2	MG1	2	4
C2	MG2	0	1
C2	MG2	1	0
C2	MG2	2	4
C2	MG3	0	1
C2	MG3	1	0
C2	MG3	2	4
C2	MG4	0	1
C2	MG4	1	0
C2	MG4	2	4
C2	MG6	0	1
C2	MG6	1	0
C2	MG6	2	4
C3	G1	0	1
C3	G1	1	0
C3	G1	2	4
C3	G2	0	1
C3	G2	1	0
C3	G2	2	4
C3	MG1	0	1
C3	MG1	1	0
C3	MG1	2	4
C3	MG2	0	1
C3	MG2	1	0
C3	MG2	2	4
C3	MG3	0	1
C3	MG3	1	0
C3	MG3	2	4
C3	MG4	0	1
C3	MG4	1	0
C3	MG4	2	4
C3	MG6	0	1
C3	MG6	1	0
C3	MG6	2	4
R1	G1	0	1
R1	G1	1	0
R1	G1	2	3
R1	G2	0	1
R1	G2	1	0
R1	G2	2	3
R1	MG1	0	1
R1	MG1	1	0
R1	MG1	2	3
R1	MG2	0	1
R1	MG2	1	0
R1	MG2	2	3
R1	MG3	0	1
R1	MG3	1	0
R1	MG3	2	3
R1	MG4	0	1
R1	MG4	1	0
R1	MG4	2	3
R1	MG6	0	1
R1	MG6	1	0
R1	MG6	2	3
R2	G1	0	1
R2	G1	1	1
R2	G1	2	4
R2	G2	0	1
R2	G2	1	0
R2	G2	2	4
R2	MG1	0	1
R2	MG1	1	1
R2	MG1	2	4
R2	MG2	0	1
R2	MG2	1	1
R2	MG2	2	4
R2	MG3	0	1
R2	MG3	1	1
R2	MG3	2	4
R2	MG4	0	1
R2	MG4	1	1
R2	MG4	2	4
R2	MG6	0	1
R2	MG6	1	1
R2	MG6	2	4
H1	G1	0	3
H1	G2	0	3
H1	MG1	0	3
H1	MG2	0	3
H1	MG3	0	3
H1	MG4	0	3
H1	MG6	0	3
T1	G1	0	1
T1	G1	1	0
T1	G1	2	4
T1	G2	0	1
T1	G2	1	0
T1	G2	2	4
T1	MG1	0	1
T1	MG1	1	0
T1	MG1	2	4
T1	MG2	0	1
T1	MG2	1	0
T1	MG2	2	4
T1	MG3	0	1
T1	MG3	1	0
T1	MG3	2	4
T1	MG4	0	1
T1	MG4	1	0
T1	MG4	2	4
T1	MG6	0	1
T1	MG6	1	0
T1	MG6	2	4
W1	G1	0	7
W1	G1	1	7
W1	G1	2	7
W1	G2	0	7
W1	G2	1	7
W1	G2	2	7
W1	MG1	0	7
W1	MG1	1	7
W1	MG1	2	7
W1	MG2	0	7
W1	MG2	1	7
W1	MG2	2	7
W1	MG3	0	7
W1	MG3	1	7
W1	MG3	2	7
W1	MG4	0	7
W1	MG4	1	7
W1	MG4	2	7
W1	MG6	0	7
W1	MG6	1	7
W1	MG6	2	7
CC1	G1	0	1
CC1	G1	1	0
CC1	G1	2	4
CC1	G1	3	5
CC1	G2	0	1
CC1	G2	1	0
CC1	G2	2	4
CC1	G2	3	5
CC1	MG1	0	1
CC1	MG1	1	0
CC1	MG1	2	4
CC1	MG1	3	4
CC1	MG2	0	1
CC1	MG2	1	0
CC1	MG2	2	4
CC1	MG2	3	4
CC1	MG3	0	1
CC1	MG3	1	0
CC1	MG3	2	4
CC1	MG3	3	4
CC1	MG4	0	1
CC1	MG4	1	0
CC1	MG4	2	4
CC1	MG4	3	4
CC1	MG6	0	1
CC1	MG6	1	0
CC1	MG6	2	4
CC1	MG6	3	4
CC1-V1	G1	0	1
CC1-V1	G1	1	0
CC1-V1	G1	2	4
CC1-V1	G1	3	5
CC1-V1	G2	0	1
CC1-V1	G2	1	0
CC1-V1	G2	2	4
CC1-V1	G2	3	5
CC1-V1	MG1	0	1
CC1-V1	MG1	1	0
CC1-V1	MG1	2	4
CC1-V1	MG1	3	4
CC1-V1	MG2	0	1
CC1-V1	MG2	1	0
CC1-V1	MG2	2	4
CC1-V1	MG2	3	4
CC1-V1	MG3	0	1
CC1-V1	MG3	1	0
CC1-V1	MG3	2	4
CC1-V1	MG3	3	4
CC1-V1	MG4	0	1
CC1-V1	MG4	1	0
CC1-V1	MG4	2	4
CC1-V1	MG4	3	4
CC1-V1	MG6	0	1
CC1-V1	MG6	1	0
CC1-V1	MG6	2	4
CC1-V1	MG6	3	4
CC1-V2	G1	0	1
CC1-V2	G1	1	0
CC1-V2	G1	2	4
CC1-V2	G1	3	5
CC1-V2	G2	0	1
CC1-V2	G2	1	0
CC1-V2	G2	2	4
CC1-V2	G2	3	5
CC1-V2	MG1	0	1
CC1-V2	MG1	1	0
CC1-V2	MG1	2	4
CC1-V2	MG1	3	4
CC1-V2	MG2	0	1
CC1-V2	MG2	1	0
CC1-V2	MG2	2	4
CC1-V2	MG2	3	4
CC1-V2	MG3	0	1
CC1-V2	MG3	1	0
CC1-V2	MG3	2	4
CC1-V2	MG3	3	4
CC1-V2	MG4	0	1
CC1-V2	MG4	1	0
CC1-V2	MG4	2	4
CC1-V2	MG4	3	4
CC1-V2	MG6	0	1
CC1-V2	MG6	1	0
CC1-V2	MG6	2	4
CC1-V2	MG6	3	4
CC1-V3	G1	0	1
CC1-V3	G1	1	0
CC1-V3	G1	2	4
