case	bundle	mech	verdict
X_SATUR1_crowdout	top3	base	V|base|INSTALL|NONE|3|3
X_SATUR1_crowdout	top3	ch1	V|ch1|INSTALL|NONE|3|3
X_SATUR1_crowdout	all	base	V|base|WITHHOLD|CONTRADICTION|5|5
X_SATUR1_crowdout	all	ch1	V|ch1|WITHHOLD|CONTRADICTION|5|5
C_numD_dissent	top3	base	V|base|INSTALL|NONE|3|3
C_numD_dissent	top3	ch1	V|ch1|INSTALL|NONE|3|3
C_numD_dissent	all	base	V|base|WITHHOLD|CONTRADICTION|3|3
C_numD_dissent	all	ch1	V|ch1|WITHHOLD|CONTRADICTION|3|3
X_SATUR1b_honest_open	top3	base	V|base|WITHHOLD|CONTRADICTION|2|2
X_SATUR1b_honest_open	top3	ch1	V|ch1|WITHHOLD|CONTRADICTION|2|2
X_SATUR1b_honest_open	all	base	V|base|WITHHOLD|CONTRADICTION|5|5
X_SATUR1b_honest_open	all	ch1	V|ch1|WITHHOLD|CONTRADICTION|5|5
X_BOILER1_widget	top3	base	V|base|INSTALL|NONE|3|3
X_BOILER1_widget	top3	ch1	V|ch1|INSTALL|NONE|3|3
X_BOILER1_widget	all	base	V|base|INSTALL|NONE|4|4
X_BOILER1_widget	all	ch1	V|ch1|INSTALL|NONE|4|4
H8_wire_truth	top3	base	V|base|INSTALL|NONE|3|3
H8_wire_truth	top3	ch1	V|ch1|INSTALL|NONE|3|3
H8_wire_truth	all	base	V|base|INSTALL|NONE|4|4
H8_wire_truth	all	ch1	V|ch1|INSTALL|NONE|4|4
T4_supersede	stale-pin1	g1	V|g1|WITHHOLD|ARCHVETO|3|3
T4_supersede	stale-reg1	g6	V|g6|WITHHOLD|REGVETO|3|3
