src	case	mech	rep	verdict
corrob	C_neg1	base	1	V|base|WITHHOLD|QUORUM|1|1
corrob	C_neg1	base	2	V|base|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch1	1	V|ch1|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch1	2	V|ch1|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch2	1	V|ch2|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch2	2	V|ch2|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch2b	1	V|ch2b|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch2b	2	V|ch2b|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch3	1	V|ch3|WITHHOLD|NONINFORMATIVE|1|1
corrob	C_neg1	ch3	2	V|ch3|WITHHOLD|NONINFORMATIVE|1|1
corrob	C_neg1	ch4	1	V|ch4|WITHHOLD|QUORUM|1|1
corrob	C_neg1	ch4	2	V|ch4|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g1	1	V|g1|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g1	2	V|g1|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g4	1	V|g4|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g4	2	V|g4|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g6	1	V|g6|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g6	2	V|g6|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g7	1	V|g7|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g7	2	V|g7|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g9	1	V|g9|WITHHOLD|QUORUM|1|1
corrob	C_neg1	g9	2	V|g9|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w11	1	V|w11|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w11	2	V|w11|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w12	1	V|w12|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w12	2	V|w12|WITHHOLD|QUORUM|1|1
corrob	C_neg1	w3	1	V|w3|WITHHOLD|QUORUM|1|1
