# Per-design per-family summary
mech | family | depth | n | acc | abst | G(d) | mean_conf(rel)
M0   | D       | d 1 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d 2 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d 4 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d 8 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d16 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d32 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | D       | d64 |  40 | 0.000 | 0.000 | +0.325 | 0.325
M0   | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d 2 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d 4 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d 8 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d16 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d32 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | O       | d64 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M0   | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d 2 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d 4 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d 8 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d16 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d32 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | P       | d64 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M0   | admit   | d 1 | 248 | 0.319 | 0.000 | +0.472 | 0.790
M0   | admit   | d 2 | 248 | 0.319 | 0.000 | +0.472 | 0.790
M0   | admit   | d 4 | 248 | 0.319 | 0.000 | +0.472 | 0.790
M0   | admit   | d 8 | 248 | 0.319 | 0.000 | +0.472 | 0.790
M0   | admit   | d16 | 248 | 0.319 | 0.000 | +0.472 | 0.790
M0   | cost    | d 1 | 125 | 0.608 | 0.000 | -0.068 | 0.540
M0   | cost    | d 2 | 125 | 0.608 | 0.000 | -0.068 | 0.540
M0   | cost    | d 4 | 125 | 0.608 | 0.000 | -0.068 | 0.540
M0   | cost    | d 8 | 125 | 0.608 | 0.000 | -0.068 | 0.540
M0   | cost    | d16 | 125 | 0.608 | 0.000 | -0.068 | 0.540
M0   | logic   | d 1 | 264 | 0.322 | 0.000 | +0.178 | 0.500
M0   | logic   | d 2 | 264 | 0.322 | 0.000 | +0.178 | 0.500
M0   | logic   | d 4 | 264 | 0.322 | 0.000 | +0.178 | 0.500
M0   | logic   | d 8 | 264 | 0.322 | 0.000 | +0.178 | 0.500
M0   | logic   | d16 | 264 | 0.322 | 0.000 | +0.178 | 0.500
M0   | redteam | d 1 |   3 | 1.000 | 0.000 | -0.467 | 0.533
M0   | redteam | d 2 |   3 | 1.000 | 0.000 | -0.467 | 0.533
M0   | redteam | d 4 |   3 | 1.000 | 0.000 | -0.467 | 0.533
M0   | redteam | d 8 |   3 | 1.000 | 0.000 | -0.467 | 0.533
M0   | redteam | d16 |   3 | 1.000 | 0.000 | -0.467 | 0.533
M0   | revoke  | d 1 | 113 | 0.257 | 0.000 | +0.243 | 0.500
M0   | revoke  | d 2 | 113 | 0.257 | 0.000 | +0.243 | 0.500
M0   | revoke  | d 4 | 113 | 0.257 | 0.000 | +0.243 | 0.500
M0   | revoke  | d 8 | 113 | 0.257 | 0.000 | +0.243 | 0.500
M0   | revoke  | d16 | 113 | 0.257 | 0.000 | +0.243 | 0.500
M0   | trap    | d 1 | 127 | 0.386 | 0.000 | -0.286 | 0.100
M0   | trap    | d 2 | 127 | 0.386 | 0.000 | -0.286 | 0.100
M0   | trap    | d 4 | 127 | 0.386 | 0.000 | -0.286 | 0.100
M0   | trap    | d 8 | 127 | 0.386 | 0.000 | -0.286 | 0.100
M0   | trap    | d16 | 127 | 0.386 | 0.000 | -0.286 | 0.100
M1   | D       | d 1 |  40 | 0.250 | 0.000 | +0.075 | 0.325
M1   | D       | d 2 |  40 | 0.500 | 0.000 | +0.100 | 0.600
M1   | D       | d 4 |  40 | 0.750 | 0.000 | +0.100 | 0.850
M1   | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M1   | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M1   | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M1   | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M1   | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M1   | O       | d 2 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M1   | O       | d 4 |  40 | 1.000 | 0.000 | -0.500 | 0.500
M1   | O       | d 8 |  40 | 0.750 | 0.000 | -0.125 | 0.625
M1   | O       | d16 |  40 | 0.500 | 0.000 | +0.250 | 0.750
M1   | O       | d32 |  40 | 0.250 | 0.000 | +0.625 | 0.875
M1   | O       | d64 |  40 | 0.000 | 0.000 | +1.000 | 1.000
M1   | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M1   | P       | d 2 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M1   | P       | d 4 |  40 | 0.000 | 0.000 | +0.500 | 0.500
M1   | P       | d 8 |  40 | 0.250 | 0.000 | +0.375 | 0.625
M1   | P       | d16 |  40 | 0.500 | 0.000 | +0.250 | 0.750
M1   | P       | d32 |  40 | 0.750 | 0.000 | +0.125 | 0.875
M1   | P       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M1   | admit   | d 1 | 248 | 1.000 | 0.000 | -0.210 | 0.790
M1   | admit   | d 2 | 248 | 1.000 | 0.000 | -0.043 | 0.957
M1   | admit   | d 4 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M1   | admit   | d 8 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M1   | admit   | d16 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M1   | cost    | d 1 | 125 | 1.000 | 0.000 | -0.460 | 0.540
M1   | cost    | d 2 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M1   | cost    | d 4 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M1   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M1   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M1   | logic   | d 1 | 264 | 1.000 | 0.000 | -0.500 | 0.500
M1   | logic   | d 2 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M1   | logic   | d 4 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M1   | logic   | d 8 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M1   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M1   | redteam | d 1 |   3 | 0.667 | 0.000 | -0.133 | 0.533
M1   | redteam | d 2 |   3 | 0.667 | 0.000 | +0.067 | 0.733
M1   | redteam | d 4 |   3 | 0.333 | 0.000 | +0.433 | 0.767
M1   | redteam | d 8 |   3 | 0.333 | 0.000 | +0.600 | 0.933
M1   | redteam | d16 |   3 | 0.333 | 0.000 | +0.600 | 0.933
M1   | revoke  | d 1 | 113 | 1.000 | 0.000 | -0.500 | 0.500
M1   | revoke  | d 2 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M1   | revoke  | d 4 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M1   | revoke  | d 8 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M1   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M1   | trap    | d 1 | 127 | 0.000 | 0.000 | +0.100 | 0.100
M1   | trap    | d 2 | 127 | 0.331 | 0.000 | +0.134 | 0.465
M1   | trap    | d 4 | 127 | 0.961 | 0.000 | -0.046 | 0.915
M1   | trap    | d 8 | 127 | 0.961 | 0.000 | -0.038 | 0.923
M1   | trap    | d16 | 127 | 0.961 | 0.000 | -0.038 | 0.923
M2   | D       | d 1 |  40 | 0.250 | 0.000 | +0.075 | 0.325
M2   | D       | d 2 |  40 | 0.500 | 0.000 | +0.050 | 0.550
M2   | D       | d 4 |  40 | 0.750 | 0.000 | +0.075 | 0.825
M2   | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M2   | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M2   | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M2   | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M2   | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
M2   | O       | d 2 |  40 | 1.000 | 0.000 | -0.530 | 0.470
M2   | O       | d 4 |  40 | 1.000 | 0.000 | -0.530 | 0.470
M2   | O       | d 8 |  40 | 0.750 | 0.000 | -0.147 | 0.603
M2   | O       | d16 |  40 | 0.500 | 0.000 | +0.235 | 0.735
M2   | O       | d32 |  40 | 0.250 | 0.000 | +0.618 | 0.868
M2   | O       | d64 |  40 | 0.000 | 0.000 | +1.000 | 1.000
M2   | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
M2   | P       | d 2 |  40 | 0.000 | 0.000 | +0.470 | 0.470
M2   | P       | d 4 |  40 | 0.000 | 0.000 | +0.470 | 0.470
M2   | P       | d 8 |  40 | 0.250 | 0.000 | +0.353 | 0.603
M2   | P       | d16 |  40 | 0.500 | 0.000 | +0.235 | 0.735
M2   | P       | d32 |  40 | 0.750 | 0.000 | +0.118 | 0.868
M2   | P       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M2   | admit   | d 1 | 248 | 1.000 | 0.000 | -0.210 | 0.790
M2   | admit   | d 2 | 248 | 1.000 | 0.000 | -0.046 | 0.954
M2   | admit   | d 4 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M2   | admit   | d 8 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M2   | admit   | d16 | 248 | 1.000 | 0.000 | -0.008 | 0.992
M2   | cost    | d 1 | 125 | 1.000 | 0.000 | -0.460 | 0.540
M2   | cost    | d 2 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M2   | cost    | d 4 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M2   | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M2   | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
M2   | logic   | d 1 | 264 | 1.000 | 0.000 | -0.500 | 0.500
M2   | logic   | d 2 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M2   | logic   | d 4 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M2   | logic   | d 8 | 264 | 1.000 | 0.000 | -0.422 | 0.578
