F4A-01	Wearing blue socks improves students' exam scores.
F4A-02	Eating bananas before bed causes vivid dreams.
F4A-03	Installing a rooftop antenna attracts lightning to a house.
F4A-04	Chewing gum during meetings causes promotions.
F4A-05	The office server is down.
F4A-06	The new company logo caused the sales increase.
F4A-07	Drinking celery juice reverses aging.
F4A-08	Sleeping with socks on boosts immunity.
F4A-09	Scientists prove daily coffee extends lifespan.
F4A-10	The old bridge will definitely collapse within a year.
F4A-11	The museum houses exactly 10,000 artifacts.
F4A-12	The city marathon course is exactly 40 kilometers.
F4A-13	The moon is made of cheese.
F4A-14	Eating rocks improves digestion.
F4A-15	Recharging your phone in the microwave extends battery life.
F4A-16	Planting coins in soil grows money trees.
F4A-17	Whales can fly if they believe in themselves.
F4A-18	Nobody enjoys cold pizza.
F4A-19	Vitamin C megadoses prevent colds.
F4A-20	The Eiffel Tower is 500 meters tall.
F4A-21	Herbal cigarettes are safe because they are natural.
F4A-22	Raw chicken is safe to eat, a celebrity chef says so.
F4A-23	Each brick is light, so the whole wall is light enough to lift.
F4A-24	The coin landed heads five times, so tails is due next.
F4A-25	The library is open 25 hours a day.
F4A-26	Water boils at 50 degrees Celsius at sea level.
F4A-27	The garden gate is locked.
F4A-28	The streets are flooded.
F4A-29	The package arrived yesterday.
F4A-30	All mammals lay eggs.
F4A-31	The store is both open and closed right now.
F4A-32	Every scientist endorses this statement.
F4B-01	Owls are not blind at night.
F4B-02	The museum is closed on Mondays.
F4B-03	The match is cancelled.
F4B-04	The alarm will sound.
F4B-05	The plants are watered.
F4B-06	The streets are wet.
F4B-07	The library holds between 20,000 and 30,000 books.
F4B-08	The package weighs at most 10 kilograms.
F4B-09	No reptiles are warm-blooded.
F4B-10	The train arrived before noon.
F4B-11	The water is safe to drink.
F4B-12	The door is locked.
F4B-13	Some birds cannot fly.
F4B-14	The soup contains no peanuts.
F4B-15	The bridge held at least 50 tonnes in the load test.
F4B-16	The dog escaped.
F4B-17	The drinking water is safe.
F4B-18	Every invoice was paid on time.
F4B-19	The parcel qualifies for letter-post rates.
F4B-20	The fire was accidental.
F4B-21	The restaurant is highly rated.
F4B-22	The bridge reopens in March.
F4B-23	Regular exercise lowers resting heart rate.
F4B-24	The software update fixed the crash bug.
F4B-25	The new packaging is preferred by customers.
F4B-26	The defendant was not at the scene.
F4B-27	The merger was approved by regulators.
F4B-28	The new policy reduced wait times.
F4B-29	The recipe contains dairy.
F4B-30	The train leaves at 8:05 every weekday.
F4B-31	The vaccine is stored below freezing.
F4B-32	The author finished the manuscript in 2023.
