epoch	subphase	phase	hinge	gwrong	gcorr	v1	v2	v3	v4	v5	v6	v7	v8	c	w1	w2	w3	w4	w5	w6	w7	w8	b
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0	0	-99928
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0	0	-99928
2	0	1	3097	119	0	-75	-33	0	50	-51	-1000	500	0	250	1000	0	0	0	0	0	0	0	-99928
3	0	1	13	120	0	50	-30	0	50	74	-875	750	0	500	1000	0	0	0	0	0	0	0	-99928
4	0	2	5512	220	1	-225	-20	0	-150	-77	0	0	0	1000	1000	0	0	0	0	0	0	0	-99928
5	0	2	4242	221	1	-200	-23	0	-75	-175	-125	-250	0	750	1000	0	0	0	0	0	0	0	-99928
6	0	0	75	0	0	32	-20	0	-75	75	-98	0	0	1000	1000	0	0	0	0	0	0	0	-99928
7	0	0	0	0	0	32	-20	0	-75	75	-98	0	0	1000	1000	0	0	0	0	0	0	0	-99928
8	0	1	2795	119	0	57	-38	0	0	149	-848	500	0	500	1000	0	0	0	0	0	0	0	-99928
9	0	1	0	120	0	57	-38	0	0	149	-848	500	0	500	1000	0	0	0	0	0	0	0	-99928
10	0	2	3810	221	1	-143	-35	0	-75	56	-348	0	0	750	1000	0	0	0	0	0	0	0	-99928
11	0	2	3912	222	1	-218	-35	0	-75	-87	-98	-500	0	750	1000	0	0	0	0	0	0	0	-99928
12	0	0	251	0	0	14	-32	0	-75	163	-71	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
13	0	0	0	0	0	14	-32	0	-75	163	-71	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
14	0	1	3357	119	0	-11	-57	0	-25	112	-1071	250	0	250	1000	0	0	0	0	0	0	0	-99928
15	0	1	185	120	0	114	-54	0	-25	237	-946	500	0	500	1000	0	0	0	0	0	0	0	-99928
16	0	2	5180	221	1	-161	-52	0	-138	15	-71	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
17	0	2	3983	221	1	-136	-55	0	-63	-83	-196	-500	0	750	1000	0	0	0	0	0	0	0	-99928
18	0	0	182	0	0	96	-52	0	-63	167	-169	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
19	0	0	0	0	0	96	-52	0	-63	167	-169	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
20	0	1	3043	119	0	121	-70	0	12	241	-919	250	0	500	1000	0	0	0	0	0	0	0	-99928
21	0	1	0	120	0	121	-70	0	12	241	-919	250	0	500	1000	0	0	0	0	0	0	0	-99928
22	0	2	3464	221	0	-154	-71	0	-113	127	-419	-250	0	750	1000	0	0	0	0	0	0	0	-99928
23	0	2	2933	222	1	-104	-71	0	-38	79	-294	-500	0	750	1000	0	0	0	0	0	0	0	-99928
24	0	0	1	0	0	128	-68	0	-38	329	-267	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
25	0	0	0	0	0	128	-68	0	-38	329	-267	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
26	0	1	2690	119	0	153	-86	0	37	403	-1017	250	0	500	1000	0	0	0	0	0	0	0	-99928
27	0	1	241	120	0	153	-145	0	37	347	-1142	500	0	500	1000	0	0	0	0	0	0	0	-99928
28	0	2	5969	221	1	-122	-135	0	-163	196	-267	-250	0	1000	1000	0	0	0	0	0	0	0	-99928
29	0	2	3485	221	0	-322	-142	0	-213	-18	-267	-750	0	750	1000	0	0	0	0	0	0	0	-99928
30	0	0	549	0	0	-90	-139	0	-213	232	-240	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
31	0	0	0	0	0	-90	-139	0	-213	232	-240	-500	0	1000	1000	0	0	0	0	0	0	0	-99928
