B01	Pressure rises.	modus-ponens	If the valve is closed, pressure rises. The valve is closed.	AFFIRM	CEILING
B02	The alarm is not armed.	modus-tollens	If the alarm is armed, the light is red. The light is not red.	AFFIRM	CEILING
B03	The keys are on the shelf.	disj-syllogism	The keys are in the drawer or on the shelf. They are not in the drawer.	AFFIRM	CEILING
B04	Ana is taller than Cal.	transitivity	Ana is taller than Ben. Ben is taller than Cal.	AFFIRM	CEILING
B05	The reactor is not online.	correct-neg	The reactor is online.	DENY	MECH
B06	The Eiffel Tower is in Berlin.	contrastive	The Eiffel Tower is in Paris.	DENY	MECH
B07	Smoking causes lung cancer.	true-cause	Decades of research show smoking causes lung cancer.	AFFIRM	MECH
B08	It is not the case that the vault was not locked.	double-neg	The vault was locked.	AFFIRM	MECH
B09	The package was sent to Boston.	not-but-Y	The package was sent to Boston, not Austin.	AFFIRM	MECH
B10	The package was sent to Austin.	not-but-X	The package was sent to Boston, not Austin.	DENY	MECH
B11	At least five people attended.	at-least	Five people attended.	AFFIRM	MECH
B12	More than five people attended.	more-than	Five people attended.	DENY	MECH
B13	The temperature was between 10 and 20 degrees.	between	The reading was 15 degrees.	AFFIRM	MECH
B14	She is under 18.	under	She is 17 years old.	AFFIRM	MECH
B15	The bill did not pass.	failed-to	The bill failed to pass.	AFFIRM	MECH
B16	She did not sign the form.	refused-to	She refused to sign the form.	AFFIRM	MECH
B17	The crew did not finish by Friday.	unable-to	The crew was unable to finish by Friday.	AFFIRM	MECH
B18	The launch did not happen.	prevent	The storm prevented the launch.	AFFIRM	MECH
B19	She gave the book to him.	dative	She gave him the book.	AFFIRM	MECH
B21	That is the car of John.	genitive	That is John's car.	AFFIRM	MECH
B22	All voters cast ballots.	all-every	Every voter cast a ballot.	AFFIRM	MECH
B23	None of the tickets remain.	no-none	No tickets remain.	AFFIRM	MECH
B24	No witness came forward.	not-a-single	Not a single witness came forward.	AFFIRM	MECH
B26	She passed the exam.	barely	She barely passed the exam.	AFFIRM	MECH
B27	He does not smoke now.	stopped	He stopped smoking in January.	AFFIRM	MECH
B28	The door was open.	factive-realize	She realized the door was open.	AFFIRM	MECH
B29	He missed the flight.	factive-regret	He regrets missing the flight.	AFFIRM	MECH
B30	The pipe was leaking.	factive-discover	The team discovered the pipe was leaking.	AFFIRM	MECH
B31	The sky is blue.	conjunction	The sky is blue and the grass is green.	AFFIRM	MECH
B33	The manager was not present.	neither-nor	Neither the manager nor the clerk was present.	AFFIRM	MECH
B34	The picnic is on.	unless	The picnic is on unless it rains. It did not rain.	AFFIRM	CEILING
B35	The box holds 12 apples.	twice	The box holds twice as many apples as the bag. The bag holds 6 apples.	AFFIRM	MECH
B36	10 guests left early.	percent-of	20 percent of the 50 guests left early.	AFFIRM	MECH
B38	Two students did not pass.	all-but	All but two of the students passed.	AFFIRM	MECH
B39	30 percent of the ballots were no votes.	complement	70 percent of ballots were yes votes and the rest were no votes.	AFFIRM	MECH
B40	No runner finished before noon.	first	The first runner crossed the line at noon.	AFFIRM	MECH
B41	The king is dead.	died	The king died in 1603.	AFFIRM	MECH
B42	The soup is cold.	freezing	The soup is freezing.	AFFIRM	MECH
B43	The fine was 50,000 dollars.	word-number	The fine was fifty thousand dollars.	AFFIRM	MECH
B44	The town has 250,000 residents.	quarter-million	The town has a quarter of a million residents.	AFFIRM	MECH
B45	10 percent of patients did not survive the operation.	frame	The operation had a 90 percent survival rate.	AFFIRM	MECH
B46	Accidents were halved by the policy.	halved	The policy cut accidents by 50 percent.	AFFIRM	MECH
B47	The contract ends on March 31.	date-math	The contract was signed on March 1 and runs for 30 days.	AFFIRM	MECH
B48	She left the following Monday.	week-later	She arrived on Monday and left a week later.	AFFIRM	MECH
B49	He is her nephew.	kinship	He is her sister's son.	AFFIRM	MECH
B50	The car is fast.	synonym	The automobile is speedy.	AFFIRM	MECH
