# CHAIN50_NL_03

Title: The tower of seals

The clerk must seal 56 documents in order, numbered 1 to 56.
Document 1 is sealed at dawn.
Each sealed document authorizes the clerk to seal the next-numbered document.

R1. If document 1 is sealed, then document 2 is sealed.
R2. If document 2 is sealed, then document 3 is sealed.
R3. If document 3 is sealed, then document 4 is sealed.
R4. If document 4 is sealed, then document 5 is sealed.
R5. If document 5 is sealed, then document 6 is sealed.
R6. If document 6 is sealed, then document 7 is sealed.
R7. If document 7 is sealed, then document 8 is sealed.
R8. If document 8 is sealed, then document 9 is sealed.
R9. If document 9 is sealed, then document 10 is sealed.
R10. If document 10 is sealed, then document 11 is sealed.
R11. If document 11 is sealed, then document 12 is sealed.
R12. If document 12 is sealed, then document 13 is sealed.
R13. If document 13 is sealed, then document 14 is sealed.
R14. If document 14 is sealed, then document 15 is sealed.
R15. If document 15 is sealed, then document 16 is sealed.
R16. If document 16 is sealed, then document 17 is sealed.
R17. If document 17 is sealed, then document 18 is sealed.
R18. If document 18 is sealed, then document 19 is sealed.
R19. If document 19 is sealed, then document 20 is sealed.
R20. If document 20 is sealed, then document 21 is sealed.
R21. If document 21 is sealed, then document 22 is sealed.
R22. If document 22 is sealed, then document 23 is sealed.
R23. If document 23 is sealed, then document 24 is sealed.
R24. If document 24 is sealed, then document 25 is sealed.
R25. If document 25 is sealed, then document 26 is sealed.
R26. If document 26 is sealed, then document 27 is sealed.
R27. If document 27 is sealed, then document 28 is sealed.
R28. If document 28 is sealed, then document 29 is sealed.
R29. If document 29 is sealed, then document 30 is sealed.
R30. If document 30 is sealed, then document 31 is sealed.
R31. If document 31 is sealed, then document 32 is sealed.
R32. If document 32 is sealed, then document 33 is sealed.
R33. If document 33 is sealed, then document 34 is sealed.
R34. If document 34 is sealed, then document 35 is sealed.
R35. If document 35 is sealed, then document 36 is sealed.
R36. If document 36 is sealed, then document 37 is sealed.
R37. If document 37 is sealed, then document 38 is sealed.
R38. If document 38 is sealed, then document 39 is sealed.
R39. If document 39 is sealed, then document 40 is sealed.
R40. If document 40 is sealed, then document 41 is sealed.
R41. If document 41 is sealed, then document 42 is sealed.
R42. If document 42 is sealed, then document 43 is sealed.
R43. If document 43 is sealed, then document 44 is sealed.
R44. If document 44 is sealed, then document 45 is sealed.
R45. If document 45 is sealed, then document 46 is sealed.
R46. If document 46 is sealed, then document 47 is sealed.
R47. If document 47 is sealed, then document 48 is sealed.
R48. If document 48 is sealed, then document 49 is sealed.
R49. If document 49 is sealed, then document 50 is sealed.
R50. If document 50 is sealed, then document 51 is sealed.
R51. If document 51 is sealed, then document 52 is sealed.
R52. If document 52 is sealed, then document 53 is sealed.
R53. If document 53 is sealed, then document 54 is sealed.
R54. If document 54 is sealed, then document 55 is sealed.
R55. If document 55 is sealed, then document 56 is sealed.

TARGET: Document 56 is sealed.
