=== fidelity: expected vs actual per (cell, config) ===
cell     cfg  | expected seq        | actual seq          | final exp/act | fi exp/act | installs | verdict
C1       G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       MG2  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1       MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    MG1  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   0 / 0        | 0 / 0     | 4        | PASS
C1-W3    MG3  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    MG4  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C1-W3    MG6  | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   1 / 1        | 0 / 0     | 4        | PASS
C2       G1   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       G2   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       MG1  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       MG2  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       MG3  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       MG4  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C2       MG6  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   3 / 3        | 0 / 0     | 3        | PASS
C3       G1   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       G2   | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       MG1  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       MG2  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       MG3  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       MG4  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
C3       MG6  | PROV,PERM,CHAL       | PROV,PERM,CHAL       |   0 / 0        | 0 / 0     | 3        | PASS
CC1      G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1      G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1      MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1      MG2  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1      MG3  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1      MG4  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1      MG6  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
CC1-V1   G1   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V1   G2   | PROV,PERM,CHAL,REV   | PROV,PERM,CHAL,REV   |   2 / 2        | 1 / 1     | 4        | PASS
CC1-V1   MG1  | PROV,PERM,CHAL,CHAL  | PROV,PERM,CHAL,CHAL  |   3 / 3        | 0 / 0     | 4        | PASS
