path	kind	tier	owner	size	status	verdict
wave11/t3-integrity-redteam/findings/10-planted-entropy.md	md	P1	coordinator	11650	done	review: 20-plant blind red-team design vs slice-09 no-RNG audit; kill on >=1 escape; honest that in-process replay is blind to 11/20 plants; design-only, no results
wave11/t3-integrity-redteam/findings/11-corrupted-verdict-flip.md	md	P0	coordinator	6670	done	review: red-team attack design (A1-A5) vs slice-22 render gate with kill bars K-RT1..K-RT4; design-only, no results
wave11/t3-integrity-redteam/findings/12-cross-arm-attacks.md	md	P1	coordinator	9226	done	review: Arm B fenced-RNG vs Arm C deterministic attack-surface analysis; K7 'beats honestly' amendment question flagged for Micah; design-only, no probes run
wave11/t3-integrity-redteam/findings/13-trainer-manipulation.md	md	P1	coordinator	6701	done	review: trainer-manipulation-via-expression experiment design (h>=0.30, p<0.01, n>=400, 2 trainers); presentation firewall proposed; design-only
wave11/t3-integrity-redteam/findings/14-composition-exploits.md	md	P1	coordinator	8321	done	review: exploit constructions A/B/C vs slice-23 composition algebra; scope firewall held in all constructions; strengthened bars K3'/K4'/KB; design-only
wave11/t3-integrity-redteam/findings/15-severity-taxonomy.md	md	P1	coordinator	6404	done	review: S0-S3 severity taxonomy + aggregation/disagreement rules; calibration drill proposed; design-only
wave11/t4-curricula/findings/01-code-curriculum.md	md	P1	coordinator	8892	done	review: C1-C12 code curriculum design (3,950 eps); cites MA1 58/58, RC1 40/40, RC3 100x 40/40 - RC3 PASS verified in wave10/rc3/RESULTS_RC3.md; design-only
wave11/t4-curricula/findings/02-english-curriculum.md	md	P1	coordinator	6870	done	review: E1-E6 English curriculum design; zero-verdict-drift bar (100/100 re-parse); palette-isolation bar K-c; design-only
wave11/t4-curricula/findings/03-messy-reality-curriculum.md	md	P1	coordinator	6259	done	review: 5-class mess curriculum design; falsifiable via >15pt gap vs machinery-only control; design-only
wave11/t4-curricula/findings/04-phasing-gates.md	md	P1	coordinator	6205	done	review: phase-firewall design consistent with MA2 verdict (gates restrict write-scope, never capability); design-only
wave11/t4-curricula/findings/06-teaching-elimination.md	md	P1	coordinator	6812	done	review: eliminative-reasoning teaching design E0-E3; cites MA4 18/18 (matches known); SPACE-WRONG gaming risk honestly flagged; design-only
wave11/t4-curricula/findings/07-code-debugging.md	md	P1	coordinator	9101	done	review: DBG-1..DBG-7 debugging curriculum; RC 40/40 1x/10x/100x citations grounded (RC1/RC2/RC3); minor: 'docs/lab/waveN/' path placeholder; design-only
