CHECK,ingress_prose_bytes,2621440,2621440
CHECK,ingress_code_bytes,1310720,1310720
CHECK,sha256_prose_rc,0,0
CHECK,sha256_code_rc,0,0
CHECK,K5_sha_prose,1,1
CHECK,K5_sha_code,1,1
SHA_PROSE,a4c036bb556745e292ed422be9eee4a6a7182818b03b5147337b203bd2e34578
SHA_CODE,809df89f517ca9f14cfb5a0d8946c35c5639c19740d0bc241da9461b5715e0ca
CHECK,faults_injected,634,634
CHECK,store_init_audit_n,0,0
CHECK,setstage_add,0,0
CHECK,pass1_adds_ok,61440,61440
CHECK,setstage_full,0,0
KILLED,0
KILLED,97
KILLED,194
KILLED,291
KILLED,388
KILLED,485
KILLED,582
KILLED,679
KILLED,776
KILLED,873
KILLED,970
KILLED,1067
KILLED,1164
KILLED,1261
KILLED,1358
KILLED,1455
KILLED,1552
KILLED,1649
KILLED,1746
KILLED,1843
KILLED,1940
KILLED,2037
KILLED,2134
KILLED,2231
KILLED,2328
KILLED,2425
KILLED,2522
KILLED,2619
KILLED,2716
KILLED,2813
KILLED,2910
KILLED,3007
KILLED,3104
KILLED,3201
KILLED,3298
KILLED,3395
KILLED,3492
KILLED,3589
KILLED,3686
KILLED,3783
KILLED,3880
KILLED,3977
KILLED,4074
KILLED,4171
KILLED,4268
KILLED,4365
KILLED,4462
KILLED,4559
KILLED,4656
KILLED,4753
KILLED,4850
KILLED,4947
KILLED,5044
KILLED,5141
KILLED,5238
KILLED,5335
KILLED,5432
KILLED,5529
KILLED,5626
KILLED,5723
KILLED,5820
KILLED,5917
KILLED,6014
KILLED,6111
KILLED,6208
KILLED,6305
KILLED,6402
KILLED,6499
KILLED,6596
KILLED,6693
KILLED,6790
KILLED,6887
KILLED,6984
KILLED,7081
KILLED,7178
KILLED,7275
KILLED,7372
KILLED,7469
KILLED,7566
KILLED,7663
KILLED,7760
KILLED,7857
KILLED,7954
KILLED,8051
KILLED,8148
KILLED,8245
KILLED,8342
KILLED,8439
KILLED,8536
KILLED,8633
KILLED,8730
KILLED,8827
KILLED,8924
KILLED,9021
KILLED,9118
KILLED,9215
KILLED,9312
KILLED,9409
KILLED,9506
KILLED,9603
KILLED,9700
KILLED,9797
KILLED,9894
KILLED,9991
KILLED,10088
KILLED,10185
KILLED,10282
KILLED,10379
KILLED,10476
KILLED,10573
KILLED,10670
KILLED,10767
KILLED,10864
KILLED,10961
KILLED,11058
KILLED,11155
KILLED,11252
KILLED,11349
KILLED,11446
KILLED,11543
KILLED,11640
KILLED,11737
KILLED,11834
KILLED,11931
KILLED,12028
KILLED,12125
KILLED,12222
KILLED,12319
KILLED,12416
KILLED,12513
KILLED,12610
KILLED,12707
KILLED,12804
KILLED,12901
KILLED,12998
KILLED,13095
KILLED,13192
KILLED,13289
KILLED,13386
KILLED,13483
KILLED,13580
KILLED,13677
KILLED,13774
KILLED,13871
KILLED,13968
KILLED,14065
KILLED,14162
KILLED,14259
KILLED,14356
KILLED,14453
KILLED,14550
KILLED,14647
KILLED,14744
KILLED,14841
KILLED,14938
KILLED,15035
KILLED,15132
KILLED,15229
KILLED,15326
KILLED,15423
KILLED,15520
KILLED,15617
KILLED,15714
KILLED,15811
KILLED,15908
KILLED,16005
KILLED,16102
KILLED,16199
KILLED,16296
KILLED,16393
KILLED,16490
KILLED,16587
KILLED,16684
KILLED,16781
KILLED,16878
KILLED,16975
KILLED,17072
KILLED,17169
KILLED,17266
KILLED,17363
KILLED,17460
KILLED,17557
KILLED,17654
KILLED,17751
KILLED,17848
KILLED,17945
KILLED,18042
KILLED,18139
KILLED,18236
KILLED,18333
KILLED,18430
KILLED,18527
KILLED,18624
KILLED,18721
KILLED,18818
KILLED,18915
KILLED,19012
KILLED,19109
KILLED,19206
KILLED,19303
KILLED,19400
KILLED,19497
KILLED,19594
KILLED,19691
KILLED,19788
KILLED,19885
KILLED,19982
KILLED,20079
KILLED,20176
KILLED,20273
KILLED,20370
KILLED,20467
KILLED,20564
KILLED,20661
KILLED,20758
KILLED,20855
KILLED,20952
KILLED,21049
KILLED,21146
KILLED,21243
KILLED,21340
KILLED,21437
KILLED,21534
KILLED,21631
KILLED,21728
KILLED,21825
KILLED,21922
KILLED,22019
KILLED,22116
KILLED,22213
KILLED,22310
KILLED,22407
KILLED,22504
KILLED,22601
KILLED,22698
KILLED,22795
KILLED,22892
KILLED,22989
KILLED,23086
KILLED,23183
KILLED,23280
KILLED,23377
KILLED,23474
KILLED,23571
KILLED,23668
KILLED,23765
KILLED,23862
KILLED,23959
KILLED,24056
KILLED,24153
KILLED,24250
KILLED,24347
KILLED,24444
KILLED,24541
