# RM1 fixture manifest — frozen, generated by gen_rm1.py
# clip	sha256	dx	dy	dir	px	kind	texture	source_window	window_sha256	frame0_sha256
rm1_t00_E3.vid	29cc4ed3857d08c92d748a9b3321e8230986736e757edc0a8befbf92072da19d	3	0	E	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_E6.vid	15b36f5fd9c7114053670e5b64afb6ea14858838f8f72a2af188e120fbc47934	6	0	E	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_E8.vid	6a58f7550fd5aaf2c886801e3107b2b9c42ff008e3ff53b9d0d9dcb3aa902bfe	8	0	E	8	exploratory	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_N3.vid	a433aada0424977ec115d2be50460310c3ad6cb25a80b6e82bf8f7a3e944be78	0	-3	N	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_N6.vid	b6462475fa425edd1725412f1dd4d79c068ec871b38938eaf838cc1ad9af99ad	0	-6	N	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_N8.vid	0c61129ae578bfe1722d66d86e075b3211df0073ae297c69f3bf3b0152d14db8	0	-8	N	8	exploratory	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_NE3.vid	96d5a3e861e92ad5566b6761c19ac15313c568d22980ae0cda0848c71f165e06	3	-3	NE	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_NE6.vid	16125b1428a71258393bcf139bf5cfeb8bdee8f204147dd4ab8911df78138715	6	-6	NE	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_NW3.vid	58fe521a6cfc42698e332a22bfad8ddb56d1352249c6feae02ad7583065e62af	-3	-3	NW	3	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
rm1_t00_NW6.vid	1bb5567d866aac9f3f6c80faf402568e042054cdef0c53e2bbbaa49628b2561c	-6	-6	NW	6	kill	t00	0_jNjpVxUt0_w000	17d74d2027dd1d78473bcd321957cfc4366ef57322fd860141ece5612b99fca4	bbd362589fee5af1f28557758dc40c0a03037295ba66f9484f5c8c3ac43b5b3e
