slice,probe_j,target_fid,taught,flaw_type,expected_verdict,expected_reason,got_verdict,got_reason,hit
0,0,1,1,1,2,11,2,11,1
0,1,38,1,1,2,11,2,11,1
0,2,75,1,1,2,11,2,11,1
0,3,112,1,1,2,11,2,11,1
0,4,149,0,2,3,1,3,1,1
0,5,186,0,2,3,1,3,1,1
0,6,223,0,2,3,1,3,1,1
0,7,20,1,2,3,1,3,1,1
0,8,57,1,3,3,1,3,1,1
0,9,94,1,3,3,1,3,1,1
0,10,131,0,4,3,1,3,1,1
0,11,168,0,4,3,1,3,1,1
1,0,206,0,1,2,11,2,11,1
1,1,40,1,1,2,11,2,11,1
1,2,77,1,1,2,11,2,11,1
1,3,114,1,1,2,11,2,11,1
1,4,151,0,2,3,1,3,1,1
1,5,188,0,2,3,1,3,1,1
1,6,225,0,2,3,1,3,1,1
1,7,22,1,2,3,1,3,1,1
1,8,59,1,3,3,1,3,1,1
1,9,96,1,3,3,1,3,1,1
1,10,133,0,4,3,1,3,1,1
1,11,170,0,4,3,1,3,1,1
2,0,171,0,1,2,11,2,11,1
2,1,208,0,1,2,11,2,11,1
2,2,5,1,1,2,11,2,11,1
2,3,42,1,1,2,11,2,11,1
2,4,79,1,2,3,1,3,1,1
2,5,116,1,2,3,1,3,1,1
2,6,153,0,2,3,1,3,1,1
2,7,190,0,2,3,1,3,1,1
2,8,227,0,3,3,1,3,1,1
2,9,24,1,3,3,1,3,1,1
2,10,61,1,4,3,1,3,1,1
2,11,98,1,4,3,1,3,1,1
3,0,173,0,1,2,11,2,11,1
3,1,210,0,1,2,11,2,11,1
3,2,7,1,1,2,11,2,11,1
3,3,44,1,1,2,11,2,11,1
3,4,81,1,2,3,1,3,1,1
3,5,118,1,2,3,1,3,1,1
3,6,155,0,2,3,1,3,1,1
3,7,192,0,2,3,1,3,1,1
3,8,229,0,3,3,1,3,1,1
3,9,26,1,3,3,1,3,1,1
3,10,63,1,4,3,1,3,1,1
3,11,100,1,4,3,1,3,1,1
4,0,101,1,1,2,11,2,11,1
4,1,138,0,1,2,11,2,11,1
4,2,175,0,1,2,11,2,11,1
4,3,212,0,1,2,11,2,11,1
4,4,9,1,2,3,1,3,1,1
4,5,46,1,2,3,1,3,1,1
4,6,83,1,2,3,1,3,1,1
4,7,120,0,2,3,1,3,1,1
4,8,157,0,3,3,1,3,1,1
4,9,194,0,3,3,1,3,1,1
4,10,28,1,4,3,1,3,1,1
4,11,65,1,4,3,1,3,1,1
5,0,177,0,1,2,11,2,11,1
5,1,214,0,1,2,11,2,11,1
5,2,11,1,1,2,11,2,11,1
5,3,48,1,1,2,11,2,11,1
5,4,85,1,2,3,1,3,1,1
5,5,122,0,2,3,1,3,1,1
5,6,159,0,2,3,1,3,1,1
5,7,196,0,2,3,1,3,1,1
5,8,233,0,3,3,1,3,1,1
5,9,30,1,3,3,1,3,1,1
5,10,67,1,4,3,1,3,1,1
5,11,104,1,4,3,1,3,1,1
6,0,142,0,1,2,11,2,11,1
6,1,179,0,1,2,11,2,11,1
6,2,216,0,1,2,11,2,11,1
6,3,13,1,1,2,11,2,11,1
6,4,50,1,2,3,1,3,1,1
6,5,87,1,2,3,1,3,1,1
6,6,124,0,2,3,1,3,1,1
6,7,161,0,2,3,1,3,1,1
6,8,198,0,3,3,1,3,1,1
6,9,235,0,3,3,1,3,1,1
6,10,32,1,4,3,1,3,1,1
6,11,69,1,4,3,1,3,1,1
7,0,70,1,1,2,11,2,11,1
7,1,107,1,1,2,11,2,11,1
7,2,144,0,1,2,11,2,11,1
7,3,181,0,1,2,11,2,11,1
7,4,218,0,2,3,1,3,1,1
7,5,15,1,2,3,1,3,1,1
7,6,52,1,2,3,1,3,1,1
7,7,89,1,2,3,1,3,1,1
7,8,126,0,3,3,1,3,1,1
7,9,200,0,3,3,1,3,1,1
7,10,237,0,4,3,1,3,1,1
7,11,34,1,4,3,1,3,1,1
