trial	task	fixture	judgment	conf	disp	ops	nsel	sel	claim	warrant	ledger
p_colordisc_p000.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p000.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	3a238772983304ba9299988ac2bb8d2538c1a7d18a4fc0dbc598d1771838d8bd
p_colordisc_p001.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p001.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	b076cdf76355825514e647f386034f06cdfbd3a42a822e97eb3d2dc49da6c97b
p_colordisc_p002.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p002.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	ea112ab0e9aae2494d055e96dde2a075b71e418079be3c3697bff3202b707999
p_colordisc_p003.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p003.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	c955ff5093a57d81c469145166f9d60a6712341a20c2480a5377580e06988ebf
p_colordisc_p004.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p004.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	1a6d97925ca6de54475c470ab335777f511b197702fcae195d59d98055d7fd2a
p_colordisc_p005.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p005.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	262725df3280b03dda322a3953d29bb32070aab4254eb541cf8867a06e73550e
p_colordisc_p006.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p006.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	b7b86e042decc1117118457ee21ee15eb64315d82ef623272733ace6139f3945
p_colordisc_p007.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p007.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	a9cc965338ddeec2825ff9487745cda1f9a44316d76f5ae0544681175a9beb96
p_colordisc_p008.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p008.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	722053e6a108090aebe13656c2533e2ccd1d744268cfd7560215053a16f58c90
p_colordisc_p009.img	colordisc	senses/rebuild/harness/fixtures/t1_colordisc/primary/p009.img	SAME	650	INSTALL	8192	2	1:0,0,64,64,0,0;1:64,0,64,64,0,0	patches SAME (dE76 vs 2.6)	dE76=0.000; rgbE=0.00; metamer_suspect=0; illuminant_ambiguous=0	960ad808fab9d8f9029a0aa15bb76faec227f90503926c22ee6cf6f305c2ac89
